title,url
X WaterMan (iOS),https://www.metacritic.com/game/ios/x-waterman
X-Men (iOS),https://www.metacritic.com/game/ios/x-men
X-Men: Battle of the Atom (iOS),https://www.metacritic.com/game/ios/x-men-battle-of-the-atom
X-Mercs (iOS),https://www.metacritic.com/game/ios/x-mercs
X-Rainbow (iOS),https://www.metacritic.com/game/ios/x-rainbow
X-Rat (iOS),https://www.metacritic.com/game/ios/x-rat
X2 Snowboarding (iOS),https://www.metacritic.com/game/ios/x2-snowboarding
X2 Soccer 2010 (iOS),https://www.metacritic.com/game/ios/x2-soccer-2010
XCOM 2 Collection (iOS),https://www.metacritic.com/game/ios/xcom-2-collection
XCOM: Enemy Unknown (iOS),https://www.metacritic.com/game/ios/xcom-enemy-unknown
XCOM: Enemy Within (iOS),https://www.metacritic.com/game/ios/xcom-enemy-within
XCOM: TBG (iOS),https://www.metacritic.com/game/ios/xcom-tbg
XenoCube SD (iOS),https://www.metacritic.com/game/ios/xenocube-sd
Xenome Episode 1 (iOS),https://www.metacritic.com/game/ios/xenome-episode-1
Xenon Shooter: The Space Defender (iOS),https://www.metacritic.com/game/ios/xenon-shooter-the-space-defender
Xenoraid (iOS),https://www.metacritic.com/game/ios/xenoraid
XenoShyft (iOS),https://www.metacritic.com/game/ios/xenoshyft
Xenowerk (iOS),https://www.metacritic.com/game/ios/xenowerk
Xenowerk Tactics (iOS),https://www.metacritic.com/game/ios/xenowerk-tactics
XIII - Lost Identity (iOS),https://www.metacritic.com/game/ios/xiii---lost-identity
XIII - Lost Identity HD (iOS),https://www.metacritic.com/game/ios/xiii---lost-identity-hd
XLARGE X-Baseball (iOS),https://www.metacritic.com/game/ios/xlarge-x-baseball
XRun Space (iOS),https://www.metacritic.com/game/ios/xrun-space
Xtreme Wheels (iOS),https://www.metacritic.com/game/ios/xtreme-wheels
Xurge (iOS),https://www.metacritic.com/game/ios/xurge
