title,url
Yaga The Roleplaying Folktale (iOS),https://www.metacritic.com/game/ios/yaga-the-roleplaying-folktale
Yak Dash: Horns of Glory (iOS),https://www.metacritic.com/game/ios/yak-dash-horns-of-glory
Yam Yam: Puzzle Guardians (iOS),https://www.metacritic.com/game/ios/yam-yam-puzzle-guardians
YANIV! The Most Addictive Card Game Ever (iOS),https://www.metacritic.com/game/ios/yaniv!-the-most-addictive-card-game-ever
YANKAI'S PEAK. (iOS),https://www.metacritic.com/game/ios/yankais-peak
YANKAI'S TRIANGLE (iOS),https://www.metacritic.com/game/ios/yankais-triangle
Year Walk (iOS),https://www.metacritic.com/game/ios/year-walk
Yes Chef! (iOS),https://www.metacritic.com/game/ios/yes-chef!
YesSir (iOS),https://www.metacritic.com/game/ios/yessir
Yesterday (iOS),https://www.metacritic.com/game/ios/yesterday
Yet Another Zombie Defense (iOS),https://www.metacritic.com/game/ios/yet-another-zombie-defense
Yet It Moves (puzzle platformer) (iOS),https://www.metacritic.com/game/ios/yet-it-moves-puzzle-platformer
Yeti Town (iOS),https://www.metacritic.com/game/ios/yeti-town
Yeti's Parole Officer (iOS),https://www.metacritic.com/game/ios/yetis-parole-officer
Yggdrasil for iPad (iOS),https://www.metacritic.com/game/ios/yggdrasil-for-ipad
YO-KAI WATCH Wibble Wobble (iOS),https://www.metacritic.com/game/ios/yo-kai-watch-wibble-wobble
Yokai Dungeon (iOS),https://www.metacritic.com/game/ios/yokai-dungeon
Yomi (iOS),https://www.metacritic.com/game/ios/yomi
Yoo! Sports (iOS),https://www.metacritic.com/game/ios/yoo!-sports
Yorick's Revenge (iOS),https://www.metacritic.com/game/ios/yoricks-revenge
You Against Me (iOS),https://www.metacritic.com/game/ios/you-against-me
You Choose!: PIRATES (iOS),https://www.metacritic.com/game/ios/you-choose!-pirates
You Don't Know Jack (iOS),https://www.metacritic.com/game/ios/you-dont-know-jack
You Don't Know Jack (2012) (iOS),https://www.metacritic.com/game/ios/you-dont-know-jack-2012
You Got Beat (iOS),https://www.metacritic.com/game/ios/you-got-beat
You Must Build A Boat (iOS),https://www.metacritic.com/game/ios/you-must-build-a-boat
You're The Chicken Mogul! (iOS),https://www.metacritic.com/game/ios/youre-the-chicken-mogul!
Youda Beaver (iOS),https://www.metacritic.com/game/ios/youda-beaver
Youda Survivor (iOS),https://www.metacritic.com/game/ios/youda-survivor
Youda Survivor 2 HD (iOS),https://www.metacritic.com/game/ios/youda-survivor-2-hd
Youda Survivor HD (iOS),https://www.metacritic.com/game/ios/youda-survivor-hd
Ys Chronicles 1 (iOS),https://www.metacritic.com/game/ios/ys-chronicles-1
Ys Chronicles II (iOS),https://www.metacritic.com/game/ios/ys-chronicles-ii
Yu-Gi-Oh! BAM Pocket (iOS),https://www.metacritic.com/game/ios/yu-gi-oh!-bam-pocket
Yu-Gi-Oh! CROSS DUEL (iOS),https://www.metacritic.com/game/ios/yu-gi-oh!-cross-duel
Yu-Gi-Oh! Duel Links (iOS),https://www.metacritic.com/game/ios/yu-gi-oh!-duel-links
Yumby Smash (iOS),https://www.metacritic.com/game/ios/yumby-smash
YumYumBoy (iOS),https://www.metacritic.com/game/ios/yumyumboy
Yurei Ninja (iOS),https://www.metacritic.com/game/ios/yurei-ninja
Yushino (iOS),https://www.metacritic.com/game/ios/yushino
