title,url
Z Buster (iOS),https://www.metacritic.com/game/ios/z-buster
Z Hunter (iOS),https://www.metacritic.com/game/ios/z-hunter
Z The Game (iOS),https://www.metacritic.com/game/ios/z-the-game
Z-Exemplar (iOS),https://www.metacritic.com/game/ios/z-exemplar
Z.I.D : Zombies In Dark (iOS),https://www.metacritic.com/game/ios/zid-zombies-in-dark
Zaccaria Pinball Master Edition (iOS),https://www.metacritic.com/game/ios/zaccaria-pinball-master-edition
Zaga 33 (iOS),https://www.metacritic.com/game/ios/zaga-33
Zap - Bug Hell (iOS),https://www.metacritic.com/game/ios/zap---bug-hell
ZAP First Jump (iOS),https://www.metacritic.com/game/ios/zap-first-jump
Zaxxon Escape (iOS),https://www.metacritic.com/game/ios/zaxxon-escape
ZDAY Survival Simulator (iOS),https://www.metacritic.com/game/ios/zday-survival-simulator
Zen Bound 2 Universal (iOS),https://www.metacritic.com/game/ios/zen-bound-2-universal
ZEN Pinball (iOS),https://www.metacritic.com/game/ios/zen-pinball
Zen Pinball Party (iOS),https://www.metacritic.com/game/ios/zen-pinball-party
ZEN Pinball: South Park: Super-Sweet Pinball (iOS),https://www.metacritic.com/game/ios/zen-pinball-south-park-super-sweet-pinball
Zen Puzzle Garden (iOS),https://www.metacritic.com/game/ios/zen-puzzle-garden
Zen Table Tennis (iOS),https://www.metacritic.com/game/ios/zen-table-tennis
Zen Training (iOS),https://www.metacritic.com/game/ios/zen-training
Zen Warrior (iOS),https://www.metacritic.com/game/ios/zen-warrior
Zen Wars (iOS),https://www.metacritic.com/game/ios/zen-wars
ZENFORMS: Protectors (iOS),https://www.metacritic.com/game/ios/zenforms-protectors
Zenge (iOS),https://www.metacritic.com/game/ios/zenge
Zengrams (iOS),https://www.metacritic.com/game/ios/zengrams
Zenonia 2: The Lost Memories (iOS),https://www.metacritic.com/game/ios/zenonia-2-the-lost-memories
Zenonia 3: The Midgard Story (iOS),https://www.metacritic.com/game/ios/zenonia-3-the-midgard-story
Zenonia 4: Return of the Legend (iOS),https://www.metacritic.com/game/ios/zenonia-4-return-of-the-legend
Zenonia 5: Wheel of Destiny (iOS),https://www.metacritic.com/game/ios/zenonia-5-wheel-of-destiny
ZENONIA S: Rifts In Time (iOS),https://www.metacritic.com/game/ios/zenonia-s-rifts-in-time
Zenses Rainforest 3-in-1 (iOS),https://www.metacritic.com/game/ios/zenses-rainforest-3-in-1
Zepi:Classic HD (iOS),https://www.metacritic.com/game/ios/zepiclassic-hd
Zero Age (iOS),https://www.metacritic.com/game/ios/zero-age
Zero Escape (iOS),https://www.metacritic.com/game/ios/zero-escape
Zero/Sum (iOS),https://www.metacritic.com/game/ios/zerosum
Zeta Fighters (iOS),https://www.metacritic.com/game/ios/zeta-fighters
ZEZ (iOS),https://www.metacritic.com/game/ios/zez
Zie Invades Earth (iOS),https://www.metacritic.com/game/ios/zie-invades-earth
Zig Zag Zombie HD (iOS),https://www.metacritic.com/game/ios/zig-zag-zombie-hd
Ziggurat (iOS),https://www.metacritic.com/game/ios/ziggurat
ZigZag (2015) (iOS),https://www.metacritic.com/game/ios/zigzag-2015
Zimmiz (iOS),https://www.metacritic.com/game/ios/zimmiz
Zip (iOS),https://www.metacritic.com/game/ios/zip
Zip Zap (iOS),https://www.metacritic.com/game/ios/zip-zap
Zirkel - a new kind of puzzle game (iOS),https://www.metacritic.com/game/ios/zirkel---a-new-kind-of-puzzle-game
Zlatan Legends (iOS),https://www.metacritic.com/game/ios/zlatan-legends
Zlider (iOS),https://www.metacritic.com/game/ios/zlider
Zodiac: Orcanon Odyssey (iOS),https://www.metacritic.com/game/ios/zodiac-orcanon-odyssey
Zoidtrip (iOS),https://www.metacritic.com/game/ios/zoidtrip
Zombie Ace (iOS),https://www.metacritic.com/game/ios/zombie-ace
"Zombie Anarchy: Strategy, War & Survival (iOS)",https://www.metacritic.com/game/ios/zombie-anarchy-strategy-war-survival
Zombie Apocalift (iOS),https://www.metacritic.com/game/ios/zombie-apocalift
Zombie Area! (iOS),https://www.metacritic.com/game/ios/zombie-area!
Zombie Bunnies (iOS),https://www.metacritic.com/game/ios/zombie-bunnies
