title,url
A Bastard's Tale (PC),https://www.metacritic.com/game/pc/a-bastards-tale
A Bavarian Tale - Totgeschwiegen (PC),https://www.metacritic.com/game/pc/a-bavarian-tale---totgeschwiegen
A Bewitching Revolution (PC),https://www.metacritic.com/game/pc/a-bewitching-revolution
A Bird Story (PC),https://www.metacritic.com/game/pc/a-bird-story
A Bit of Tactics (PC),https://www.metacritic.com/game/pc/a-bit-of-tactics
A Blind Legend (PC),https://www.metacritic.com/game/pc/a-blind-legend
A Bloody Night (PC),https://www.metacritic.com/game/pc/a-bloody-night
A Bloody Party (PC),https://www.metacritic.com/game/pc/a-bloody-party
A Book of Beasts and Buddies (PC),https://www.metacritic.com/game/pc/a-book-of-beasts-and-buddies
A Boy and His Beard (PC),https://www.metacritic.com/game/pc/a-boy-and-his-beard
A Boy and His Blob (PC),https://www.metacritic.com/game/pc/a-boy-and-his-blob
A Building Full of Cats (PC),https://www.metacritic.com/game/pc/a-building-full-of-cats
A Business Power (PC),https://www.metacritic.com/game/pc/a-business-power
A Butterfly in the District of Dreams (PC),https://www.metacritic.com/game/pc/a-butterfly-in-the-district-of-dreams
A Butterfly's Dream (PC),https://www.metacritic.com/game/pc/a-butterflys-dream
A Buttload of Free Games (PC),https://www.metacritic.com/game/pc/a-buttload-of-free-games
A Camp in the Woods (PC),https://www.metacritic.com/game/pc/a-camp-in-the-woods
A Case of Distrust (PC),https://www.metacritic.com/game/pc/a-case-of-distrust
A Case of the Crabs: Rehash (PC),https://www.metacritic.com/game/pc/a-case-of-the-crabs-rehash
A Castle Full of Cats (PC),https://www.metacritic.com/game/pc/a-castle-full-of-cats
A Cat in Dungeons (PC),https://www.metacritic.com/game/pc/a-cat-in-dungeons
A Cat's Night (PC),https://www.metacritic.com/game/pc/a-cats-night
A Cats Life (PC),https://www.metacritic.com/game/pc/a-cats-life
A Chair in a Room : Greenwater (PC),https://www.metacritic.com/game/pc/a-chair-in-a-room-greenwater
A Christmas Peril (PC),https://www.metacritic.com/game/pc/a-christmas-peril
A Christmas Yarn (PC),https://www.metacritic.com/game/pc/a-christmas-yarn
A Circle Among Squares (PC),https://www.metacritic.com/game/pc/a-circle-among-squares
A City Sleeps (PC),https://www.metacritic.com/game/pc/a-city-sleeps
A Clever Label (PC),https://www.metacritic.com/game/pc/a-clever-label
A Clockwork Ley-Line: Daybreak of Remnants Shadow (PC),https://www.metacritic.com/game/pc/a-clockwork-ley-line-daybreak-of-remnants-shadow
A Clockwork Ley-Line: Flowers Falling in the Morning Mist (PC),https://www.metacritic.com/game/pc/a-clockwork-ley-line-flowers-falling-in-the-morning-mist
A Clockwork Ley-Line: The Borderline of Dusk (PC),https://www.metacritic.com/game/pc/a-clockwork-ley-line-the-borderline-of-dusk
A Collection of Bad Moments (PC),https://www.metacritic.com/game/pc/a-collection-of-bad-moments
A Comfortable Burden (PC),https://www.metacritic.com/game/pc/a-comfortable-burden
A Compendium of Ghosts (PC),https://www.metacritic.com/game/pc/a-compendium-of-ghosts
"a completely normal dating simulation that is definitely completely sweet, innnocent and normal: SOMETHINGETH ANIVERSARY EDITION (PC)",https://www.metacritic.com/game/pc/a-completely-normal-dating-simulation-that-is-definitely-completely-sweet-innnocent-and-normal-somethingeth-aniversary-edition
A Contusion (PC),https://www.metacritic.com/game/pc/a-contusion
A Conversation With Mister Rabbit (PC),https://www.metacritic.com/game/pc/a-conversation-with-mister-rabbit
A Crooked Heart (PC),https://www.metacritic.com/game/pc/a-crooked-heart
A Crown of Sorcery and Steel (PC),https://www.metacritic.com/game/pc/a-crown-of-sorcery-and-steel
A Cure for Jessica (PC),https://www.metacritic.com/game/pc/a-cure-for-jessica
A Curse From Beyond (PC),https://www.metacritic.com/game/pc/a-curse-from-beyond
A Dance of Fire and Ice (PC),https://www.metacritic.com/game/pc/a-dance-of-fire-and-ice
A Dark Ice Saga: The Rescue (PC),https://www.metacritic.com/game/pc/a-dark-ice-saga-the-rescue
A Dark Place (PC),https://www.metacritic.com/game/pc/a-dark-place
A Dark World: The Glowing City (PC),https://www.metacritic.com/game/pc/a-dark-world-the-glowing-city
A Date in the Park (PC),https://www.metacritic.com/game/pc/a-date-in-the-park
A Day (PC),https://www.metacritic.com/game/pc/a-day
A day for a kitten (PC),https://www.metacritic.com/game/pc/a-day-for-a-kitten
A Day In Space (PC),https://www.metacritic.com/game/pc/a-day-in-space
A Day in the Life of Maria (PC),https://www.metacritic.com/game/pc/a-day-in-the-life-of-maria
A Day in the Park (PC),https://www.metacritic.com/game/pc/a-day-in-the-park
A Day In The Woods (PC),https://www.metacritic.com/game/pc/a-day-in-the-woods
A Day of Maintenance (PC),https://www.metacritic.com/game/pc/a-day-of-maintenance
A Day Without Me (PC),https://www.metacritic.com/game/pc/a-day-without-me
A dead world's dream (PC),https://www.metacritic.com/game/pc/a-dead-worlds-dream
A Deadly Maze: Phase 1 (PC),https://www.metacritic.com/game/pc/a-deadly-maze-phase-1
A Demon's Game: Episode 1 (PC),https://www.metacritic.com/game/pc/a-demons-game-episode-1
A Detective's Novel (PC),https://www.metacritic.com/game/pc/a-detectives-novel
