title,url
b (PC),https://www.metacritic.com/game/pc/b
b 2 (PC),https://www.metacritic.com/game/pc/b-2
B A S E M E N T (PC),https://www.metacritic.com/game/pc/b-a-s-e-m-e-n-t
B Hua Shao Shuo (PC),https://www.metacritic.com/game/pc/b-hua-shao-shuo
B**** demon twins (PC),https://www.metacritic.com/game/pc/b-demon-twins
B****y Boss Bimbofication (PC),https://www.metacritic.com/game/pc/by-boss-bimbofication
B-17 Flying Fortress: The Mighty 8th! (PC),https://www.metacritic.com/game/pc/b-17-flying-fortress-the-mighty-8th!
B-17 Flying Fortress: World War II Bombers in Action (PC),https://www.metacritic.com/game/pc/b-17-flying-fortress-world-war-ii-bombers-in-action
B-17 Gunner: Air War Over Germany (PC),https://www.metacritic.com/game/pc/b-17-gunner-air-war-over-germany
B-1LL1 (PC),https://www.metacritic.com/game/pc/b-1ll1
B-Minus 50 (PC),https://www.metacritic.com/game/pc/b-minus-50
B-RABBIT (PC),https://www.metacritic.com/game/pc/b-rabbit
B-RAIN (PC),https://www.metacritic.com/game/pc/b-rain
B. Braun Aesculap Spine VR (PC),https://www.metacritic.com/game/pc/b-braun-aesculap-spine-vr
B. Braun Future Operating Room (PC),https://www.metacritic.com/game/pc/b-braun-future-operating-room
B.A.D Battle Armor Division (PC),https://www.metacritic.com/game/pc/bad-battle-armor-division
B.ARK (PC),https://www.metacritic.com/game/pc/bark
B.C. Bill (PC),https://www.metacritic.com/game/pc/bc-bill
B.C.E. (PC),https://www.metacritic.com/game/pc/bce
B.D.K (PC),https://www.metacritic.com/game/pc/bdk
B.I.G (PC),https://www.metacritic.com/game/pc/big
B.I.N.D. (PC),https://www.metacritic.com/game/pc/bind
B.I.O.T.A. (PC),https://www.metacritic.com/game/pc/biota
B.i.t.Lock (PC),https://www.metacritic.com/game/pc/bitlock
b.m.g 19 - bike messenger go! (PC),https://www.metacritic.com/game/pc/bmg-19---bike-messenger-go!
B.O.T.S. and the Robofriends (PC),https://www.metacritic.com/game/pc/bots-and-the-robofriends
B.U.T.T.O.N (PC),https://www.metacritic.com/game/pc/button
B.Y.O.O.L. - Best Years Of Our Lives (PC),https://www.metacritic.com/game/pc/byool---best-years-of-our-lives
B100X - Auto Dungeon RPG (PC),https://www.metacritic.com/game/pc/b100x---auto-dungeon-rpg
B67 (PC),https://www.metacritic.com/game/pc/b67
B99 (PC),https://www.metacritic.com/game/pc/b99
BAAM SQUAD (PC),https://www.metacritic.com/game/pc/baam-squad
Baba Is You (PC),https://www.metacritic.com/game/pc/baba-is-you
Babba Yagga: Woodboy (PC),https://www.metacritic.com/game/pc/babba-yagga-woodboy
BABBDI (PC),https://www.metacritic.com/game/pc/babbdi
Babble Royale (PC),https://www.metacritic.com/game/pc/babble-royale
Babel (2020) (PC),https://www.metacritic.com/game/pc/babel-2020
Babel Deluxe (PC),https://www.metacritic.com/game/pc/babel-deluxe
Babel Rising (PC),https://www.metacritic.com/game/pc/babel-rising
Babel Rising - Sky's The Limit (PC),https://www.metacritic.com/game/pc/babel-rising---skys-the-limit
Babel Running (PC),https://www.metacritic.com/game/pc/babel-running
Babel: Choice (PC),https://www.metacritic.com/game/pc/babel-choice
Babel: Tower to the Gods (PC),https://www.metacritic.com/game/pc/babel-tower-to-the-gods
Babol the Walking Box (PC),https://www.metacritic.com/game/pc/babol-the-walking-box
Baby Bee (PC),https://www.metacritic.com/game/pc/baby-bee
Baby Blimp (PC),https://www.metacritic.com/game/pc/baby-blimp
Baby Blues (PC),https://www.metacritic.com/game/pc/baby-blues
Baby Coyote (PC),https://www.metacritic.com/game/pc/baby-coyote
Baby Drive (PC),https://www.metacritic.com/game/pc/baby-drive
baby game plan 0-3 (PC),https://www.metacritic.com/game/pc/baby-game-plan-0-3
Baby Goat Billy (PC),https://www.metacritic.com/game/pc/baby-goat-billy
Baby Jones (PC),https://www.metacritic.com/game/pc/baby-jones
Baby Luv (PC),https://www.metacritic.com/game/pc/baby-luv
Baby Mummy's Curse (PC),https://www.metacritic.com/game/pc/baby-mummys-curse
Baby Racer (PC),https://www.metacritic.com/game/pc/baby-racer
Baby Redemption (PC),https://www.metacritic.com/game/pc/baby-redemption
Baby Shark VR Dacing (PC),https://www.metacritic.com/game/pc/baby-shark-vr-dacing
Baby Walking Simulator (PC),https://www.metacritic.com/game/pc/baby-walking-simulator
Baby's on fire (PC),https://www.metacritic.com/game/pc/babys-on-fire
Babycar Driver (PC),https://www.metacritic.com/game/pc/babycar-driver
Babylon 2055 Pinball (PC),https://www.metacritic.com/game/pc/babylon-2055-pinball
Babylon's Fall (PC),https://www.metacritic.com/game/pc/babylons-fall
Babylonia (PC),https://www.metacritic.com/game/pc/babylonia
babyquick : Adventure of the Moon Dragon (PC),https://www.metacritic.com/game/pc/babyquick-adventure-of-the-moon-dragon
Babysitter Bloodbath (PC),https://www.metacritic.com/game/pc/babysitter-bloodbath
Babysitter Simulator (PC),https://www.metacritic.com/game/pc/babysitter-simulator
Babysitting Mania (PC),https://www.metacritic.com/game/pc/babysitting-mania
BACCHANALIA (PC),https://www.metacritic.com/game/pc/bacchanalia
Bacillus (PC),https://www.metacritic.com/game/pc/bacillus
Back 2 School (PC),https://www.metacritic.com/game/pc/back-2-school
Back 4 Blood (PC),https://www.metacritic.com/game/pc/back-4-blood
Back 4 Blood: Children of the Worm (PC),https://www.metacritic.com/game/pc/back-4-blood-children-of-the-worm
Back 4 Blood: River of Blood (PC),https://www.metacritic.com/game/pc/back-4-blood-river-of-blood
Back 4 Blood: Tunnels of Terror (PC),https://www.metacritic.com/game/pc/back-4-blood-tunnels-of-terror
Back 4 Boobs: Sakura's Escape (PC),https://www.metacritic.com/game/pc/back-4-boobs-sakuras-escape
Back Again (PC),https://www.metacritic.com/game/pc/back-again
Back Alley Inn (PC),https://www.metacritic.com/game/pc/back-alley-inn
BACK and BACK to Hell (PC),https://www.metacritic.com/game/pc/back-and-back-to-hell
Back Home (PC),https://www.metacritic.com/game/pc/back-home
Back in 1995 (PC),https://www.metacritic.com/game/pc/back-in-1995
BACK OF SPACE (PC),https://www.metacritic.com/game/pc/back-of-space
Back Rank Chess (PC),https://www.metacritic.com/game/pc/back-rank-chess
Back to 1998 (PC),https://www.metacritic.com/game/pc/back-to-1998
Back to 2001 to Buy a House (PC),https://www.metacritic.com/game/pc/back-to-2001-to-buy-a-house
Back To Ashes (PC),https://www.metacritic.com/game/pc/back-to-ashes
Back to Baghdad (PC),https://www.metacritic.com/game/pc/back-to-baghdad
Back to Bed (PC),https://www.metacritic.com/game/pc/back-to-bed
Back to Dinosaur Island (PC),https://www.metacritic.com/game/pc/back-to-dinosaur-island
Back to Dinosaur Island Part 2 (PC),https://www.metacritic.com/game/pc/back-to-dinosaur-island-part-2
BACK TO EBATORIA (PC),https://www.metacritic.com/game/pc/back-to-ebatoria
Back To Hell (PC),https://www.metacritic.com/game/pc/back-to-hell
Back to life (PC),https://www.metacritic.com/game/pc/back-to-life
Back to Life 2 (PC),https://www.metacritic.com/game/pc/back-to-life-2
Back To Life 3 (PC),https://www.metacritic.com/game/pc/back-to-life-3
Back to the 80's (PC),https://www.metacritic.com/game/pc/back-to-the-80s
Back to the Future: The Game (PC),https://www.metacritic.com/game/pc/back-to-the-future-the-game
Back to the Future: The Game - Episode I: It's About Time (PC),https://www.metacritic.com/game/pc/back-to-the-future-the-game---episode-i-its-about-time
Back to the Future: The Game - Episode II: Get Tannen! (PC),https://www.metacritic.com/game/pc/back-to-the-future-the-game---episode-ii-get-tannen!
Back to the Future: The Game - Episode III: Citizen Brown (PC),https://www.metacritic.com/game/pc/back-to-the-future-the-game---episode-iii-citizen-brown
Back to the Future: The Game - Episode IV: Double Visions (PC),https://www.metacritic.com/game/pc/back-to-the-future-the-game---episode-iv-double-visions
Back to the Future: The Game - Episode V: OUTATIME (PC),https://www.metacritic.com/game/pc/back-to-the-future-the-game---episode-v-outatime
Back To the Joseon (PC),https://www.metacritic.com/game/pc/back-to-the-joseon
Backbone (PC),https://www.metacritic.com/game/pc/backbone
Backbone: Prologue (PC),https://www.metacritic.com/game/pc/backbone-prologue
Backfire (PC),https://www.metacritic.com/game/pc/backfire
Backfire (2017) (PC),https://www.metacritic.com/game/pc/backfire-2017
Backfirewall_ (PC),https://www.metacritic.com/game/pc/backfirewall_
Backgammon (PC),https://www.metacritic.com/game/pc/backgammon
Backgammon (Fiendish Games) (PC),https://www.metacritic.com/game/pc/backgammon-fiendish-games
Backgammon Blitz (PC),https://www.metacritic.com/game/pc/backgammon-blitz
"Backgammon, Chess & Checkers (PC)",https://www.metacritic.com/game/pc/backgammon-chess-checkers
Backpack Hero (PC),https://www.metacritic.com/game/pc/backpack-hero
Backpack Twins (PC),https://www.metacritic.com/game/pc/backpack-twins
Backpacker 2 (PC),https://www.metacritic.com/game/pc/backpacker-2
Backpacker 3 Americana (PC),https://www.metacritic.com/game/pc/backpacker-3-americana
BackPacker Junior (PC),https://www.metacritic.com/game/pc/backpacker-junior
Backpacker: The Lost Florence Gold Mine (PC),https://www.metacritic.com/game/pc/backpacker-the-lost-florence-gold-mine
Backroom Beyond (PC),https://www.metacritic.com/game/pc/backroom-beyond
Backroom Warfare II (PC),https://www.metacritic.com/game/pc/backroom-warfare-ii
Backrooms - Surreality (PC),https://www.metacritic.com/game/pc/backrooms---surreality
Backrooms: Escape Together (PC),https://www.metacritic.com/game/pc/backrooms-escape-together
BackRoomsNew (PC),https://www.metacritic.com/game/pc/backroomsnew
BackSlash (PC),https://www.metacritic.com/game/pc/backslash
Backspace Bouken (PC),https://www.metacritic.com/game/pc/backspace-bouken
Backstage Pass (PC),https://www.metacritic.com/game/pc/backstage-pass
Backstage Pass: The Ultimate Rock & Roll Trivia Game (PC),https://www.metacritic.com/game/pc/backstage-pass-the-ultimate-rock-roll-trivia-game
Backstreets of the Mind (PC),https://www.metacritic.com/game/pc/backstreets-of-the-mind
Backworlds (PC),https://www.metacritic.com/game/pc/backworlds
Backyard Baseball (PC),https://www.metacritic.com/game/pc/backyard-baseball
Backyard Baseball '09 (PC),https://www.metacritic.com/game/pc/backyard-baseball-09
Backyard Baseball 2001 (PC),https://www.metacritic.com/game/pc/backyard-baseball-2001
Backyard Baseball 2003 (PC),https://www.metacritic.com/game/pc/backyard-baseball-2003
Backyard Baseball 2005 (PC),https://www.metacritic.com/game/pc/backyard-baseball-2005
Backyard Basketball 2004 (PC),https://www.metacritic.com/game/pc/backyard-basketball-2004
Backyard Football 2004 (PC),https://www.metacritic.com/game/pc/backyard-football-2004
Backyard Football 2006 (PC),https://www.metacritic.com/game/pc/backyard-football-2006
Backyard Football 2008 (PC),https://www.metacritic.com/game/pc/backyard-football-2008
Backyard Football 2009 (PC),https://www.metacritic.com/game/pc/backyard-football-2009
Backyard Hockey (PC),https://www.metacritic.com/game/pc/backyard-hockey
Backyard Hockey 2005 (PC),https://www.metacritic.com/game/pc/backyard-hockey-2005
Backyard Skateboarding (2004) (PC),https://www.metacritic.com/game/pc/backyard-skateboarding-2004
Backyard Skateboarding (2005) (PC),https://www.metacritic.com/game/pc/backyard-skateboarding-2005
Backyard Soccer 2004 (PC),https://www.metacritic.com/game/pc/backyard-soccer-2004
Backyard Soccer: MLS Edition (PC),https://www.metacritic.com/game/pc/backyard-soccer-mls-edition
Backyard Sports (PC),https://www.metacritic.com/game/pc/backyard-sports
Backyard Sports Baseball 2007 (PC),https://www.metacritic.com/game/pc/backyard-sports-baseball-2007
Backyard Sports Basketball 2007 (PC),https://www.metacritic.com/game/pc/backyard-sports-basketball-2007
Backyard Sports: Sandlot Sluggers (PC),https://www.metacritic.com/game/pc/backyard-sports-sandlot-sluggers
Backyardigans: Mission to Mars (PC),https://www.metacritic.com/game/pc/backyardigans-mission-to-mars
Bacon Man: An Adventure (PC),https://www.metacritic.com/game/pc/bacon-man-an-adventure
Bacon May Die (PC),https://www.metacritic.com/game/pc/bacon-may-die
Bacon Quest - Lovers' Beef Special Edition (PC),https://www.metacritic.com/game/pc/bacon-quest---lovers-beef-special-edition
Bacon Rebellion (PC),https://www.metacritic.com/game/pc/bacon-rebellion
Bacon Roll: Year of the Pig - VR (PC),https://www.metacritic.com/game/pc/bacon-roll-year-of-the-pig---vr
Bacon Tales - Between Pigs and Wolves (PC),https://www.metacritic.com/game/pc/bacon-tales---between-pigs-and-wolves
Bacteria (PC),https://www.metacritic.com/game/pc/bacteria
Bacteria Wars (PC),https://www.metacritic.com/game/pc/bacteria-wars
Bacteria-X: Adventure (PC),https://www.metacritic.com/game/pc/bacteria-x-adventure
Bacterial edge (PC),https://www.metacritic.com/game/pc/bacterial-edge
Bad animals - rabbit (PC),https://www.metacritic.com/game/pc/bad-animals---rabbit
Bad Ass Babes (PC),https://www.metacritic.com/game/pc/bad-ass-babes
Bad Bad (PC),https://www.metacritic.com/game/pc/bad-bad
Bad Ben (PC),https://www.metacritic.com/game/pc/bad-ben
BAD BILLY 2D VR (PC),https://www.metacritic.com/game/pc/bad-billy-2d-vr
Bad Birthday (PC),https://www.metacritic.com/game/pc/bad-birthday
Bad Bots (PC),https://www.metacritic.com/game/pc/bad-bots
Bad Bots Battle Arena (PC),https://www.metacritic.com/game/pc/bad-bots-battle-arena
Bad Bots Rise (PC),https://www.metacritic.com/game/pc/bad-bots-rise
Bad boy simulator (PC),https://www.metacritic.com/game/pc/bad-boy-simulator
Bad Business (PC),https://www.metacritic.com/game/pc/bad-business
Bad Cat (PC),https://www.metacritic.com/game/pc/bad-cat
Bad cat Sam (PC),https://www.metacritic.com/game/pc/bad-cat-sam
Bad Caterpillar (PC),https://www.metacritic.com/game/pc/bad-caterpillar
Bad Chicken (PC),https://www.metacritic.com/game/pc/bad-chicken
Bad Cops (PC),https://www.metacritic.com/game/pc/bad-cops
Bad Credit (PC),https://www.metacritic.com/game/pc/bad-credit
Bad Day (PC),https://www.metacritic.com/game/pc/bad-day
BAD DAY (Factory 64 Games) (PC),https://www.metacritic.com/game/pc/bad-day-factory-64-games
Bad Day Betsy (PC),https://www.metacritic.com/game/pc/bad-day-betsy
Bad Dream: Coma (PC),https://www.metacritic.com/game/pc/bad-dream-coma
Bad Dream: Fever (PC),https://www.metacritic.com/game/pc/bad-dream-fever
Bad Dream: Stories (PC),https://www.metacritic.com/game/pc/bad-dream-stories
BAD END (PC),https://www.metacritic.com/game/pc/bad-end
BAD END THEATER (PC),https://www.metacritic.com/game/pc/bad-end-theater
Bad Faith (PC),https://www.metacritic.com/game/pc/bad-faith
Bad Girl (PC),https://www.metacritic.com/game/pc/bad-girl
Bad Girl (2019) (PC),https://www.metacritic.com/game/pc/bad-girl-2019
Bad Girl Confidential - The Pleasure Den (PC),https://www.metacritic.com/game/pc/bad-girl-confidential---the-pleasure-den
Bad Government (PC),https://www.metacritic.com/game/pc/bad-government
Bad Guy Adventure (PC),https://www.metacritic.com/game/pc/bad-guy-adventure
Bad Guy: Neighborhood (PC),https://www.metacritic.com/game/pc/bad-guy-neighborhood
Bad Guys at School (PC),https://www.metacritic.com/game/pc/bad-guys-at-school
Bad Hombre (PC),https://www.metacritic.com/game/pc/bad-hombre
Bad Hop Baseball (PC),https://www.metacritic.com/game/pc/bad-hop-baseball
Bad Hotel (PC),https://www.metacritic.com/game/pc/bad-hotel
Bad Impressions (PC),https://www.metacritic.com/game/pc/bad-impressions
Bad Kids (PC),https://www.metacritic.com/game/pc/bad-kids
Bad Lady (PC),https://www.metacritic.com/game/pc/bad-lady
Bad Meme (PC),https://www.metacritic.com/game/pc/bad-meme
Bad Mojo (PC),https://www.metacritic.com/game/pc/bad-mojo
Bad Mojo: Redux (PC),https://www.metacritic.com/game/pc/bad-mojo-redux
Bad Mojos (PC),https://www.metacritic.com/game/pc/bad-mojos
Bad Neighbor (PC),https://www.metacritic.com/game/pc/bad-neighbor
Bad North (PC),https://www.metacritic.com/game/pc/bad-north
Bad North: Jotunn Edition (PC),https://www.metacritic.com/game/pc/bad-north-jotunn-edition
Bad Note (PC),https://www.metacritic.com/game/pc/bad-note
Bad Piggies (PC),https://www.metacritic.com/game/pc/bad-piggies
Bad Rats Show (PC),https://www.metacritic.com/game/pc/bad-rats-show
Bad Rats: The Rats Revenge (PC),https://www.metacritic.com/game/pc/bad-rats-the-rats-revenge
Bad Run - Turbo Edition (PC),https://www.metacritic.com/game/pc/bad-run---turbo-edition
Bad Santa (PC),https://www.metacritic.com/game/pc/bad-santa
Bad School Boy (PC),https://www.metacritic.com/game/pc/bad-school-boy
Bad Sector HDD (PC),https://www.metacritic.com/game/pc/bad-sector-hdd
Bad Shooter 2 (PC),https://www.metacritic.com/game/pc/bad-shooter-2
Bad Smell (PC),https://www.metacritic.com/game/pc/bad-smell
Bad Thoughts (PC),https://www.metacritic.com/game/pc/bad-thoughts
Bad Way (PC),https://www.metacritic.com/game/pc/bad-way
Bad Writer (PC),https://www.metacritic.com/game/pc/bad-writer
BADASS (PC),https://www.metacritic.com/game/pc/badass
Badass Locomotive (PC),https://www.metacritic.com/game/pc/badass-locomotive
BADBLOOD (PC),https://www.metacritic.com/game/pc/badblood
Badland Bandits (PC),https://www.metacritic.com/game/pc/badland-bandits
BADLAND: Game of the Year Edition (PC),https://www.metacritic.com/game/pc/badland-game-of-the-year-edition
Badlanders (PC),https://www.metacritic.com/game/pc/badlanders
Badlands (PC),https://www.metacritic.com/game/pc/badlands
Badlands Racer (PC),https://www.metacritic.com/game/pc/badlands-racer
BadLands RoadTrip (PC),https://www.metacritic.com/game/pc/badlands-roadtrip
