title,url
c (2018) (PC),https://www.metacritic.com/game/pc/c-2018
C T O D (PC),https://www.metacritic.com/game/pc/c-t-o-d
C&T (PC),https://www.metacritic.com/game/pc/ct
C***ville (PC),https://www.metacritic.com/game/pc/cville
C***work Industries Complete (PC),https://www.metacritic.com/game/pc/cwork-industries-complete
C**KHEAD (PC),https://www.metacritic.com/game/pc/ckhead
C**ming Hotel - A Gay Furry Slice of Life (PC),https://www.metacritic.com/game/pc/cming-hotel---a-gay-furry-slice-of-life
C*m on! B*kkake Ranch! (PC),https://www.metacritic.com/game/pc/cm-on!-bkkake-ranch!
C-130 Hercules (PC),https://www.metacritic.com/game/pc/c-130-hercules
C-4 (PC),https://www.metacritic.com/game/pc/c-4
C-RUSH (PC),https://www.metacritic.com/game/pc/c-rush
C-TAS: A Virtual Chinese Learning Game (PC),https://www.metacritic.com/game/pc/c-tas-a-virtual-chinese-learning-game
C-War 2 (PC),https://www.metacritic.com/game/pc/c-war-2
C-Wars (PC),https://www.metacritic.com/game/pc/c-wars
C. Kane (PC),https://www.metacritic.com/game/pc/c-kane
C.A.P.S. - Cyber Animal Planet Survival (PC),https://www.metacritic.com/game/pc/caps---cyber-animal-planet-survival
C.A.R.L. (PC),https://www.metacritic.com/game/pc/carl
C.A.T.S. - Carefully Attempting not To Screw up (PC),https://www.metacritic.com/game/pc/cats---carefully-attempting-not-to-screw-up
C.H.A.S.E.D. (PC),https://www.metacritic.com/game/pc/chased
C.O.D.E.R.E.D (PC),https://www.metacritic.com/game/pc/codered
C.R.E.E.P.S (PC),https://www.metacritic.com/game/pc/creeps
C.S.S. CITADEL VR (PC),https://www.metacritic.com/game/pc/css-citadel-vr
C.Y.S.M.A. (PC),https://www.metacritic.com/game/pc/cysma
C14 Dating (PC),https://www.metacritic.com/game/pc/c14-dating
C21 Steel Battle Chronicles (PC),https://www.metacritic.com/game/pc/c21-steel-battle-chronicles
C2H6O (PC),https://www.metacritic.com/game/pc/c2h6o
C64 & AMIGA Classix Remakes Sixpack (PC),https://www.metacritic.com/game/pc/c64-amiga-classix-remakes-sixpack
C64 & AMIGA Classix Remakes Sixpack 2 (PC),https://www.metacritic.com/game/pc/c64-amiga-classix-remakes-sixpack-2
C64 & AMIGA Classix Remakes Sixpack 3 (PC),https://www.metacritic.com/game/pc/c64-amiga-classix-remakes-sixpack-3
C:raft (PC),https://www.metacritic.com/game/pc/craft
Cab Driver Commander (PC),https://www.metacritic.com/game/pc/cab-driver-commander
Cabal II: The Neoforce Era (PC),https://www.metacritic.com/game/pc/cabal-ii-the-neoforce-era
CABAL Online (PC),https://www.metacritic.com/game/pc/cabal-online
Cabals: Card Blitz (PC),https://www.metacritic.com/game/pc/cabals-card-blitz
CABARET 4 CARD (PC),https://www.metacritic.com/game/pc/cabaret-4-card
Cabbage Patch Kids: Where's My Pony? (PC),https://www.metacritic.com/game/pc/cabbage-patch-kids-wheres-my-pony
Cabbagers (PC),https://www.metacritic.com/game/pc/cabbagers
Cabela's 4x4 Off-Road Adventure 2 (PC),https://www.metacritic.com/game/pc/cabelas-4x4-off-road-adventure-2
Cabela's 4x4 Off-Road Adventure 3 (PC),https://www.metacritic.com/game/pc/cabelas-4x4-off-road-adventure-3
Cabela's African Adventures (PC),https://www.metacritic.com/game/pc/cabelas-african-adventures
Cabela's African Safari (PC),https://www.metacritic.com/game/pc/cabelas-african-safari
Cabela's Big Game Hunter 2004 Season (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-2004-season
Cabela's Big Game Hunter 2005 Adventures (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-2005-adventures
Cabela's Big Game Hunter 2006 (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-2006
Cabela's Big Game Hunter 2006 with 4x4 Off Road Adventure (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-2006-with-4x4-off-road-adventure
Cabela's Big Game Hunter 2007: 10th Anniversary Edition (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-2007-10th-anniversary-edition
Cabela's Big Game Hunter 4 (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-4
Cabela's Big Game Hunter 5 Platinum (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-5-platinum
Cabela's Big Game Hunter 6 (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-6
Cabela's Big Game Hunter III (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-iii
Cabela's Big Game Hunter: 10th Anniversary Edition - Alaskan Adventure (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-10th-anniversary-edition---alaskan-adventure
Cabela's Big Game Hunter: Pro Hunts (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-pro-hunts
Cabela's Big Game Hunter: Trophy Bucks (PC),https://www.metacritic.com/game/pc/cabelas-big-game-hunter-trophy-bucks
Cabela's Dangerous Hunts (PC),https://www.metacritic.com/game/pc/cabelas-dangerous-hunts
Cabela's Dangerous Hunts 2 (PC),https://www.metacritic.com/game/pc/cabelas-dangerous-hunts-2
Cabela's Dangerous Hunts 2013 (PC),https://www.metacritic.com/game/pc/cabelas-dangerous-hunts-2013
Cabela's Deer Hunt 2005 Season (PC),https://www.metacritic.com/game/pc/cabelas-deer-hunt-2005-season
Cabela's GrandSlam Hunting: 2004 Trophies (PC),https://www.metacritic.com/game/pc/cabelas-grandslam-hunting-2004-trophies
Cabela's Hunting Expeditions (PC),https://www.metacritic.com/game/pc/cabelas-hunting-expeditions
Cabela's Outdoor Adventures (2006) (PC),https://www.metacritic.com/game/pc/cabelas-outdoor-adventures-2006
Cabela's Outdoor Adventures (2009) (PC),https://www.metacritic.com/game/pc/cabelas-outdoor-adventures-2009
Cabela's Outdoor Trivia Challenge (PC),https://www.metacritic.com/game/pc/cabelas-outdoor-trivia-challenge
Cabela's Ultimate Deer Hunt (PC),https://www.metacritic.com/game/pc/cabelas-ultimate-deer-hunt
Cabin Fever (PC),https://www.metacritic.com/game/pc/cabin-fever
Cabins: Jigsaw Puzzles (PC),https://www.metacritic.com/game/pc/cabins-jigsaw-puzzles
Cable Clutter (PC),https://www.metacritic.com/game/pc/cable-clutter
Caboodle (PC),https://www.metacritic.com/game/pc/caboodle
CABOUS (PC),https://www.metacritic.com/game/pc/cabous
Cactus Bruce and the Corporate Monkeys (PC),https://www.metacritic.com/game/pc/cactus-bruce-and-the-corporate-monkeys
Cactus Canyon (PC),https://www.metacritic.com/game/pc/cactus-canyon
Cactus Clicker - Bofete Stories (PC),https://www.metacritic.com/game/pc/cactus-clicker---bofete-stories
Cactus Cowboy - Plants at War (PC),https://www.metacritic.com/game/pc/cactus-cowboy---plants-at-war
Cactus Cowboy 3 - Fully Loaded (PC),https://www.metacritic.com/game/pc/cactus-cowboy-3---fully-loaded
Cactus Jumper (PC),https://www.metacritic.com/game/pc/cactus-jumper
Cactus Simulator (PC),https://www.metacritic.com/game/pc/cactus-simulator
Cactus Strowberry Dance Revolution (PC),https://www.metacritic.com/game/pc/cactus-strowberry-dance-revolution
Caddy Hack (PC),https://www.metacritic.com/game/pc/caddy-hack
CADE PRIME (PC),https://www.metacritic.com/game/pc/cade-prime
"Cadenza: Fame, Theft and Murder (PC)",https://www.metacritic.com/game/pc/cadenza-fame-theft-and-murder
Cadenza: Havana Nights (PC),https://www.metacritic.com/game/pc/cadenza-havana-nights
"Cadenza: Music, Betrayal and Death (PC)",https://www.metacritic.com/game/pc/cadenza-music-betrayal-and-death
Cadenza: The Eternal Dance (PC),https://www.metacritic.com/game/pc/cadenza-the-eternal-dance
Cadenza: The Following (PC),https://www.metacritic.com/game/pc/cadenza-the-following
Cadenza: The Kiss of Death (PC),https://www.metacritic.com/game/pc/cadenza-the-kiss-of-death
Cadria Item Shop (PC),https://www.metacritic.com/game/pc/cadria-item-shop
CAEDES (PC),https://www.metacritic.com/game/pc/caedes
Caelum (PC),https://www.metacritic.com/game/pc/caelum
Caelum: Into the Sky Volume 1 (PC),https://www.metacritic.com/game/pc/caelum-into-the-sky-volume-1
Caelus Trident (PC),https://www.metacritic.com/game/pc/caelus-trident
Caesar III (PC),https://www.metacritic.com/game/pc/caesar-iii
Caesar IV (PC),https://www.metacritic.com/game/pc/caesar-iv
CaesarIA (PC),https://www.metacritic.com/game/pc/caesaria
Caesars Palace 2000: Millennium Gold Edition (PC),https://www.metacritic.com/game/pc/caesars-palace-2000-millennium-gold-edition
CAFE 0 ~The Drowned Mermaid~ (PC),https://www.metacritic.com/game/pc/cafe-0-the-drowned-mermaid
CAFE 0 ~The Sleeping Beast~ (PC),https://www.metacritic.com/game/pc/cafe-0-the-sleeping-beast
Cafe Crush (PC),https://www.metacritic.com/game/pc/cafe-crush
Cafe Deux Femmes (PC),https://www.metacritic.com/game/pc/cafe-deux-femmes
Cafe International (PC),https://www.metacritic.com/game/pc/cafe-international
Cafe Mahjongg (PC),https://www.metacritic.com/game/pc/cafe-mahjongg
Cafe Owner Simulator (PC),https://www.metacritic.com/game/pc/cafe-owner-simulator
Cafe Rouge (PC),https://www.metacritic.com/game/pc/cafe-rouge
Cafe Stella and the Reaper's Butterflies (PC),https://www.metacritic.com/game/pc/cafe-stella-and-the-reapers-butterflies
Cafeteria Nipponica (PC),https://www.metacritic.com/game/pc/cafeteria-nipponica
Caffeine (PC),https://www.metacritic.com/game/pc/caffeine
Caffeine: Episode One (PC),https://www.metacritic.com/game/pc/caffeine-episode-one
CAGE (2016) (PC),https://www.metacritic.com/game/pc/cage-2016
Cage of Etha (PC),https://www.metacritic.com/game/pc/cage-of-etha
Cage of the Succubi (PC),https://www.metacritic.com/game/pc/cage-of-the-succubi
CAGE-FACE | Case 1: The Mine (PC),https://www.metacritic.com/game/pc/cage-face-case-1-the-mine
CAGE-FACE | Case 2: The Sewer (PC),https://www.metacritic.com/game/pc/cage-face-case-2-the-sewer
Caged Beast (PC),https://www.metacritic.com/game/pc/caged-beast
Cahertis (PC),https://www.metacritic.com/game/pc/cahertis
Cahors Sunset (PC),https://www.metacritic.com/game/pc/cahors-sunset
Caillou Preschool (PC),https://www.metacritic.com/game/pc/caillou-preschool
Caillou: Four Seasons of Fun (PC),https://www.metacritic.com/game/pc/caillou-four-seasons-of-fun
Caillou: Ready for School (PC),https://www.metacritic.com/game/pc/caillou-ready-for-school
Caillou: Ready to Read (PC),https://www.metacritic.com/game/pc/caillou-ready-to-read
Cairn: Stone Balancing (PC),https://www.metacritic.com/game/pc/cairn-stone-balancing
Cairo's Tale: The Big Egg (PC),https://www.metacritic.com/game/pc/cairos-tale-the-big-egg
Caissa Board (PC),https://www.metacritic.com/game/pc/caissa-board
Cajun Cop: The French Quarter Caper (PC),https://www.metacritic.com/game/pc/cajun-cop-the-french-quarter-caper
Cake Bash (PC),https://www.metacritic.com/game/pc/cake-bash
Cake Invaders (PC),https://www.metacritic.com/game/pc/cake-invaders
Cake Mania (PC),https://www.metacritic.com/game/pc/cake-mania
Cake Mania 2: Jill's Next Adventure! (PC),https://www.metacritic.com/game/pc/cake-mania-2-jills-next-adventure!
Cake Mania 3 (PC),https://www.metacritic.com/game/pc/cake-mania-3
Cake Mania Collection (PC),https://www.metacritic.com/game/pc/cake-mania-collection
Cake Mania: Back To The Bakery (PC),https://www.metacritic.com/game/pc/cake-mania-back-to-the-bakery
Cake Mania: Main Street (PC),https://www.metacritic.com/game/pc/cake-mania-main-street
Cake Mania: To the Max! (PC),https://www.metacritic.com/game/pc/cake-mania-to-the-max!
