title,url
D (PC),https://www.metacritic.com/game/pc/d
D Series OFF ROAD Racing Simulation (PC),https://www.metacritic.com/game/pc/d-series-off-road-racing-simulation
D*** Hook (PC),https://www.metacritic.com/game/pc/d-hook
D***down Duel (PC),https://www.metacritic.com/game/pc/ddown-duel
D-Bug (PC),https://www.metacritic.com/game/pc/d-bug
D-Day (PC),https://www.metacritic.com/game/pc/d-day
D.C. II: Da Capo II (PC),https://www.metacritic.com/game/pc/dc-ii-da-capo-ii
D.C. III R: Da Capo III R (PC),https://www.metacritic.com/game/pc/dc-iii-r-da-capo-iii-r
D.C. S#*!storm (PC),https://www.metacritic.com/game/pc/dc-s!storm
D.C.: Da Capo (PC),https://www.metacritic.com/game/pc/dc-da-capo
D.H.M. (PC),https://www.metacritic.com/game/pc/dhm
D.H.Trouble Guy (PC),https://www.metacritic.com/game/pc/dhtrouble-guy
D.H.Witch (PC),https://www.metacritic.com/game/pc/dhwitch
D.H.Zombie Zone (PC),https://www.metacritic.com/game/pc/dhzombie-zone
D.I.P.R.I.P. Warm Up (PC),https://www.metacritic.com/game/pc/diprip-warm-up
D.i.R.T. - Origin of the Species (PC),https://www.metacritic.com/game/pc/dirt---origin-of-the-species
D.N.Age (PC),https://www.metacritic.com/game/pc/dnage
D.O.G: Fight For Your Life (PC),https://www.metacritic.com/game/pc/dog-fight-for-your-life
D.S. -Dal Segno- (PC),https://www.metacritic.com/game/pc/ds--dal-segno-
D.U.S.T. (PC),https://www.metacritic.com/game/pc/dust
D.W. the Picky Eater (PC),https://www.metacritic.com/game/pc/dw-the-picky-eater
D.W.A.R.F.S. (PC),https://www.metacritic.com/game/pc/dwarfs
D/Generation HD (PC),https://www.metacritic.com/game/pc/dgeneration-hd
D100 Dungeon Computer Companion (PC),https://www.metacritic.com/game/pc/d100-dungeon-computer-companion
D1896 (PC),https://www.metacritic.com/game/pc/d1896
d2b vs. Dear Drops: Cross the Future (PC),https://www.metacritic.com/game/pc/d2b-vs-dear-drops-cross-the-future
D3D INSIDE (PC),https://www.metacritic.com/game/pc/d3d-inside
D3D INSIDE 2: HELL (PC),https://www.metacritic.com/game/pc/d3d-inside-2-hell
D3L3T3.exe - Aplicativo do Mal a origem (PC),https://www.metacritic.com/game/pc/d3l3t3exe---aplicativo-do-mal-a-origem
D4: Dark Dreams Don't Die (PC),https://www.metacritic.com/game/pc/d4-dark-dreams-dont-die
Da New Guys: Day of the Jackass (PC),https://www.metacritic.com/game/pc/da-new-guys-day-of-the-jackass
Da Tutu (PC),https://www.metacritic.com/game/pc/da-tutu
Da! Russian Quiz (PC),https://www.metacritic.com/game/pc/da!-russian-quiz
Daardoa (PC),https://www.metacritic.com/game/pc/daardoa
Daath Origins (PC),https://www.metacritic.com/game/pc/daath-origins
DAB 12 (PC),https://www.metacritic.com/game/pc/dab-12
Dab on 'em Haterz (PC),https://www.metacritic.com/game/pc/dab-on-em-haterz
Dab on Darkness! (PC),https://www.metacritic.com/game/pc/dab-on-darkness!
"Dab, Twerk & Dance (PC)",https://www.metacritic.com/game/pc/dab-twerk-dance
Dabado Puzzles (PC),https://www.metacritic.com/game/pc/dabado-puzzles
Dabda (PC),https://www.metacritic.com/game/pc/dabda
Dabman: When the Haters Dab Back (PC),https://www.metacritic.com/game/pc/dabman-when-the-haters-dab-back
