title,url
G for Gravity (PC),https://www.metacritic.com/game/pc/g-for-gravity
G Prime (PC),https://www.metacritic.com/game/pc/g-prime
G String (PC),https://www.metacritic.com/game/pc/g-string
G-Darius HD (PC),https://www.metacritic.com/game/pc/g-darius-hd
G-DINO'S JUNGLE ADVENTURE (PC),https://www.metacritic.com/game/pc/g-dinos-jungle-adventure
G-Mode Archives + Danmaku Kentei Shi Tameshi - Daioujou Hen - (PC),https://www.metacritic.com/game/pc/g-mode-archives-+-danmaku-kentei-shi-tameshi---daioujou-hen--
G-Mode Archives + DoDonPachi Dai-Ou-Jou DX (PC),https://www.metacritic.com/game/pc/g-mode-archives-+-dodonpachi-dai-ou-jou-dx
G-Mode Archives 01: Flyhight Cloudia (PC),https://www.metacritic.com/game/pc/g-mode-archives-01-flyhight-cloudia
G-Mode Archives 09: Flyhight Cloudia 2 (PC),https://www.metacritic.com/game/pc/g-mode-archives-09-flyhight-cloudia-2
G-Mode Archives 15: Churashima Kurashi (PC),https://www.metacritic.com/game/pc/g-mode-archives-15-churashima-kurashi
G-Mode Archives 17: Flyhight Cloudia 3 (PC),https://www.metacritic.com/game/pc/g-mode-archives-17-flyhight-cloudia-3
G-Mode Archives 19: Magical Drop DX (PC),https://www.metacritic.com/game/pc/g-mode-archives-19-magical-drop-dx
G-Mode Archives 28: Sepas Channel (PC),https://www.metacritic.com/game/pc/g-mode-archives-28-sepas-channel
G-Mode Archives 39: Flyhight Cloudia 4 (PC),https://www.metacritic.com/game/pc/g-mode-archives-39-flyhight-cloudia-4
G-MODE Archives+ - Last Bible New Testament II: Hajimari no Fukuin (PC),https://www.metacritic.com/game/pc/g-mode-archives+---last-bible-new-testament-ii-hajimari-no-fukuin
G-MODE Archives+ - Megami Tensei Gaiden: Shinyaku Last Bible III - Mugen no Eiyuu (PC),https://www.metacritic.com/game/pc/g-mode-archives+---megami-tensei-gaiden-shinyaku-last-bible-iii---mugen-no-eiyuu
G-MODE Archives+: Megami Tensei Gaiden: Shinyaku Last Bible (PC),https://www.metacritic.com/game/pc/g-mode-archives+-megami-tensei-gaiden-shinyaku-last-bible
G-NOME (PC),https://www.metacritic.com/game/pc/g-nome
G-Police (PC),https://www.metacritic.com/game/pc/g-police
G-senjou no Maou - The Devil on G-String (PC),https://www.metacritic.com/game/pc/g-senjou-no-maou---the-devil-on-g-string
G.A.M.E.S (PC),https://www.metacritic.com/game/pc/games
G.H.O.S.T Chronicles: Phantom of the Renaissance Faire (PC),https://www.metacritic.com/game/pc/ghost-chronicles-phantom-of-the-renaissance-faire
G.H.O.S.T. Hunters: The Haunting of Majesty Manor (PC),https://www.metacritic.com/game/pc/ghost-hunters-the-haunting-of-majesty-manor
G.I. Combat (PC),https://www.metacritic.com/game/pc/gi-combat
G.I. Joe: Operation Blackout (PC),https://www.metacritic.com/game/pc/gi-joe-operation-blackout
G.R.E.E.N. The Life Algorithm (PC),https://www.metacritic.com/game/pc/green-the-life-algorithm
G.R.U.N.T.S. (PC),https://www.metacritic.com/game/pc/grunts
