title,url
I (DON'T) HATE HENTAI PUZZLES (PC),https://www.metacritic.com/game/pc/i-dont-hate-hentai-puzzles
I accidentally restarted the USSR (PC),https://www.metacritic.com/game/pc/i-accidentally-restarted-the-ussr
I Am - a story of awakenings (PC),https://www.metacritic.com/game/pc/i-am---a-story-of-awakenings
I Am 1 (PC),https://www.metacritic.com/game/pc/i-am-1
I Am a Hero (PC),https://www.metacritic.com/game/pc/i-am-a-hero
I Am a Rock (PC),https://www.metacritic.com/game/pc/i-am-a-rock
I am a senior official (PC),https://www.metacritic.com/game/pc/i-am-a-senior-official
I Am Alive (PC),https://www.metacritic.com/game/pc/i-am-alive
I am an Air Traffic Controller 4 (PC),https://www.metacritic.com/game/pc/i-am-an-air-traffic-controller-4
I am Bjorn: Escape Room (PC),https://www.metacritic.com/game/pc/i-am-bjorn-escape-room
I Am Bread (PC),https://www.metacritic.com/game/pc/i-am-bread
I AM BUTTER (PC),https://www.metacritic.com/game/pc/i-am-butter
I Am Caligula (PC),https://www.metacritic.com/game/pc/i-am-caligula
I Am Data (PC),https://www.metacritic.com/game/pc/i-am-data
I Am Dead (PC),https://www.metacritic.com/game/pc/i-am-dead
I Am Fish (PC),https://www.metacritic.com/game/pc/i-am-fish
I AM FLY (PC),https://www.metacritic.com/game/pc/i-am-fly
I Am Full of Identity Codes (PC),https://www.metacritic.com/game/pc/i-am-full-of-identity-codes
I Am Gangster (PC),https://www.metacritic.com/game/pc/i-am-gangster
I Am Gooey (PC),https://www.metacritic.com/game/pc/i-am-gooey
I Am Jesus Christ: Prologue (PC),https://www.metacritic.com/game/pc/i-am-jesus-christ-prologue
I am not legend (PC),https://www.metacritic.com/game/pc/i-am-not-legend
I am on Fire (PC),https://www.metacritic.com/game/pc/i-am-on-fire
I Am Overburdened (PC),https://www.metacritic.com/game/pc/i-am-overburdened
I Am Robot (PC),https://www.metacritic.com/game/pc/i-am-robot
I Am Sakuya: Touhou FPS Game (PC),https://www.metacritic.com/game/pc/i-am-sakuya-touhou-fps-game
I Am Setsuna (PC),https://www.metacritic.com/game/pc/i-am-setsuna
I Am the Captain Now (PC),https://www.metacritic.com/game/pc/i-am-the-captain-now
I am the Dean (PC),https://www.metacritic.com/game/pc/i-am-the-dean
I am the dirt-for art (PC),https://www.metacritic.com/game/pc/i-am-the-dirt-for-art
I Am The Hero (PC),https://www.metacritic.com/game/pc/i-am-the-hero
I Am The Prosecutor: No Evidence? No Problem! (PC),https://www.metacritic.com/game/pc/i-am-the-prosecutor-no-evidence-no-problem!
I Am Two People (PC),https://www.metacritic.com/game/pc/i-am-two-people
I Am Vegend: Zombiegeddon (PC),https://www.metacritic.com/game/pc/i-am-vegend-zombiegeddon
I am Weapon: Revival (PC),https://www.metacritic.com/game/pc/i-am-weapon-revival
