title,url
L U N E (PC),https://www.metacritic.com/game/pc/l-u-n-e
l'Abbaye des Morts (PC),https://www.metacritic.com/game/pc/labbaye-des-morts
L'Avancee du desert (PC),https://www.metacritic.com/game/pc/lavancee-du-desert
L'Cestrue Seyuntres (PC),https://www.metacritic.com/game/pc/lcestrue-seyuntres
L'Etranger (PC),https://www.metacritic.com/game/pc/letranger
"L'intrepide, le futur de l'imparfait (PC)",https://www.metacritic.com/game/pc/lintrepide-le-futur-de-limparfait
L'Onza the Bounty Hunter (PC),https://www.metacritic.com/game/pc/lonza-the-bounty-hunter
L-Racers (PC),https://www.metacritic.com/game/pc/l-racers
L-Way (PC),https://www.metacritic.com/game/pc/l-way
L. Frank Baum's The Wonderful Wizard of Oz (PC),https://www.metacritic.com/game/pc/l-frank-baums-the-wonderful-wizard-of-oz
L.A. Noire: The Complete Edition (PC),https://www.metacritic.com/game/pc/la-noire-the-complete-edition
L.A. Noire: The VR Case Files (PC),https://www.metacritic.com/game/pc/la-noire-the-vr-case-files
L.A. Rush (PC),https://www.metacritic.com/game/pc/la-rush
L.O.L. Surprise! B.B.s Born to Travel (PC),https://www.metacritic.com/game/pc/lol-surprise!-bbs-born-to-travel
L.S.D.: Prologue to Lasting Spiritual Derangement (PC),https://www.metacritic.com/game/pc/lsd-prologue-to-lasting-spiritual-derangement
L30-P4RD (PC),https://www.metacritic.com/game/pc/l30-p4rd
La Aventura De Axel (PC),https://www.metacritic.com/game/pc/la-aventura-de-axel
La Camila: A VR Experience (PC),https://www.metacritic.com/game/pc/la-camila-a-vr-experience
La Casa De Dora (PC),https://www.metacritic.com/game/pc/la-casa-de-dora
LA Cops (PC),https://www.metacritic.com/game/pc/la-cops
LA Deadzone (PC),https://www.metacritic.com/game/pc/la-deadzone
La Foret de Pago : La vengeance du dragon (PC),https://www.metacritic.com/game/pc/la-foret-de-pago-la-vengeance-du-dragon
La Fuga (PC),https://www.metacritic.com/game/pc/la-fuga
La Grande Armee at Austerlitz (PC),https://www.metacritic.com/game/pc/la-grande-armee-at-austerlitz
La Historia De (PC),https://www.metacritic.com/game/pc/la-historia-de
La Introduccion (PC),https://www.metacritic.com/game/pc/la-introduccion
La Jetee (PC),https://www.metacritic.com/game/pc/la-jetee
"La legende des Diametis, la quete de Chloe (PC)",https://www.metacritic.com/game/pc/la-legende-des-diametis-la-quete-de-chloe
La Maledizione dell'Uccello Serpente (PC),https://www.metacritic.com/game/pc/la-maledizione-delluccello-serpente
LA Monsters (PC),https://www.metacritic.com/game/pc/la-monsters
La Porte des Fauconniers : Guerre Medievale (PC),https://www.metacritic.com/game/pc/la-porte-des-fauconniers-guerre-medievale
La Pucelle: Ragnarok (PC),https://www.metacritic.com/game/pc/la-pucelle-ragnarok
La Rana (PC),https://www.metacritic.com/game/pc/la-rana
LA soul (PC),https://www.metacritic.com/game/pc/la-soul
LA Street Racing (PC),https://www.metacritic.com/game/pc/la-street-racing
La Tale (PC),https://www.metacritic.com/game/pc/la-tale
La Vie La Rue (PC),https://www.metacritic.com/game/pc/la-vie-la-rue
La Villa de la Muerte (PC),https://www.metacritic.com/game/pc/la-villa-de-la-muerte
La Vuelta Online (PC),https://www.metacritic.com/game/pc/la-vuelta-online
La-Mulana (Remake) (PC),https://www.metacritic.com/game/pc/la-mulana-remake
La-Mulana 2 (PC),https://www.metacritic.com/game/pc/la-mulana-2
La-Mulana 2: The Tower of Oannes (PC),https://www.metacritic.com/game/pc/la-mulana-2-the-tower-of-oannes
LAB (PC),https://www.metacritic.com/game/pc/lab
Lab 03 Yrinth (PC),https://www.metacritic.com/game/pc/lab-03-yrinth
Lab 7: Cold Nights (PC),https://www.metacritic.com/game/pc/lab-7-cold-nights
Lab Bio-Terror (PC),https://www.metacritic.com/game/pc/lab-bio-terror
Lab BreakOut (PC),https://www.metacritic.com/game/pc/lab-breakout
Lab Craft Survival (PC),https://www.metacritic.com/game/pc/lab-craft-survival
LAB Defence (PC),https://www.metacritic.com/game/pc/lab-defence
