title,url
O Rei (PC),https://www.metacritic.com/game/pc/o-rei
O! Nalchik is my favourite place (PC),https://www.metacritic.com/game/pc/o!-nalchik-is-my-favourite-place
O! STRELALKA!!! (PC),https://www.metacritic.com/game/pc/o!-strelalka!!!
O'Fox Life (PC),https://www.metacritic.com/game/pc/ofox-life
O.C.D. - On Completeness & Dissonance (PC),https://www.metacritic.com/game/pc/ocd---on-completeness-dissonance
O.D.T.: Escape... Or Die Trying (PC),https://www.metacritic.com/game/pc/odt-escape-or-die-trying
O.R.B.: Off-World Resource Base (PC),https://www.metacritic.com/game/pc/orb-off-world-resource-base
O.V.N.I. Abduction (PC),https://www.metacritic.com/game/pc/ovni-abduction
O2Jam (PC),https://www.metacritic.com/game/pc/o2jam
O2Jam x DancingParty (PC),https://www.metacritic.com/game/pc/o2jam-x-dancingparty
O3DX - Offroad 3DX (PC),https://www.metacritic.com/game/pc/o3dx---offroad-3dx
Oafmatch (PC),https://www.metacritic.com/game/pc/oafmatch
Oak Adventure The Maze (PC),https://www.metacritic.com/game/pc/oak-adventure-the-maze
Oakenfold (PC),https://www.metacritic.com/game/pc/oakenfold
Oakrot - it's literally a book (PC),https://www.metacritic.com/game/pc/oakrot---its-literally-a-book
Oakwood (PC),https://www.metacritic.com/game/pc/oakwood
Oakwood Academy of Spells and Sorcery (PC),https://www.metacritic.com/game/pc/oakwood-academy-of-spells-and-sorcery
OAOA - Off And On Again (PC),https://www.metacritic.com/game/pc/oaoa---off-and-on-again
Oasis (PC),https://www.metacritic.com/game/pc/oasis
Oasis (2005) (PC),https://www.metacritic.com/game/pc/oasis-2005
Oasis Defense (PC),https://www.metacritic.com/game/pc/oasis-defense
Oasis Shooting Ops (PC),https://www.metacritic.com/game/pc/oasis-shooting-ops
Oasis: Dark Forest (PC),https://www.metacritic.com/game/pc/oasis-dark-forest
Oath (PC),https://www.metacritic.com/game/pc/oath
Oath of Genesis (PC),https://www.metacritic.com/game/pc/oath-of-genesis
Oath of Miko (PC),https://www.metacritic.com/game/pc/oath-of-miko
Oathbreakers (PC),https://www.metacritic.com/game/pc/oathbreakers
Oaths of Light (PC),https://www.metacritic.com/game/pc/oaths-of-light
