title,url
R Academy (PC),https://www.metacritic.com/game/pc/r-academy
R is for Rachel (PC),https://www.metacritic.com/game/pc/r-is-for-rachel
R'lyeh (PC),https://www.metacritic.com/game/pc/rlyeh
R-COIL (PC),https://www.metacritic.com/game/pc/r-coil
R-Naught (PC),https://www.metacritic.com/game/pc/r-naught
R-Type Dimensions EX (PC),https://www.metacritic.com/game/pc/r-type-dimensions-ex
R-Type Final 2 (PC),https://www.metacritic.com/game/pc/r-type-final-2
R.A.F.A. (PC),https://www.metacritic.com/game/pc/rafa
R.A.T.S. Regulatory Astro-Topographical Stabilizer (PC),https://www.metacritic.com/game/pc/rats-regulatory-astro-topographical-stabilizer
R.B.I. Baseball 15 (PC),https://www.metacritic.com/game/pc/rbi-baseball-15
R.B.I. Baseball 16 (PC),https://www.metacritic.com/game/pc/rbi-baseball-16
R.B.I. Baseball 20 (PC),https://www.metacritic.com/game/pc/rbi-baseball-20
R.B.I. Baseball 21 (PC),https://www.metacritic.com/game/pc/rbi-baseball-21
R.C. Bot Inc. (PC),https://www.metacritic.com/game/pc/rc-bot-inc
R.E.A.C.T (PC),https://www.metacritic.com/game/pc/react
R.I.C.A (PC),https://www.metacritic.com/game/pc/rica
R.I.P.D. The Game (PC),https://www.metacritic.com/game/pc/ripd-the-game
R.O.O.T.S (PC),https://www.metacritic.com/game/pc/roots
R.O.V.E.R. (PC),https://www.metacritic.com/game/pc/rover
R.T.O. Tales of the Dark Lands - Deluxe Edition (PC),https://www.metacritic.com/game/pc/rto-tales-of-the-dark-lands---deluxe-edition
R.U.B.Y. (PC),https://www.metacritic.com/game/pc/ruby
R.U.S.E. (PC),https://www.metacritic.com/game/pc/ruse
R.U.S.E. - The Chimera Pack (PC),https://www.metacritic.com/game/pc/ruse---the-chimera-pack
R/C Helicopter (PC),https://www.metacritic.com/game/pc/rc-helicopter
R18Plus Monster Girl You-ki chan (PC),https://www.metacritic.com/game/pc/r18plus-monster-girl-you-ki-chan
R42 (PC),https://www.metacritic.com/game/pc/r42
Ra2 (PC),https://www.metacritic.com/game/pc/ra2
Raatihuone (PC),https://www.metacritic.com/game/pc/raatihuone
Rabbids Coding (PC),https://www.metacritic.com/game/pc/rabbids-coding
RabbiruN (PC),https://www.metacritic.com/game/pc/rabbirun
Rabbit & Dominoes (PC),https://www.metacritic.com/game/pc/rabbit-dominoes
Rabbit and the moon (PC),https://www.metacritic.com/game/pc/rabbit-and-the-moon
Rabbit BoBo (PC),https://www.metacritic.com/game/pc/rabbit-bobo
Rabbit Burn (PC),https://www.metacritic.com/game/pc/rabbit-burn
Rabbit Canyon (PC),https://www.metacritic.com/game/pc/rabbit-canyon
Rabbit Hole (2021) (PC),https://www.metacritic.com/game/pc/rabbit-hole-2021
Rabbit Hole (2022) (PC),https://www.metacritic.com/game/pc/rabbit-hole-2022
Rabbit Hole 3D (PC),https://www.metacritic.com/game/pc/rabbit-hole-3d
Rabbit Hole Chapter 1 (PC),https://www.metacritic.com/game/pc/rabbit-hole-chapter-1
Rabbit Island (PC),https://www.metacritic.com/game/pc/rabbit-island
Rabbit Meadow (PC),https://www.metacritic.com/game/pc/rabbit-meadow
Rabbit of Destiny (PC),https://www.metacritic.com/game/pc/rabbit-of-destiny
Rabbit Riot (PC),https://www.metacritic.com/game/pc/rabbit-riot
