title,url
S Conspiracy Field: Snow Trap (PC),https://www.metacritic.com/game/pc/s-conspiracy-field-snow-trap
S E V E R A N C E (PC),https://www.metacritic.com/game/pc/s-e-v-e-r-a-n-c-e
S H R i M P (PC),https://www.metacritic.com/game/pc/s-h-r-i-m-p
S&M Story (PC),https://www.metacritic.com/game/pc/sm-story
S-COPTER: Trials of Quick Fingers and Logic (PC),https://www.metacritic.com/game/pc/s-copter-trials-of-quick-fingers-and-logic
S-IN (PC),https://www.metacritic.com/game/pc/s-in
S-Shield Reborn (PC),https://www.metacritic.com/game/pc/s-shield-reborn
S.A.I.A.'s awaknening: a Robothorium visual novel (PC),https://www.metacritic.com/game/pc/saias-awaknening-a-robothorium-visual-novel
S.C.A.R (PC),https://www.metacritic.com/game/pc/scar
S.C.A.R.S. (PC),https://www.metacritic.com/game/pc/scars
S.F.77 (PC),https://www.metacritic.com/game/pc/sf77
S.I.N. Unit (PC),https://www.metacritic.com/game/pc/sin-unit
S.K.I.L.L.: Special Force 2 (PC),https://www.metacritic.com/game/pc/skill-special-force-2
S.O.R.S (PC),https://www.metacritic.com/game/pc/sors
S.O.T.A 2 (PC),https://www.metacritic.com/game/pc/sota-2
S.P.A.T. (PC),https://www.metacritic.com/game/pc/spat
S.P.I.C.E ARENA (PC),https://www.metacritic.com/game/pc/spice-arena
S.T.A.L.K.E.R.: Call of Pripyat (PC),https://www.metacritic.com/game/pc/stalker-call-of-pripyat
S.T.A.L.K.E.R.: Clear Sky (PC),https://www.metacritic.com/game/pc/stalker-clear-sky
S.T.A.L.K.E.R.: Shadow of Chernobyl (PC),https://www.metacritic.com/game/pc/stalker-shadow-of-chernobyl
S.T.A.R Space Typing Action Rangers (PC),https://www.metacritic.com/game/pc/star-space-typing-action-rangers
S.T.R.E.T.C.H. (PC),https://www.metacritic.com/game/pc/stretch
S.U.B. (PC),https://www.metacritic.com/game/pc/sub
S.U.M. - Slay Uncool Monsters (PC),https://www.metacritic.com/game/pc/sum---slay-uncool-monsters
S.W.A.N.: Chernobyl Unexplored (PC),https://www.metacritic.com/game/pc/swan-chernobyl-unexplored
S.W.A.P (Subterfuge Weapons Assessment Program) (PC),https://www.metacritic.com/game/pc/swap-subterfuge-weapons-assessment-program
S.W.I.N.E. (PC),https://www.metacritic.com/game/pc/swine
