title,url
u evade (PC),https://www.metacritic.com/game/pc/u-evade
U-Boats (PC),https://www.metacritic.com/game/pc/u-boats
U-BOOT 1945 (PC),https://www.metacritic.com/game/pc/u-boot-1945
U-BOOT The Board Game (PC),https://www.metacritic.com/game/pc/u-boot-the-board-game
U.B. Funkeys (PC),https://www.metacritic.com/game/pc/ub-funkeys
U.F.O - Unfortunately Fortunate Organisms (PC),https://www.metacritic.com/game/pc/ufo---unfortunately-fortunate-organisms
U.F.O. K.O. Tower Defense (PC),https://www.metacritic.com/game/pc/ufo-ko-tower-defense
U.S. Most Wanted (PC),https://www.metacritic.com/game/pc/us-most-wanted
U.S. Navy Fighters '97 (PC),https://www.metacritic.com/game/pc/us-navy-fighters-97
U27RA R3Z0NANC3 (PC),https://www.metacritic.com/game/pc/u27ra-r3z0nanc3
U96 (PC),https://www.metacritic.com/game/pc/u96
UAL: Universal AIM League (PC),https://www.metacritic.com/game/pc/ual-universal-aim-league
UAYEB (PC),https://www.metacritic.com/game/pc/uayeb
Ubaste (PC),https://www.metacritic.com/game/pc/ubaste
UBERCOLD (PC),https://www.metacritic.com/game/pc/ubercold
UberFlight (PC),https://www.metacritic.com/game/pc/uberflight
Uberlaufer (PC),https://www.metacritic.com/game/pc/uberlaufer
UBERMOSH (PC),https://www.metacritic.com/game/pc/ubermosh
UBERMOSH Vol.3 (PC),https://www.metacritic.com/game/pc/ubermosh-vol3
UBERMOSH Vol.5 (PC),https://www.metacritic.com/game/pc/ubermosh-vol5
UBERMOSH:BLACK (PC),https://www.metacritic.com/game/pc/ubermoshblack
UBERMOSH:OMEGA (PC),https://www.metacritic.com/game/pc/ubermoshomega
UBERMOSH:SANTICIDE (PC),https://www.metacritic.com/game/pc/ubermoshsanticide
UBERMOSH:WRAITH (PC),https://www.metacritic.com/game/pc/ubermoshwraith
UberSoldier (PC),https://www.metacritic.com/game/pc/ubersoldier
UberSoldier II (PC),https://www.metacritic.com/game/pc/ubersoldier-ii
UBERZOMBIE USA (PC),https://www.metacritic.com/game/pc/uberzombie-usa
Ubinota (PC),https://www.metacritic.com/game/pc/ubinota
Ubirajara (PC),https://www.metacritic.com/game/pc/ubirajara
UC SIM ~ unity-chan simulator ~ (PC),https://www.metacritic.com/game/pc/uc-sim-unity-chan-simulator-
Uchuu Kaizoku Sara (PC),https://www.metacritic.com/game/pc/uchuu-kaizoku-sara
UDONGEIN X (PC),https://www.metacritic.com/game/pc/udongein-x
UE5 Shooter Game (PC),https://www.metacritic.com/game/pc/ue5-shooter-game
Uebergame (PC),https://www.metacritic.com/game/pc/uebergame
UEBERNATURAL: The Video Game (PC),https://www.metacritic.com/game/pc/uebernatural-the-video-game
UEFA Euro 2004: Portugal (PC),https://www.metacritic.com/game/pc/uefa-euro-2004-portugal
UEFA Euro 2012 (PC),https://www.metacritic.com/game/pc/uefa-euro-2012
UemeU (PC),https://www.metacritic.com/game/pc/uemeu
uFactory (PC),https://www.metacritic.com/game/pc/ufactory
Ufflegrim (PC),https://www.metacritic.com/game/pc/ufflegrim
UFHO2 (PC),https://www.metacritic.com/game/pc/ufho2
UFM: Unidentified Fantastic Maiden (PC),https://www.metacritic.com/game/pc/ufm-unidentified-fantastic-maiden
UFO Checkers (PC),https://www.metacritic.com/game/pc/ufo-checkers
UFO Cross (PC),https://www.metacritic.com/game/pc/ufo-cross
Ufo Invasion (PC),https://www.metacritic.com/game/pc/ufo-invasion
UFO No! (PC),https://www.metacritic.com/game/pc/ufo-no!
UFO Online - Fight for Earth (PC),https://www.metacritic.com/game/pc/ufo-online---fight-for-earth
UFO Online: Invasion (PC),https://www.metacritic.com/game/pc/ufo-online-invasion
UFO Simulator Control Master (PC),https://www.metacritic.com/game/pc/ufo-simulator-control-master
UFO Stalker (PC),https://www.metacritic.com/game/pc/ufo-stalker
UFO vs Bikini (PC),https://www.metacritic.com/game/pc/ufo-vs-bikini
UFO2: Extraterrestrials (PC),https://www.metacritic.com/game/pc/ufo2-extraterrestrials
UFO: Afterlight (PC),https://www.metacritic.com/game/pc/ufo-afterlight
UFO: Aftermath (PC),https://www.metacritic.com/game/pc/ufo-aftermath
UFO: Aftershock (PC),https://www.metacritic.com/game/pc/ufo-aftershock
UFO: Extraterrestrials (PC),https://www.metacritic.com/game/pc/ufo-extraterrestrials
UFOBIA (PC),https://www.metacritic.com/game/pc/ufobia
UFOGEN (PC),https://www.metacritic.com/game/pc/ufogen
UfoPilot : Astro-Creeps Elite (PC),https://www.metacritic.com/game/pc/ufopilot-astro-creeps-elite
UfoPilot : The Phadt Menace - Steam Edition (PC),https://www.metacritic.com/game/pc/ufopilot-the-phadt-menace---steam-edition
UfoScare (PC),https://www.metacritic.com/game/pc/ufoscare
UFOTOFU: HEX (PC),https://www.metacritic.com/game/pc/ufotofu-hex
Uganda know de way (PC),https://www.metacritic.com/game/pc/uganda-know-de-way
UglyDolls: An Imperfect Adventure (PC),https://www.metacritic.com/game/pc/uglydolls-an-imperfect-adventure
Uh Oh Bartender (PC),https://www.metacritic.com/game/pc/uh-oh-bartender
UIFO DEFENSE HD (PC),https://www.metacritic.com/game/pc/uifo-defense-hd
Uin (PC),https://www.metacritic.com/game/pc/uin
Ukhar (PC),https://www.metacritic.com/game/pc/ukhar
Ukiyo Watari (PC),https://www.metacritic.com/game/pc/ukiyo-watari
Ukko & Guara: Stellarbound (PC),https://www.metacritic.com/game/pc/ukko-guara-stellarbound
UKR (PC),https://www.metacritic.com/game/pc/ukr
Ukraine Defender (PC),https://www.metacritic.com/game/pc/ukraine-defender
Ukraine Defense Force Tactics (PC),https://www.metacritic.com/game/pc/ukraine-defense-force-tactics
Ukraine War Stories (PC),https://www.metacritic.com/game/pc/ukraine-war-stories
Ukrainian ball in search of gas (PC),https://www.metacritic.com/game/pc/ukrainian-ball-in-search-of-gas
Ukrainian Ninja (PC),https://www.metacritic.com/game/pc/ukrainian-ninja
Ukrainien Agent (PC),https://www.metacritic.com/game/pc/ukrainien-agent
Uktena (PC),https://www.metacritic.com/game/pc/uktena
UldreVoid (PC),https://www.metacritic.com/game/pc/uldrevoid
Uligo: A Slime's Hike (PC),https://www.metacritic.com/game/pc/uligo-a-slimes-hike
Ultikill (PC),https://www.metacritic.com/game/pc/ultikill
Ultim@te Race Pro (PC),https://www.metacritic.com/game/pc/ultimte-race-pro
Ultima Adventum (PC),https://www.metacritic.com/game/pc/ultima-adventum
Ultima Collection (PC),https://www.metacritic.com/game/pc/ultima-collection
Ultima Defesa (PC),https://www.metacritic.com/game/pc/ultima-defesa
Ultima IX: Ascension (PC),https://www.metacritic.com/game/pc/ultima-ix-ascension
Ultima Online (PC),https://www.metacritic.com/game/pc/ultima-online
Ultima Online 7th Anniversary Edition (PC),https://www.metacritic.com/game/pc/ultima-online-7th-anniversary-edition
Ultima Online: Renaissance (PC),https://www.metacritic.com/game/pc/ultima-online-renaissance
Ultima Online: Age of Shadows (PC),https://www.metacritic.com/game/pc/ultima-online-age-of-shadows
Ultima Online: Eve of a New Age (PC),https://www.metacritic.com/game/pc/ultima-online-eve-of-a-new-age
Ultima Online: Kingdom Reborn (PC),https://www.metacritic.com/game/pc/ultima-online-kingdom-reborn
