title,url
W. T. B. (PC),https://www.metacritic.com/game/pc/w-t-b
W.H.A.L.E. (PC),https://www.metacritic.com/game/pc/whale
W.R.M. (PC),https://www.metacritic.com/game/pc/wrm
W4RR-i/o-RS (PC),https://www.metacritic.com/game/pc/w4rr-io-rs
W4RR-i/o-RS: Descent (PC),https://www.metacritic.com/game/pc/w4rr-io-rs-descent
WABISABI (PC),https://www.metacritic.com/game/pc/wabisabi
WackIt (PC),https://www.metacritic.com/game/pc/wackit
Wacktory (PC),https://www.metacritic.com/game/pc/wacktory
Wacky Golf Land (PC),https://www.metacritic.com/game/pc/wacky-golf-land
Wacky Spores: The Chase (PC),https://www.metacritic.com/game/pc/wacky-spores-the-chase
Wacky Wheels (PC),https://www.metacritic.com/game/pc/wacky-wheels
Wacky Wheels HD (PC),https://www.metacritic.com/game/pc/wacky-wheels-hd
Wacky Wings (PC),https://www.metacritic.com/game/pc/wacky-wings
Wacky Wizarding Dungeon (PC),https://www.metacritic.com/game/pc/wacky-wizarding-dungeon
WackyMoles (PC),https://www.metacritic.com/game/pc/wackymoles
Waddle Home (PC),https://www.metacritic.com/game/pc/waddle-home
Wagamama Alice to Hyakunichi Sensou (PC),https://www.metacritic.com/game/pc/wagamama-alice-to-hyakunichi-sensou
Wagamama High Spec (PC),https://www.metacritic.com/game/pc/wagamama-high-spec
Wager (PC),https://www.metacritic.com/game/pc/wager
Wagers of War (PC),https://www.metacritic.com/game/pc/wagers-of-war
Wages of War (PC),https://www.metacritic.com/game/pc/wages-of-war
Wages of War: The Business of Battle (PC),https://www.metacritic.com/game/pc/wages-of-war-the-business-of-battle
Waifu Bay Girls (PC),https://www.metacritic.com/game/pc/waifu-bay-girls
Waifu Breaker (PC),https://www.metacritic.com/game/pc/waifu-breaker
Waifu Collector (PC),https://www.metacritic.com/game/pc/waifu-collector
Waifu Covered 2 : Censored Edition (PC),https://www.metacritic.com/game/pc/waifu-covered-2-censored-edition
Waifu Crush (PC),https://www.metacritic.com/game/pc/waifu-crush
Waifu Discovered 2 (PC),https://www.metacritic.com/game/pc/waifu-discovered-2
Waifu Fight Dango Style (PC),https://www.metacritic.com/game/pc/waifu-fight-dango-style
Waifu Fighter (PC),https://www.metacritic.com/game/pc/waifu-fighter
Waifu for Laifu Strippers VR (PC),https://www.metacritic.com/game/pc/waifu-for-laifu-strippers-vr
Waifu Hunter - Episode 1 : The Runaway Samurai (PC),https://www.metacritic.com/game/pc/waifu-hunter---episode-1-the-runaway-samurai
Waifu Impact (PC),https://www.metacritic.com/game/pc/waifu-impact
Waifu Love (PC),https://www.metacritic.com/game/pc/waifu-love
Waifu Master (PC),https://www.metacritic.com/game/pc/waifu-master
Waifu Museum (PC),https://www.metacritic.com/game/pc/waifu-museum
Waifu Packer (PC),https://www.metacritic.com/game/pc/waifu-packer
Waifu School (PC),https://www.metacritic.com/game/pc/waifu-school
Waifu Secret (PC),https://www.metacritic.com/game/pc/waifu-secret
Waifu Secret 2 (PC),https://www.metacritic.com/game/pc/waifu-secret-2
Waifu Trainer (PC),https://www.metacritic.com/game/pc/waifu-trainer
Waifu Uncovered (PC),https://www.metacritic.com/game/pc/waifu-uncovered
Waifu vs Evil (PC),https://www.metacritic.com/game/pc/waifu-vs-evil
WAIFU WARS ONLINE (PC),https://www.metacritic.com/game/pc/waifu-wars-online
Waifu's Spooky Space Station (PC),https://www.metacritic.com/game/pc/waifus-spooky-space-station
Waifus Smash (PC),https://www.metacritic.com/game/pc/waifus-smash
Wailing Heights (PC),https://www.metacritic.com/game/pc/wailing-heights
Wait - Extended (PC),https://www.metacritic.com/game/pc/wait---extended
Wait! Life is beautiful! (PC),https://www.metacritic.com/game/pc/wait!-life-is-beautiful!
Wait! Where's My Lunch (PC),https://www.metacritic.com/game/pc/wait!-wheres-my-lunch
Waiter (PC),https://www.metacritic.com/game/pc/waiter
Waiting for the clear on the eve of the last day (PC),https://www.metacritic.com/game/pc/waiting-for-the-clear-on-the-eve-of-the-last-day
Waiting for the Loop (PC),https://www.metacritic.com/game/pc/waiting-for-the-loop
Waiting For The Raven (PC),https://www.metacritic.com/game/pc/waiting-for-the-raven
Waitventure (PC),https://www.metacritic.com/game/pc/waitventure
"Wakamarina Valley, New Zealand (PC)",https://www.metacritic.com/game/pc/wakamarina-valley-new-zealand
Wake (PC),https://www.metacritic.com/game/pc/wake
Wake out of Twilight (PC),https://www.metacritic.com/game/pc/wake-out-of-twilight
Wake Up (PC),https://www.metacritic.com/game/pc/wake-up
Wake Up Call (PC),https://www.metacritic.com/game/pc/wake-up-call
"Wake Up, Good Guardian! (PC)",https://www.metacritic.com/game/pc/wake-up-good-guardian!
Wakeboarding Unleashed Featuring Shaun Murray (PC),https://www.metacritic.com/game/pc/wakeboarding-unleashed-featuring-shaun-murray
WAKFU (PC),https://www.metacritic.com/game/pc/wakfu
Waking (PC),https://www.metacritic.com/game/pc/waking
Waking Knightmare (PC),https://www.metacritic.com/game/pc/waking-knightmare
Waking Mars (PC),https://www.metacritic.com/game/pc/waking-mars
Waking the Glares: Chapters I and II (PC),https://www.metacritic.com/game/pc/waking-the-glares-chapters-i-and-ii
Waking Violet (PC),https://www.metacritic.com/game/pc/waking-violet
Walden Horde (PC),https://www.metacritic.com/game/pc/walden-horde
"Walden, a game (PC)",https://www.metacritic.com/game/pc/walden-a-game
Walhall (PC),https://www.metacritic.com/game/pc/walhall
Walk (PC),https://www.metacritic.com/game/pc/walk
Walk On Mars (PC),https://www.metacritic.com/game/pc/walk-on-mars
Walk On the Ground Simulator (PC),https://www.metacritic.com/game/pc/walk-on-the-ground-simulator
Walk The Light (PC),https://www.metacritic.com/game/pc/walk-the-light
Walk to the Woods (PC),https://www.metacritic.com/game/pc/walk-to-the-woods
Walk While My Grandmother Plays The Piano (PC),https://www.metacritic.com/game/pc/walk-while-my-grandmother-plays-the-piano
Walk with the Living (PC),https://www.metacritic.com/game/pc/walk-with-the-living
Walk with the Living 2 (PC),https://www.metacritic.com/game/pc/walk-with-the-living-2
Walkabout Mini Golf VR (PC),https://www.metacritic.com/game/pc/walkabout-mini-golf-vr
WalkBot (PC),https://www.metacritic.com/game/pc/walkbot
Walkerman (PC),https://www.metacritic.com/game/pc/walkerman
Walking Girl: Dead Parking (PC),https://www.metacritic.com/game/pc/walking-girl-dead-parking
Walking Heavy (PC),https://www.metacritic.com/game/pc/walking-heavy
Walking In The Abyss (PC),https://www.metacritic.com/game/pc/walking-in-the-abyss
Walking into Walls (PC),https://www.metacritic.com/game/pc/walking-into-walls
Walking Simulator (PC),https://www.metacritic.com/game/pc/walking-simulator
Walking Zombie 2 (PC),https://www.metacritic.com/game/pc/walking-zombie-2
Walkover (PC),https://www.metacritic.com/game/pc/walkover
Wall Ninja (PC),https://www.metacritic.com/game/pc/wall-ninja
Wall of insanity (PC),https://www.metacritic.com/game/pc/wall-of-insanity
Wall Street Bets (PC),https://www.metacritic.com/game/pc/wall-street-bets
Wall Street Junior (PC),https://www.metacritic.com/game/pc/wall-street-junior
Wall Street Trader 2000 (PC),https://www.metacritic.com/game/pc/wall-street-trader-2000
Wall Street Tycoon (PC),https://www.metacritic.com/game/pc/wall-street-tycoon
Wall to Wall (PC),https://www.metacritic.com/game/pc/wall-to-wall
Wall To Wall (2019) (PC),https://www.metacritic.com/game/pc/wall-to-wall-2019
Wall Walker (PC),https://www.metacritic.com/game/pc/wall-walker
Wallace & Gromit's Grand Adventures (PC),https://www.metacritic.com/game/pc/wallace-gromits-grand-adventures
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees (PC)",https://www.metacritic.com/game/pc/wallace-gromits-grand-adventures-episode-1-fright-of-the-bumblebees
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort (PC)",https://www.metacritic.com/game/pc/wallace-gromits-grand-adventures-episode-2-the-last-resort
"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled! (PC)",https://www.metacritic.com/game/pc/wallace-gromits-grand-adventures-episode-3-muzzled!
"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man (PC)",https://www.metacritic.com/game/pc/wallace-gromits-grand-adventures-episode-4-the-bogey-man
Wallachia: Reign of Dracula (PC),https://www.metacritic.com/game/pc/wallachia-reign-of-dracula
Wallrunners (PC),https://www.metacritic.com/game/pc/wallrunners
Walls Closing In (PC),https://www.metacritic.com/game/pc/walls-closing-in
Walls in Dead (PC),https://www.metacritic.com/game/pc/walls-in-dead
WALLSLIDE (PC),https://www.metacritic.com/game/pc/wallslide
Wally and the FANTASTIC PREDATORS (PC),https://www.metacritic.com/game/pc/wally-and-the-fantastic-predators
Wally's Skatepark (PC),https://www.metacritic.com/game/pc/wallys-skatepark
Walt Disney Pictures Bolt (PC),https://www.metacritic.com/game/pc/walt-disney-pictures-bolt
Walt Disney World Quest: Magical Racing Tour (PC),https://www.metacritic.com/game/pc/walt-disney-world-quest-magical-racing-tour
Walthros: Renewal (PC),https://www.metacritic.com/game/pc/walthros-renewal
Waltz of the Wizard (PC),https://www.metacritic.com/game/pc/waltz-of-the-wizard
Waltz of the Wizard: Extended Edition (PC),https://www.metacritic.com/game/pc/waltz-of-the-wizard-extended-edition
Waltz of the Wizard: Natural Magic (PC),https://www.metacritic.com/game/pc/waltz-of-the-wizard-natural-magic
WALUK (PC),https://www.metacritic.com/game/pc/waluk
Wampee Helicopters (PC),https://www.metacritic.com/game/pc/wampee-helicopters
Wamu Wamu 2 (PC),https://www.metacritic.com/game/pc/wamu-wamu-2
Wanba Warriors (PC),https://www.metacritic.com/game/pc/wanba-warriors
Wand Wars (PC),https://www.metacritic.com/game/pc/wand-wars
Wand Wars VR (PC),https://www.metacritic.com/game/pc/wand-wars-vr
Wand Wars: Rise (PC),https://www.metacritic.com/game/pc/wand-wars-rise
Wanda - A Beautiful Apocalypse (PC),https://www.metacritic.com/game/pc/wanda---a-beautiful-apocalypse
Wander (PC),https://www.metacritic.com/game/pc/wander
Wander (2015) (PC),https://www.metacritic.com/game/pc/wander-2015
Wander No More (PC),https://www.metacritic.com/game/pc/wander-no-more
Wanderer (PC),https://www.metacritic.com/game/pc/wanderer
Wanderer (RentugNetic) (PC),https://www.metacritic.com/game/pc/wanderer-rentugnetic
Wanderer of Teandria (PC),https://www.metacritic.com/game/pc/wanderer-of-teandria
Wanderer: The Rebirth (PC),https://www.metacritic.com/game/pc/wanderer-the-rebirth
Wandering Duelist (PC),https://www.metacritic.com/game/pc/wandering-duelist
Wandering Gem Jockeying (PC),https://www.metacritic.com/game/pc/wandering-gem-jockeying
Wandering in space (PC),https://www.metacritic.com/game/pc/wandering-in-space
Wandering in space (2017) (PC),https://www.metacritic.com/game/pc/wandering-in-space-2017
Wandering Meatbags (PC),https://www.metacritic.com/game/pc/wandering-meatbags
Wandering Owl (PC),https://www.metacritic.com/game/pc/wandering-owl
Wandering Through The Vines (PC),https://www.metacritic.com/game/pc/wandering-through-the-vines
Wandering Trails: A Hiking Game (PC),https://www.metacritic.com/game/pc/wandering-trails-a-hiking-game
Wandering Willows (PC),https://www.metacritic.com/game/pc/wandering-willows
Wanderjahr (PC),https://www.metacritic.com/game/pc/wanderjahr
Wanderland (PC),https://www.metacritic.com/game/pc/wanderland
WanderLust (PC),https://www.metacritic.com/game/pc/wanderlust
Wanderlust (2017) (PC),https://www.metacritic.com/game/pc/wanderlust-2017
Wanderlust Adventures (PC),https://www.metacritic.com/game/pc/wanderlust-adventures
Wanderlust Travel Stories (PC),https://www.metacritic.com/game/pc/wanderlust-travel-stories
Wanderlust: Bangkok Prelude (PC),https://www.metacritic.com/game/pc/wanderlust-bangkok-prelude
Wanderlust: Rebirth (PC),https://www.metacritic.com/game/pc/wanderlust-rebirth
Wanderlust: Shadow of the Monolith (PC),https://www.metacritic.com/game/pc/wanderlust-shadow-of-the-monolith
Wanderlust: The Bermuda Secret (PC),https://www.metacritic.com/game/pc/wanderlust-the-bermuda-secret
Wanderlust: The City of Mists (PC),https://www.metacritic.com/game/pc/wanderlust-the-city-of-mists
Wanderlust: Transsiberian (PC),https://www.metacritic.com/game/pc/wanderlust-transsiberian
Wanderlust: What Lies Beneath (PC),https://www.metacritic.com/game/pc/wanderlust-what-lies-beneath
Wandersong (PC),https://www.metacritic.com/game/pc/wandersong
Wands (PC),https://www.metacritic.com/game/pc/wands
Wands Alliances (PC),https://www.metacritic.com/game/pc/wands-alliances
Wang fried (PC),https://www.metacritic.com/game/pc/wang-fried
Wangan Warrior X (PC),https://www.metacritic.com/game/pc/wangan-warrior-x
Wani Wani Attack (PC),https://www.metacritic.com/game/pc/wani-wani-attack
Wanko no Ongaeshi (PC),https://www.metacritic.com/game/pc/wanko-no-ongaeshi
Wanko of Marriage ~Welcome to The Dog's Tail!~ (PC),https://www.metacritic.com/game/pc/wanko-of-marriage-welcome-to-the-dogs-tail!
Wanna Run Again - Sprite Girl (PC),https://www.metacritic.com/game/pc/wanna-run-again---sprite-girl
Wanna Survive (PC),https://www.metacritic.com/game/pc/wanna-survive
WannaMine (PC),https://www.metacritic.com/game/pc/wannamine
WanNyan * A La Mode! Which Girl Will You Choose? An Erotic Cat & Dog Cafe Experience!! (PC),https://www.metacritic.com/game/pc/wannyan-a-la-mode!-which-girl-will-you-choose-an-erotic-cat-dog-cafe-experience!!
Wanted Corp. (PC),https://www.metacritic.com/game/pc/wanted-corp
Wanted! Monty Mole (PC),https://www.metacritic.com/game/pc/wanted!-monty-mole
Wanted: A Wild Western Adventure (PC),https://www.metacritic.com/game/pc/wanted-a-wild-western-adventure
Wanted: Dead (PC),https://www.metacritic.com/game/pc/wanted-dead
Wanted: Weapons of Fate (PC),https://www.metacritic.com/game/pc/wanted-weapons-of-fate
Wanton Destruction (PC),https://www.metacritic.com/game/pc/wanton-destruction
War & Peace (PC),https://www.metacritic.com/game/pc/war-peace
War Against Fear (PC),https://www.metacritic.com/game/pc/war-against-fear
War Along the Mohawk (PC),https://www.metacritic.com/game/pc/war-along-the-mohawk
War and Empires (PC),https://www.metacritic.com/game/pc/war-and-empires
War and Peace (PC),https://www.metacritic.com/game/pc/war-and-peace
War Battle Royale Battlegrounds (PC),https://www.metacritic.com/game/pc/war-battle-royale-battlegrounds
War Beasts (PC),https://www.metacritic.com/game/pc/war-beasts
War Birds: WW2 Air strike 1942 (PC),https://www.metacritic.com/game/pc/war-birds-ww2-air-strike-1942
War Brokers (PC),https://www.metacritic.com/game/pc/war-brokers
WAR Card Game_uvr (PC),https://www.metacritic.com/game/pc/war-card-game_uvr
War Chariots: Royal Legion (PC),https://www.metacritic.com/game/pc/war-chariots-royal-legion
War Chess (PC),https://www.metacritic.com/game/pc/war-chess
War Chess Three Kingdoms - Hero (PC),https://www.metacritic.com/game/pc/war-chess-three-kingdoms---hero
War Cube (PC),https://www.metacritic.com/game/pc/war-cube
War Dots (PC),https://www.metacritic.com/game/pc/war-dots
WAR DUST (PC),https://www.metacritic.com/game/pc/war-dust
War Ender (PC),https://www.metacritic.com/game/pc/war-ender
War Ender Evolution (PC),https://www.metacritic.com/game/pc/war-ender-evolution
War era Lumberjack (PC),https://www.metacritic.com/game/pc/war-era-lumberjack
War for Magincia (PC),https://www.metacritic.com/game/pc/war-for-magincia
War for the Overworld (PC),https://www.metacritic.com/game/pc/war-for-the-overworld
War for the Overworld: Heart of Gold (PC),https://www.metacritic.com/game/pc/war-for-the-overworld-heart-of-gold
War for the West (PC),https://www.metacritic.com/game/pc/war-for-the-west
War Front: Turning Point (PC),https://www.metacritic.com/game/pc/war-front-turning-point
War Games (PC),https://www.metacritic.com/game/pc/war-games
WAR GHOST (PC),https://www.metacritic.com/game/pc/war-ghost
War Gods (PC),https://www.metacritic.com/game/pc/war-gods
War Guardian Chronicles Book 1: Song of Pisces (PC),https://www.metacritic.com/game/pc/war-guardian-chronicles-book-1-song-of-pisces
War Heroes: Invasion (PC),https://www.metacritic.com/game/pc/war-heroes-invasion
War Hunter (PC),https://www.metacritic.com/game/pc/war-hunter
War Identity (PC),https://www.metacritic.com/game/pc/war-identity
War in a Box: Paper Tanks (PC),https://www.metacritic.com/game/pc/war-in-a-box-paper-tanks
