title,url
X air combat (PC),https://www.metacritic.com/game/pc/x-air-combat
X Archetype (PC),https://www.metacritic.com/game/pc/x-archetype
X Caeli: The Iron Hand of Love (PC),https://www.metacritic.com/game/pc/x-caeli-the-iron-hand-of-love
X Fugitive (PC),https://www.metacritic.com/game/pc/x-fugitive
X Game (PC),https://www.metacritic.com/game/pc/x-game
x girl escape (PC),https://www.metacritic.com/game/pc/x-girl-escape
X Invader: Prologue (PC),https://www.metacritic.com/game/pc/x-invader-prologue
X Motor Racing (PC),https://www.metacritic.com/game/pc/x-motor-racing
X Rebirth (PC),https://www.metacritic.com/game/pc/x-rebirth
X Rebirth VR Edition (PC),https://www.metacritic.com/game/pc/x-rebirth-vr-edition
X Virus (PC),https://www.metacritic.com/game/pc/x-virus
X Wars Deluxe (PC),https://www.metacritic.com/game/pc/x-wars-deluxe
X-Avenger (PC),https://www.metacritic.com/game/pc/x-avenger
X-Blades (PC),https://www.metacritic.com/game/pc/x-blades
X-Change (PC),https://www.metacritic.com/game/pc/x-change
X-Change 2 (PC),https://www.metacritic.com/game/pc/x-change-2
X-Change 3 (PC),https://www.metacritic.com/game/pc/x-change-3
X-Change Complete Collection (PC),https://www.metacritic.com/game/pc/x-change-complete-collection
X-COM: Apocalypse (PC),https://www.metacritic.com/game/pc/x-com-apocalypse
X-COM: Collector's Edition (PC),https://www.metacritic.com/game/pc/x-com-collectors-edition
X-COM: Enforcer (PC),https://www.metacritic.com/game/pc/x-com-enforcer
X-COM: First Alien Invasion (PC),https://www.metacritic.com/game/pc/x-com-first-alien-invasion
X-COM: Interceptor (PC),https://www.metacritic.com/game/pc/x-com-interceptor
X-COM: Terror From the Deep (PC),https://www.metacritic.com/game/pc/x-com-terror-from-the-deep
X-Force Genesis (PC),https://www.metacritic.com/game/pc/x-force-genesis
X-Men Legends II: Rise of Apocalypse (PC),https://www.metacritic.com/game/pc/x-men-legends-ii-rise-of-apocalypse
X-Men Origins: Wolverine (PC),https://www.metacritic.com/game/pc/x-men-origins-wolverine
X-Men: Children of the Atom (PC),https://www.metacritic.com/game/pc/x-men-children-of-the-atom
X-Men: The Official Game (PC),https://www.metacritic.com/game/pc/x-men-the-official-game
X-Men: The Ravages of Apocalypse (PC),https://www.metacritic.com/game/pc/x-men-the-ravages-of-apocalypse
X-MiGuFighters: Stripper Anya (PC),https://www.metacritic.com/game/pc/x-migufighters-stripper-anya
X-Morph: Defense (PC),https://www.metacritic.com/game/pc/x-morph-defense
X-Morph: Defense - European Assault (PC),https://www.metacritic.com/game/pc/x-morph-defense---european-assault
X-note (PC),https://www.metacritic.com/game/pc/x-note
X-Plane (PC),https://www.metacritic.com/game/pc/x-plane
X-Plane 10 (PC),https://www.metacritic.com/game/pc/x-plane-10
X-Plane 11 (PC),https://www.metacritic.com/game/pc/x-plane-11
X-Plane 8 (PC),https://www.metacritic.com/game/pc/x-plane-8
X-RACER (PC),https://www.metacritic.com/game/pc/x-racer
X-Racing (PC),https://www.metacritic.com/game/pc/x-racing
X-ray hospital (PC),https://www.metacritic.com/game/pc/x-ray-hospital
X-Sports (PC),https://www.metacritic.com/game/pc/x-sports
X-Superbox Bundle (PC),https://www.metacritic.com/game/pc/x-superbox-bundle
X-Team (PC),https://www.metacritic.com/game/pc/x-team
X-Tension (PC),https://www.metacritic.com/game/pc/x-tension
X-Town 3D game (PC),https://www.metacritic.com/game/pc/x-town-3d-game
X-Wing vs. TIE Fighter: Balance of Power (PC),https://www.metacritic.com/game/pc/x-wing-vs-tie-fighter-balance-of-power
X2: The Threat (PC),https://www.metacritic.com/game/pc/x2-the-threat
X2: Wolverine's Revenge (PC),https://www.metacritic.com/game/pc/x2-wolverines-revenge
x2Roulette (PC),https://www.metacritic.com/game/pc/x2roulette
X3 Gold (PC),https://www.metacritic.com/game/pc/x3-gold
X3: Albion Prelude (PC),https://www.metacritic.com/game/pc/x3-albion-prelude
X3: Reunion (PC),https://www.metacritic.com/game/pc/x3-reunion
X3: Terran Conflict (PC),https://www.metacritic.com/game/pc/x3-terran-conflict
X4: Cradle of Humanity (PC),https://www.metacritic.com/game/pc/x4-cradle-of-humanity
X4: Foundations (PC),https://www.metacritic.com/game/pc/x4-foundations
X4: Tides of Avarice (PC),https://www.metacritic.com/game/pc/x4-tides-of-avarice
X: Beyond the Frontier (PC),https://www.metacritic.com/game/pc/x-beyond-the-frontier
XALT: Last Stand (PC),https://www.metacritic.com/game/pc/xalt-last-stand
