title,url
Q.U.B.E. 10th Anniversary (PS5),https://www.metacritic.com/game/playstation-5/qube-10th-anniversary
Quake Remastered (PS5),https://www.metacritic.com/game/playstation-5/quake-remastered
Queeny Army (PS5),https://www.metacritic.com/game/playstation-5/queeny-army
Quest for Infamy (PS5),https://www.metacritic.com/game/playstation-5/quest-for-infamy
Quick Mafs (PS5),https://www.metacritic.com/game/playstation-5/quick-mafs
Quick Mafs Advanced (PS5),https://www.metacritic.com/game/playstation-5/quick-mafs-advanced
Quintus and the Absent Truth (PS5),https://www.metacritic.com/game/playstation-5/quintus-and-the-absent-truth
Quiz Thiz France (PS5),https://www.metacritic.com/game/playstation-5/quiz-thiz-france
Quiz Thiz Spain (PS5),https://www.metacritic.com/game/playstation-5/quiz-thiz-spain
Quiz Thiz United Kingdom (PS5),https://www.metacritic.com/game/playstation-5/quiz-thiz-united-kingdom
Quiz Thiz USA (PS5),https://www.metacritic.com/game/playstation-5/quiz-thiz-usa
Qump Jump (PS5),https://www.metacritic.com/game/playstation-5/qump-jump
