title,url
Ace Combat 2 (PS),https://www.metacritic.com/game/playstation/ace-combat-2
Action Bass (PS),https://www.metacritic.com/game/playstation/action-bass
Alien Resurrection (PS),https://www.metacritic.com/game/playstation/alien-resurrection
Alone in the Dark: The New Nightmare (PS),https://www.metacritic.com/game/playstation/alone-in-the-dark-the-new-nightmare
Alundra (PS),https://www.metacritic.com/game/playstation/alundra
Animorphs: Shattered Reality (PS),https://www.metacritic.com/game/playstation/animorphs-shattered-reality
Ape Escape (PS),https://www.metacritic.com/game/playstation/ape-escape
Arc the Lad Collection (PS),https://www.metacritic.com/game/playstation/arc-the-lad-collection
Army Men: Air Attack 2 (PS),https://www.metacritic.com/game/playstation/army-men-air-attack-2
Army Men: Sarge's Heroes 2 (PS),https://www.metacritic.com/game/playstation/army-men-sarges-heroes-2
Army Men: World War (PS),https://www.metacritic.com/game/playstation/army-men-world-war
"Army Men: World War - Land, Sea, Air (PS)",https://www.metacritic.com/game/playstation/army-men-world-war---land-sea-air
ATV: Quad Power Racing (PS),https://www.metacritic.com/game/playstation/atv-quad-power-racing
