title,url
Backyard Soccer (PS),https://www.metacritic.com/game/playstation/backyard-soccer
Ball Breakers (PS),https://www.metacritic.com/game/playstation/ball-breakers
Batman Beyond: Return of the Joker (PS),https://www.metacritic.com/game/playstation/batman-beyond-return-of-the-joker
Battle Arena Toshinden (PS),https://www.metacritic.com/game/playstation/battle-arena-toshinden
Big Bass Fishing (PS),https://www.metacritic.com/game/playstation/big-bass-fishing
Blade (PS),https://www.metacritic.com/game/playstation/blade
Bomberman Party Edition (PS),https://www.metacritic.com/game/playstation/bomberman-party-edition
Brave Fencer Musashi (PS),https://www.metacritic.com/game/playstation/brave-fencer-musashi
Breakout (PS),https://www.metacritic.com/game/playstation/breakout
Breath of Fire IV (PS),https://www.metacritic.com/game/playstation/breath-of-fire-iv
Bugs Bunny & Taz: Time Busters (PS),https://www.metacritic.com/game/playstation/bugs-bunny-taz-time-busters
Bushido Blade (PS),https://www.metacritic.com/game/playstation/bushido-blade
Bust A Groove 2 (PS),https://www.metacritic.com/game/playstation/bust-a-groove-2
Buzz Lightyear of Star Command (PS),https://www.metacritic.com/game/playstation/buzz-lightyear-of-star-command
