title,url
C-12: Final Resistance (PS),https://www.metacritic.com/game/playstation/c-12-final-resistance
Capcom vs. SNK Pro (PS),https://www.metacritic.com/game/playstation/capcom-vs-snk-pro
Castlevania Chronicles (PS),https://www.metacritic.com/game/playstation/castlevania-chronicles
Castlevania: Symphony of the Night (PS),https://www.metacritic.com/game/playstation/castlevania-symphony-of-the-night
Championship Motocross 2001 Featuring Ricky Carmichael (PS),https://www.metacritic.com/game/playstation/championship-motocross-2001-featuring-ricky-carmichael
Championship Surfer (PS),https://www.metacritic.com/game/playstation/championship-surfer
Chicken Run (PS),https://www.metacritic.com/game/playstation/chicken-run
Chrono Cross (PS),https://www.metacritic.com/game/playstation/chrono-cross
Clock Tower II: The Struggle Within (PS),https://www.metacritic.com/game/playstation/clock-tower-ii-the-struggle-within
Colin McRae Rally 2.0 (PS),https://www.metacritic.com/game/playstation/colin-mcrae-rally-20
Colony Wars (PS),https://www.metacritic.com/game/playstation/colony-wars
Contender 2 (PS),https://www.metacritic.com/game/playstation/contender-2
Cool Boarders 2001 (PS),https://www.metacritic.com/game/playstation/cool-boarders-2001
Countdown Vampires (PS),https://www.metacritic.com/game/playstation/countdown-vampires
Crash Bandicoot 3: Warped (PS),https://www.metacritic.com/game/playstation/crash-bandicoot-3-warped
Crash Bash (PS),https://www.metacritic.com/game/playstation/crash-bash
Crash Team Racing (PS),https://www.metacritic.com/game/playstation/crash-team-racing
Creatures (PS),https://www.metacritic.com/game/playstation/creatures
