title,url
PaRappa the Rapper (PS),https://www.metacritic.com/game/playstation/parappa-the-rapper
Parasite Eve (PS),https://www.metacritic.com/game/playstation/parasite-eve
Parasite Eve II (PS),https://www.metacritic.com/game/playstation/parasite-eve-ii
Patriotic Pinball (PS),https://www.metacritic.com/game/playstation/patriotic-pinball
Persona 2: Eternal Punishment (PS),https://www.metacritic.com/game/playstation/persona-2-eternal-punishment
Peter Pan in Disney's Return to Neverland (PS),https://www.metacritic.com/game/playstation/peter-pan-in-disneys-return-to-neverland
Pipe Dreams 3D (PS),https://www.metacritic.com/game/playstation/pipe-dreams-3d
Point Blank 3 (PS),https://www.metacritic.com/game/playstation/point-blank-3
Polaris SnoCross (PS),https://www.metacritic.com/game/playstation/polaris-snocross
Power Play: Sports Trivia (PS),https://www.metacritic.com/game/playstation/power-play-sports-trivia
Power Spike Pro Beach Volleyball (PS),https://www.metacritic.com/game/playstation/power-spike-pro-beach-volleyball
Pro Pinball: Big Race USA (PS),https://www.metacritic.com/game/playstation/pro-pinball-big-race-usa
Pro Pinball: Fantastic Journey (PS),https://www.metacritic.com/game/playstation/pro-pinball-fantastic-journey
Putter Golf (PS),https://www.metacritic.com/game/playstation/putter-golf
