title,url
Saiyuki: Journey West (PS),https://www.metacritic.com/game/playstation/saiyuki-journey-west
Scooby-Doo and the Cyber Chase (PS),https://www.metacritic.com/game/playstation/scooby-doo-and-the-cyber-chase
Sheep (PS),https://www.metacritic.com/game/playstation/sheep
Silent Hill (PS),https://www.metacritic.com/game/playstation/silent-hill
Silhouette Mirage (PS),https://www.metacritic.com/game/playstation/silhouette-mirage
Smurf Racer! (PS),https://www.metacritic.com/game/playstation/smurf-racer!
SnoCross Championship Racing (PS),https://www.metacritic.com/game/playstation/snocross-championship-racing
Spec Ops: Covert Assault (PS),https://www.metacritic.com/game/playstation/spec-ops-covert-assault
Spec Ops: Ranger Elite (PS),https://www.metacritic.com/game/playstation/spec-ops-ranger-elite
Speedball 2100 (PS),https://www.metacritic.com/game/playstation/speedball-2100
Spider-Man (PS),https://www.metacritic.com/game/playstation/spider-man
Spider-Man 2: Enter: Electro (PS),https://www.metacritic.com/game/playstation/spider-man-2-enter-electro
Spyro: Year of the Dragon (PS),https://www.metacritic.com/game/playstation/spyro-year-of-the-dragon
Star Ocean: The Second Story (PS),https://www.metacritic.com/game/playstation/star-ocean-the-second-story
Star Trek: Invasion (PS),https://www.metacritic.com/game/playstation/star-trek-invasion
Star Wars: Demolition (PS),https://www.metacritic.com/game/playstation/star-wars-demolition
Street Fighter Alpha 3 (PS),https://www.metacritic.com/game/playstation/street-fighter-alpha-3
Strider 2 (PS),https://www.metacritic.com/game/playstation/strider-2
Strikers 1945 (PS),https://www.metacritic.com/game/playstation/strikers-1945
Stuart Little 2 (PS),https://www.metacritic.com/game/playstation/stuart-little-2
Suikoden II (PS),https://www.metacritic.com/game/playstation/suikoden-ii
Super Puzzle Fighter II Turbo (PS),https://www.metacritic.com/game/playstation/super-puzzle-fighter-ii-turbo
Super Shot Soccer (PS),https://www.metacritic.com/game/playstation/super-shot-soccer
Supercross (PS),https://www.metacritic.com/game/playstation/supercross
Surf Riders (PS),https://www.metacritic.com/game/playstation/surf-riders
Sydney 2000 (PS),https://www.metacritic.com/game/playstation/sydney-2000
Syphon Filter (PS),https://www.metacritic.com/game/playstation/syphon-filter
Syphon Filter 3 (PS),https://www.metacritic.com/game/playstation/syphon-filter-3
