title,url
Tales of Destiny II (PS),https://www.metacritic.com/game/playstation/tales-of-destiny-ii
Tekken 2 (PS),https://www.metacritic.com/game/playstation/tekken-2
Tekken 3 (PS),https://www.metacritic.com/game/playstation/tekken-3
Tenchu 2: Birth of the Stealth Assassins (PS),https://www.metacritic.com/game/playstation/tenchu-2-birth-of-the-stealth-assassins
Tenchu: Stealth Assassins (PS),https://www.metacritic.com/game/playstation/tenchu-stealth-assassins
The Dukes of Hazzard II: Daisy Dukes It Out (PS),https://www.metacritic.com/game/playstation/the-dukes-of-hazzard-ii-daisy-dukes-it-out
The King of Fighters '99 (PS),https://www.metacritic.com/game/playstation/the-king-of-fighters-99
The Legend of Dragoon (PS),https://www.metacritic.com/game/playstation/the-legend-of-dragoon
The Mummy (PS),https://www.metacritic.com/game/playstation/the-mummy
The Powerpuff Girls: Chemical X-Traction (PS),https://www.metacritic.com/game/playstation/the-powerpuff-girls-chemical-x-traction
The Simpsons Wrestling (PS),https://www.metacritic.com/game/playstation/the-simpsons-wrestling
The Weakest Link (PS),https://www.metacritic.com/game/playstation/the-weakest-link
Thunder Force V (PS),https://www.metacritic.com/game/playstation/thunder-force-v
Tiger Woods PGA Tour Golf (PS),https://www.metacritic.com/game/playstation/tiger-woods-pga-tour-golf
Time Crisis: Project Titan (PS),https://www.metacritic.com/game/playstation/time-crisis-project-titan
Tomb Raider (PS),https://www.metacritic.com/game/playstation/tomb-raider
Tomb Raider III (PS),https://www.metacritic.com/game/playstation/tomb-raider-iii
Tony Hawk's Pro Skater (PS),https://www.metacritic.com/game/playstation/tony-hawks-pro-skater
Tony Hawk's Pro Skater 2 (PS),https://www.metacritic.com/game/playstation/tony-hawks-pro-skater-2
Tony Hawk's Pro Skater 3 (PS),https://www.metacritic.com/game/playstation/tony-hawks-pro-skater-3
Tony Hawk's Pro Skater 4 (PS),https://www.metacritic.com/game/playstation/tony-hawks-pro-skater-4
Torneko: The Last Hope (PS),https://www.metacritic.com/game/playstation/torneko-the-last-hope
Toy Story 2: Buzz Lightyear to the Rescue! (PS),https://www.metacritic.com/game/playstation/toy-story-2-buzz-lightyear-to-the-rescue!
Toy Story Racer (PS),https://www.metacritic.com/game/playstation/toy-story-racer
Triple Play Baseball (PS),https://www.metacritic.com/game/playstation/triple-play-baseball
Twisted Metal Small Brawl (PS),https://www.metacritic.com/game/playstation/twisted-metal-small-brawl
