title,url
Cake Bash (STA),https://www.metacritic.com/game/stadia/cake-bash
Calico (STA),https://www.metacritic.com/game/stadia/calico
Celeste (STA),https://www.metacritic.com/game/stadia/celeste
Centipede: Recharged (STA),https://www.metacritic.com/game/stadia/centipede-recharged
Chicken Police - Paint it RED! (STA),https://www.metacritic.com/game/stadia/chicken-police---paint-it-red!
Child of Light (STA),https://www.metacritic.com/game/stadia/child-of-light
Chorus (STA),https://www.metacritic.com/game/stadia/chorus
Chronos: Before the Ashes (STA),https://www.metacritic.com/game/stadia/chronos-before-the-ashes
Cities: Skylines - Stadia Edition (STA),https://www.metacritic.com/game/stadia/cities-skylines---stadia-edition
City Legends: The Curse of the Crimson Shadow (STA),https://www.metacritic.com/game/stadia/city-legends-the-curse-of-the-crimson-shadow
Control: Ultimate Edition (STA),https://www.metacritic.com/game/stadia/control-ultimate-edition
Cosmic Star Heroine (STA),https://www.metacritic.com/game/stadia/cosmic-star-heroine
Crayta (STA),https://www.metacritic.com/game/stadia/crayta
Cris Tales (STA),https://www.metacritic.com/game/stadia/cris-tales
Cthulhu Saves Christmas (STA),https://www.metacritic.com/game/stadia/cthulhu-saves-christmas
Cyberpunk 2077 (STA),https://www.metacritic.com/game/stadia/cyberpunk-2077
