title,url
Darksiders Genesis (STA),https://www.metacritic.com/game/stadia/darksiders-genesis
Darksiders II: Deathinitive Edition (STA),https://www.metacritic.com/game/stadia/darksiders-ii-deathinitive-edition
Darksiders III (STA),https://www.metacritic.com/game/stadia/darksiders-iii
Darkwood (STA),https://www.metacritic.com/game/stadia/darkwood
DC League of Super-Pets: The Adventures of Krypto and Ace (STA),https://www.metacritic.com/game/stadia/dc-league-of-super-pets-the-adventures-of-krypto-and-ace
Dead by Daylight (STA),https://www.metacritic.com/game/stadia/dead-by-daylight
Dead by Daylight: A Binding of Kin (STA),https://www.metacritic.com/game/stadia/dead-by-daylight-a-binding-of-kin
Dead by Daylight: Resident Evil (STA),https://www.metacritic.com/game/stadia/dead-by-daylight-resident-evil
Dead by Daylight: Resident Evil - Project W (STA),https://www.metacritic.com/game/stadia/dead-by-daylight-resident-evil---project-w
Dead by Daylight: Sadako Rising (STA),https://www.metacritic.com/game/stadia/dead-by-daylight-sadako-rising
DEATHRUN TV (STA),https://www.metacritic.com/game/stadia/deathrun-tv
Deliver Us The Moon (STA),https://www.metacritic.com/game/stadia/deliver-us-the-moon
Destiny 2: Beyond Light (STA),https://www.metacritic.com/game/stadia/destiny-2-beyond-light
Destiny 2: The Collection (STA),https://www.metacritic.com/game/stadia/destiny-2-the-collection
Destiny 2: The Witch Queen (STA),https://www.metacritic.com/game/stadia/destiny-2-the-witch-queen
Destroy All Humans! (STA),https://www.metacritic.com/game/stadia/destroy-all-humans!
DIRT 5 (STA),https://www.metacritic.com/game/stadia/dirt-5
Disco Elysium: The Final Cut (STA),https://www.metacritic.com/game/stadia/disco-elysium-the-final-cut
DOOM 64 (STA),https://www.metacritic.com/game/stadia/doom-64
DOOM Eternal (STA),https://www.metacritic.com/game/stadia/doom-eternal
DOOM Eternal: The Ancient Gods Part One (STA),https://www.metacritic.com/game/stadia/doom-eternal-the-ancient-gods-part-one
DOOM Eternal: The Ancient Gods Part Two (STA),https://www.metacritic.com/game/stadia/doom-eternal-the-ancient-gods-part-two
Dragon Ball Z: Kakarot (STA),https://www.metacritic.com/game/stadia/dragon-ball-z-kakarot
Dragon Ball: Xenoverse 2 (STA),https://www.metacritic.com/game/stadia/dragon-ball-xenoverse-2
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition (STA),https://www.metacritic.com/game/stadia/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition
DreamWorks Dragons Dawn of New Riders (STA),https://www.metacritic.com/game/stadia/dreamworks-dragons-dawn-of-new-riders
DreamWorks Dragons: Legends of the Nine Realms (STA),https://www.metacritic.com/game/stadia/dreamworks-dragons-legends-of-the-nine-realms
DreamWorks Spirit Lucky's Big Adventure (STA),https://www.metacritic.com/game/stadia/dreamworks-spirit-luckys-big-adventure
Dynasty Warriors 9 Empires (STA),https://www.metacritic.com/game/stadia/dynasty-warriors-9-empires
