title,url
F1 2020 (STA),https://www.metacritic.com/game/stadia/f1-2020
Family Feud (STA),https://www.metacritic.com/game/stadia/family-feud
Far Cry 3: Blood Dragon (STA),https://www.metacritic.com/game/stadia/far-cry-3-blood-dragon
Far Cry 6 (STA),https://www.metacritic.com/game/stadia/far-cry-6
Far Cry 6 - Joseph: Collapse (STA),https://www.metacritic.com/game/stadia/far-cry-6---joseph-collapse
Far Cry 6 - Pagan: Control (STA),https://www.metacritic.com/game/stadia/far-cry-6---pagan-control
Far Cry 6 - Vaas: Insanity (STA),https://www.metacritic.com/game/stadia/far-cry-6---vaas-insanity
Far Cry Primal (STA),https://www.metacritic.com/game/stadia/far-cry-primal
Farming Simulator 19 (STA),https://www.metacritic.com/game/stadia/farming-simulator-19
Farming Simulator 22 (STA),https://www.metacritic.com/game/stadia/farming-simulator-22
Fast & Furious: Spy Racers Rise of SH1FT3R (STA),https://www.metacritic.com/game/stadia/fast-furious-spy-racers-rise-of-sh1ft3r
Fast & Furious: Spy Racers Rise of SH1FT3R - Arctic Challenge (STA),https://www.metacritic.com/game/stadia/fast-furious-spy-racers-rise-of-sh1ft3r---arctic-challenge
FIFA 21 (STA),https://www.metacritic.com/game/stadia/fifa-21
FIFA 22 (STA),https://www.metacritic.com/game/stadia/fifa-22
Final Fantasy XV (STA),https://www.metacritic.com/game/stadia/final-fantasy-xv
Floor Kids (STA),https://www.metacritic.com/game/stadia/floor-kids
Football Manager 2020 (STA),https://www.metacritic.com/game/stadia/football-manager-2020
Foreclosed (STA),https://www.metacritic.com/game/stadia/foreclosed
