title,url
Heist Simulator (STA),https://www.metacritic.com/game/stadia/heist-simulator
Hello Engineer (STA),https://www.metacritic.com/game/stadia/hello-engineer
Hello Neighbor (STA),https://www.metacritic.com/game/stadia/hello-neighbor
Hello Neighbor: Hide & Seek (STA),https://www.metacritic.com/game/stadia/hello-neighbor-hide-seek
Hellpoint (STA),https://www.metacritic.com/game/stadia/hellpoint
Hitman (STA),https://www.metacritic.com/game/stadia/hitman
Hitman 2 (STA),https://www.metacritic.com/game/stadia/hitman-2
Hitman 3 (STA),https://www.metacritic.com/game/stadia/hitman-3
Hitman 3: Seven Deadly Sins - Greed (STA),https://www.metacritic.com/game/stadia/hitman-3-seven-deadly-sins---greed
Hotline Miami (STA),https://www.metacritic.com/game/stadia/hotline-miami
Hotline Miami 2: Wrong Number (STA),https://www.metacritic.com/game/stadia/hotline-miami-2-wrong-number
Human: Fall Flat (STA),https://www.metacritic.com/game/stadia/human-fall-flat
Humankind (STA),https://www.metacritic.com/game/stadia/humankind
Humankind: Cultures of Africa (STA),https://www.metacritic.com/game/stadia/humankind-cultures-of-africa
Hundred Days (STA),https://www.metacritic.com/game/stadia/hundred-days
Hunting Simulator 2 (STA),https://www.metacritic.com/game/stadia/hunting-simulator-2
