title,url
Mad Streets (STA),https://www.metacritic.com/game/stadia/mad-streets
Madden NFL 21 (STA),https://www.metacritic.com/game/stadia/madden-nfl-21
Madden NFL 22 (STA),https://www.metacritic.com/game/stadia/madden-nfl-22
Mafia III: Definitive Edition (STA),https://www.metacritic.com/game/stadia/mafia-iii-definitive-edition
Marvel's Avengers (STA),https://www.metacritic.com/game/stadia/marvels-avengers
Merek's Market (STA),https://www.metacritic.com/game/stadia/mereks-market
Metro Exodus (STA),https://www.metacritic.com/game/stadia/metro-exodus
Metro: 2033 Redux (STA),https://www.metacritic.com/game/stadia/metro-2033-redux
Metro: Last Light Redux (STA),https://www.metacritic.com/game/stadia/metro-last-light-redux
Monopoly (STA),https://www.metacritic.com/game/stadia/monopoly
Monopoly Madness (STA),https://www.metacritic.com/game/stadia/monopoly-madness
Monster Boy and the Cursed Kingdom (STA),https://www.metacritic.com/game/stadia/monster-boy-and-the-cursed-kingdom
Monster Energy Supercross - The Official Videogame 3 (STA),https://www.metacritic.com/game/stadia/monster-energy-supercross---the-official-videogame-3
Monster Energy Supercross - The Official Videogame 4 (STA),https://www.metacritic.com/game/stadia/monster-energy-supercross---the-official-videogame-4
Monster Jam Steel Titans (STA),https://www.metacritic.com/game/stadia/monster-jam-steel-titans
Monster Jam Steel Titans 2 (STA),https://www.metacritic.com/game/stadia/monster-jam-steel-titans-2
Moonlighter (STA),https://www.metacritic.com/game/stadia/moonlighter
Mortal Kombat 11 (STA),https://www.metacritic.com/game/stadia/mortal-kombat-11
Mortal Kombat 11 Ultimate (STA),https://www.metacritic.com/game/stadia/mortal-kombat-11-ultimate
Mortal Kombat 11: Aftermath (STA),https://www.metacritic.com/game/stadia/mortal-kombat-11-aftermath
Mortal Kombat 11: Kombat Pack 2 (STA),https://www.metacritic.com/game/stadia/mortal-kombat-11-kombat-pack-2
MotoGP 20 (STA),https://www.metacritic.com/game/stadia/motogp-20
MotoGP 21 (STA),https://www.metacritic.com/game/stadia/motogp-21
Murder by Numbers (STA),https://www.metacritic.com/game/stadia/murder-by-numbers
My Friend Peppa Pig (STA),https://www.metacritic.com/game/stadia/my-friend-peppa-pig
My Hero One's Justice 2 (STA),https://www.metacritic.com/game/stadia/my-hero-ones-justice-2
My Little Pony: A Maretime Bay Adventure (STA),https://www.metacritic.com/game/stadia/my-little-pony-a-maretime-bay-adventure
