title,url
Octopath Traveler (STA),https://www.metacritic.com/game/stadia/octopath-traveler
Olympic Games Tokyo 2020: The Official Video Game (STA),https://www.metacritic.com/game/stadia/olympic-games-tokyo-2020-the-official-video-game
One Hand Clapping (STA),https://www.metacritic.com/game/stadia/one-hand-clapping
One Piece: World Seeker (STA),https://www.metacritic.com/game/stadia/one-piece-world-seeker
Orcs Must Die! 3 (STA),https://www.metacritic.com/game/stadia/orcs-must-die!-3
Outcasters (STA),https://www.metacritic.com/game/stadia/outcasters
Outriders (STA),https://www.metacritic.com/game/stadia/outriders
Outriders Worldslayer (STA),https://www.metacritic.com/game/stadia/outriders-worldslayer
Outward (STA),https://www.metacritic.com/game/stadia/outward
Overcooked! All You Can Eat (STA),https://www.metacritic.com/game/stadia/overcooked!-all-you-can-eat
