title,url
Rabbids: Party of Legends (STA),https://www.metacritic.com/game/stadia/rabbids-party-of-legends
Race with Ryan (STA),https://www.metacritic.com/game/stadia/race-with-ryan
RAGE 2 (STA),https://www.metacritic.com/game/stadia/rage-2
Rayman Legends (STA),https://www.metacritic.com/game/stadia/rayman-legends
Red Dead Redemption 2 (STA),https://www.metacritic.com/game/stadia/red-dead-redemption-2
Reigns (STA),https://www.metacritic.com/game/stadia/reigns
Relicta (STA),https://www.metacritic.com/game/stadia/relicta
Republique Remastered (STA),https://www.metacritic.com/game/stadia/republique-remastered
Resident Evil 7: biohazard - Gold Edition (STA),https://www.metacritic.com/game/stadia/resident-evil-7-biohazard---gold-edition
Resident Evil Re:Verse (STA),https://www.metacritic.com/game/stadia/resident-evil-reverse
Resident Evil Village (STA),https://www.metacritic.com/game/stadia/resident-evil-village
Resident Evil Village Gold Edition (STA),https://www.metacritic.com/game/stadia/resident-evil-village-gold-edition
Resident Evil Village: Winters' Expansion (STA),https://www.metacritic.com/game/stadia/resident-evil-village-winters-expansion
Riders Republic (STA),https://www.metacritic.com/game/stadia/riders-republic
Rise of the Tomb Raider (STA),https://www.metacritic.com/game/stadia/rise-of-the-tomb-raider
Risk of Rain 2 (STA),https://www.metacritic.com/game/stadia/risk-of-rain-2
Rock of Ages 3: Make & Break (STA),https://www.metacritic.com/game/stadia/rock-of-ages-3-make-break
Roguebook (STA),https://www.metacritic.com/game/stadia/roguebook
Ryan's Rescue Squad (STA),https://www.metacritic.com/game/stadia/ryans-rescue-squad
