title,url
Saints Row (STA),https://www.metacritic.com/game/stadia/saints-row
Saints Row IV: Re-Elected (STA),https://www.metacritic.com/game/stadia/saints-row-iv-re-elected
Saints Row: The Third Remastered (STA),https://www.metacritic.com/game/stadia/saints-row-the-third-remastered
Samurai Shodown (STA),https://www.metacritic.com/game/stadia/samurai-shodown
Scott Pilgrim vs. the World: The Game - Complete Edition (STA),https://www.metacritic.com/game/stadia/scott-pilgrim-vs-the-world-the-game---complete-edition
Secret Neighbor (STA),https://www.metacritic.com/game/stadia/secret-neighbor
Sekiro: Shadows Die Twice (STA),https://www.metacritic.com/game/stadia/sekiro-shadows-die-twice
Serious Sam 4 (STA),https://www.metacritic.com/game/stadia/serious-sam-4
Shadow of the Tomb Raider: Definitive Edition (STA),https://www.metacritic.com/game/stadia/shadow-of-the-tomb-raider-definitive-edition
Shantae: Half-Genie Hero (STA),https://www.metacritic.com/game/stadia/shantae-half-genie-hero
Shantae: Risky's Revenge (STA),https://www.metacritic.com/game/stadia/shantae-riskys-revenge
Slaycation Paradise (STA),https://www.metacritic.com/game/stadia/slaycation-paradise
Sniper Elite 4 (STA),https://www.metacritic.com/game/stadia/sniper-elite-4
Spiritfarer: Farewell Edition (STA),https://www.metacritic.com/game/stadia/spiritfarer-farewell-edition
SPITLINGS (STA),https://www.metacritic.com/game/stadia/spitlings
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated (STA),https://www.metacritic.com/game/stadia/spongebob-squarepants-battle-for-bikini-bottom---rehydrated
Stacks On Stacks (On Stacks) (STA),https://www.metacritic.com/game/stadia/stacks-on-stacks-on-stacks
Stadia (STA),https://www.metacritic.com/game/stadia/stadia
Star Wars Jedi: Fallen Order (STA),https://www.metacritic.com/game/stadia/star-wars-jedi-fallen-order
SteamWorld Dig (STA),https://www.metacritic.com/game/stadia/steamworld-dig
SteamWorld Dig 2 (STA),https://www.metacritic.com/game/stadia/steamworld-dig-2
SteamWorld Heist (STA),https://www.metacritic.com/game/stadia/steamworld-heist
SteamWorld Quest: Hand of Gilgamech (STA),https://www.metacritic.com/game/stadia/steamworld-quest-hand-of-gilgamech
Strange Brigade (STA),https://www.metacritic.com/game/stadia/strange-brigade
Street Power Football (STA),https://www.metacritic.com/game/stadia/street-power-football
Streets of Rage 4 (STA),https://www.metacritic.com/game/stadia/streets-of-rage-4
Submerged: Hidden Depths (STA),https://www.metacritic.com/game/stadia/submerged-hidden-depths
Sundered: Eldritch Edition (STA),https://www.metacritic.com/game/stadia/sundered-eldritch-edition
Super Animal Royale (STA),https://www.metacritic.com/game/stadia/super-animal-royale
Super Bomberman R Online (STA),https://www.metacritic.com/game/stadia/super-bomberman-r-online
SUPERHOT (STA),https://www.metacritic.com/game/stadia/superhot
