title,url
Tangle Tower (STA),https://www.metacritic.com/game/stadia/tangle-tower
Terraria (STA),https://www.metacritic.com/game/stadia/terraria
The Addams Family: Mansion Mayhem (STA),https://www.metacritic.com/game/stadia/the-addams-family-mansion-mayhem
The Crew 2 (STA),https://www.metacritic.com/game/stadia/the-crew-2
The Darkside Detective (STA),https://www.metacritic.com/game/stadia/the-darkside-detective
The Darkside Detective: A Fumble in the Dark (STA),https://www.metacritic.com/game/stadia/the-darkside-detective-a-fumble-in-the-dark
The Elder Scrolls Online (STA),https://www.metacritic.com/game/stadia/the-elder-scrolls-online
The Elder Scrolls Online: Blackwood (STA),https://www.metacritic.com/game/stadia/the-elder-scrolls-online-blackwood
The Elder Scrolls Online: Greymoor (STA),https://www.metacritic.com/game/stadia/the-elder-scrolls-online-greymoor
The Elder Scrolls Online: High Isle (STA),https://www.metacritic.com/game/stadia/the-elder-scrolls-online-high-isle
The Falconeer: Warrior Edition (STA),https://www.metacritic.com/game/stadia/the-falconeer-warrior-edition
The Gardens Between (STA),https://www.metacritic.com/game/stadia/the-gardens-between
THE HOUSE OF THE DEAD: Remake (STA),https://www.metacritic.com/game/stadia/the-house-of-the-dead-remake
The Jackbox Party Pack 8 (STA),https://www.metacritic.com/game/stadia/the-jackbox-party-pack-8
The Last Kids on Earth and the Staff of Doom (STA),https://www.metacritic.com/game/stadia/the-last-kids-on-earth-and-the-staff-of-doom
The Legend of Heroes: Trails of Cold Steel III (STA),https://www.metacritic.com/game/stadia/the-legend-of-heroes-trails-of-cold-steel-iii
The Legend of Heroes: Trails of Cold Steel IV - The End of Saga (STA),https://www.metacritic.com/game/stadia/the-legend-of-heroes-trails-of-cold-steel-iv---the-end-of-saga
The Serious Sam Collection (STA),https://www.metacritic.com/game/stadia/the-serious-sam-collection
The Turing Test (STA),https://www.metacritic.com/game/stadia/the-turing-test
Those Who Remain (STA),https://www.metacritic.com/game/stadia/those-who-remain
Through the Darkest of Times (STA),https://www.metacritic.com/game/stadia/through-the-darkest-of-times
Thumper (STA),https://www.metacritic.com/game/stadia/thumper
TOHU (STA),https://www.metacritic.com/game/stadia/tohu
Tom Clancy's Ghost Recon: Breakpoint (STA),https://www.metacritic.com/game/stadia/tom-clancys-ghost-recon-breakpoint
Tom Clancy's Ghost Recon: Wildlands (STA),https://www.metacritic.com/game/stadia/tom-clancys-ghost-recon-wildlands
Tom Clancy's Rainbow Six Extraction (STA),https://www.metacritic.com/game/stadia/tom-clancys-rainbow-six-extraction
Tom Clancy's Rainbow Six Siege (STA),https://www.metacritic.com/game/stadia/tom-clancys-rainbow-six-siege
Tom Clancy's The Division 2 (STA),https://www.metacritic.com/game/stadia/tom-clancys-the-division-2
Tomb Raider: Definitive Edition (STA),https://www.metacritic.com/game/stadia/tomb-raider-definitive-edition
Transformers: Battlegrounds (STA),https://www.metacritic.com/game/stadia/transformers-battlegrounds
Trials Rising (STA),https://www.metacritic.com/game/stadia/trials-rising
Trine 4: The Nightmare Prince (STA),https://www.metacritic.com/game/stadia/trine-4-the-nightmare-prince
Trivial Pursuit Live! (STA),https://www.metacritic.com/game/stadia/trivial-pursuit-live!
Trivial Pursuit Live! 2 (STA),https://www.metacritic.com/game/stadia/trivial-pursuit-live!-2
Trollhunters: Defenders of Arcadia (STA),https://www.metacritic.com/game/stadia/trollhunters-defenders-of-arcadia
