title,url
Watch Dogs 2 (STA),https://www.metacritic.com/game/stadia/watch-dogs-2
Watch Dogs: Complete Edition (STA),https://www.metacritic.com/game/stadia/watch-dogs-complete-edition
Watch Dogs: Legion (STA),https://www.metacritic.com/game/stadia/watch-dogs-legion
Wave Break (STA),https://www.metacritic.com/game/stadia/wave-break
Wavetale (STA),https://www.metacritic.com/game/stadia/wavetale
Welcome to Elk (STA),https://www.metacritic.com/game/stadia/welcome-to-elk
West of Loathing (STA),https://www.metacritic.com/game/stadia/west-of-loathing
Windbound (STA),https://www.metacritic.com/game/stadia/windbound
Wolfenstein: Youngblood (STA),https://www.metacritic.com/game/stadia/wolfenstein-youngblood
Worm Game (STA),https://www.metacritic.com/game/stadia/worm-game
Wreckfest (STA),https://www.metacritic.com/game/stadia/wreckfest
WWE 2K Battlegrounds (STA),https://www.metacritic.com/game/stadia/wwe-2k-battlegrounds
