title,url
A Boy and His Blob (Switch),https://www.metacritic.com/game/switch/a-boy-and-his-blob
A Building Full of Cats (Switch),https://www.metacritic.com/game/switch/a-building-full-of-cats
A Case of Distrust (Switch),https://www.metacritic.com/game/switch/a-case-of-distrust
A Christmas Tree (Switch),https://www.metacritic.com/game/switch/a-christmas-tree
A Dark Room (Switch),https://www.metacritic.com/game/switch/a-dark-room
A Day Without Me (Switch),https://www.metacritic.com/game/switch/a-day-without-me
A Duel Hand Disaster: Trackher (Switch),https://www.metacritic.com/game/switch/a-duel-hand-disaster-trackher
A Fold Apart (Switch),https://www.metacritic.com/game/switch/a-fold-apart
A Fox and His Robot (Switch),https://www.metacritic.com/game/switch/a-fox-and-his-robot
A Frog Game (Switch),https://www.metacritic.com/game/switch/a-frog-game
A Frog's Job (Switch),https://www.metacritic.com/game/switch/a-frogs-job
A Glider's Journey (Switch),https://www.metacritic.com/game/switch/a-gliders-journey
A Good Snowman Is Hard To Build (Switch),https://www.metacritic.com/game/switch/a-good-snowman-is-hard-to-build
A Gummy's Life (Switch),https://www.metacritic.com/game/switch/a-gummys-life
A Hat in Time (Switch),https://www.metacritic.com/game/switch/a-hat-in-time
A Hat in Time: Nyakuza Metro (Switch),https://www.metacritic.com/game/switch/a-hat-in-time-nyakuza-metro
A Hat in Time: Seal the Deal (Switch),https://www.metacritic.com/game/switch/a-hat-in-time-seal-the-deal
A HERO AND A GARDEN (Switch),https://www.metacritic.com/game/switch/a-hero-and-a-garden
A Hole New World (Switch),https://www.metacritic.com/game/switch/a-hole-new-world
A Juggler's Tale (Switch),https://www.metacritic.com/game/switch/a-jugglers-tale
A Knight's Quest (Switch),https://www.metacritic.com/game/switch/a-knights-quest
A Little Golf Journey (Switch),https://www.metacritic.com/game/switch/a-little-golf-journey
A Little Lily Princess (Switch),https://www.metacritic.com/game/switch/a-little-lily-princess
A Little To The Left (Switch),https://www.metacritic.com/game/switch/a-little-to-the-left
A Long Way Down (Switch),https://www.metacritic.com/game/switch/a-long-way-down
A Magical High School Girl (Switch),https://www.metacritic.com/game/switch/a-magical-high-school-girl
A Maiden Astrologer Divines the Future (Switch),https://www.metacritic.com/game/switch/a-maiden-astrologer-divines-the-future
A Matter of Principle (Switch),https://www.metacritic.com/game/switch/a-matter-of-principle
A Memoir Blue (Switch),https://www.metacritic.com/game/switch/a-memoir-blue
A Monster's Expedition (Switch),https://www.metacritic.com/game/switch/a-monsters-expedition
A Monster's Expedition + Earlier Adventures (Switch),https://www.metacritic.com/game/switch/a-monsters-expedition-+-earlier-adventures
A Musical Story (Switch),https://www.metacritic.com/game/switch/a-musical-story
A Night at the Races (Switch),https://www.metacritic.com/game/switch/a-night-at-the-races
A Normal Lost Phone (Switch),https://www.metacritic.com/game/switch/a-normal-lost-phone
A Place for the Unwilling (Switch),https://www.metacritic.com/game/switch/a-place-for-the-unwilling
A Plague Tale: Innocence - Cloud Version (Switch),https://www.metacritic.com/game/switch/a-plague-tale-innocence---cloud-version
A Plague Tale: Requiem - Cloud Version (Switch),https://www.metacritic.com/game/switch/a-plague-tale-requiem---cloud-version
A Pretty Odd Bunny (Switch),https://www.metacritic.com/game/switch/a-pretty-odd-bunny
A Robot Named Fight! (Switch),https://www.metacritic.com/game/switch/a-robot-named-fight!
A Short Hike (Switch),https://www.metacritic.com/game/switch/a-short-hike
A Sound Plan (Switch),https://www.metacritic.com/game/switch/a-sound-plan
A Space For The Unbound (Switch),https://www.metacritic.com/game/switch/a-space-for-the-unbound
A Street Cat's Tale (Switch),https://www.metacritic.com/game/switch/a-street-cats-tale
A Summer with the Shiba Inu (Switch),https://www.metacritic.com/game/switch/a-summer-with-the-shiba-inu
A Tale of Synapse: The Chaos Theories (Switch),https://www.metacritic.com/game/switch/a-tale-of-synapse-the-chaos-theories
A Winding Path (Switch),https://www.metacritic.com/game/switch/a-winding-path
A Winter's Daydream (Switch),https://www.metacritic.com/game/switch/a-winters-daydream
A YEAR OF SPRINGS (Switch),https://www.metacritic.com/game/switch/a-year-of-springs
A-Train: All Aboard! Tourism (Switch),https://www.metacritic.com/game/switch/a-train-all-aboard!-tourism
AAA Clock (Switch),https://www.metacritic.com/game/switch/aaa-clock
AAA Clock 2 (Switch),https://www.metacritic.com/game/switch/aaa-clock-2
AAA Clock National Edition (Switch),https://www.metacritic.com/game/switch/aaa-clock-national-edition
AAA Clock Pixel Edition (Switch),https://www.metacritic.com/game/switch/aaa-clock-pixel-edition
Aaero: Complete Edition (Switch),https://www.metacritic.com/game/switch/aaero-complete-edition
Aaron - The Little Detective (Switch),https://www.metacritic.com/game/switch/aaron---the-little-detective
Abarenbo Tengu & Zombie Nation (Switch),https://www.metacritic.com/game/switch/abarenbo-tengu-zombie-nation
Abbie's Farm for kids and toddlers (Switch),https://www.metacritic.com/game/switch/abbies-farm-for-kids-and-toddlers
ABC Follow Me: Animals (Switch),https://www.metacritic.com/game/switch/abc-follow-me-animals
ABC Follow Me: Food Festival (Switch),https://www.metacritic.com/game/switch/abc-follow-me-food-festival
ABC Match with Me (Switch),https://www.metacritic.com/game/switch/abc-match-with-me
Aborigenus (Switch),https://www.metacritic.com/game/switch/aborigenus
About an Elf (Switch),https://www.metacritic.com/game/switch/about-an-elf
Absolute Drift (Switch),https://www.metacritic.com/game/switch/absolute-drift
Absolute Tactics: Daughters of Mercy (Switch),https://www.metacritic.com/game/switch/absolute-tactics-daughters-of-mercy
Abyss (Switch),https://www.metacritic.com/game/switch/abyss
Abyss Memory: Fallen Angel and the Path of Magic (Switch),https://www.metacritic.com/game/switch/abyss-memory-fallen-angel-and-the-path-of-magic
