title,url
B.Ark (Switch),https://www.metacritic.com/game/switch/bark
Baba Is You (Switch),https://www.metacritic.com/game/switch/baba-is-you
Baby Puzzle - First Learning Shapes for Toddlers (Switch),https://www.metacritic.com/game/switch/baby-puzzle---first-learning-shapes-for-toddlers
"Baby Shapes for Kids - Puzzle,Animal,Funny, Parent,Coloring,Farm Simulator Games (Switch)",https://www.metacritic.com/game/switch/baby-shapes-for-kids---puzzleanimalfunny-parentcoloringfarm-simulator-games
Baby Storm (Switch),https://www.metacritic.com/game/switch/baby-storm
Back Again (Switch),https://www.metacritic.com/game/switch/back-again
Back in 1995 (Switch),https://www.metacritic.com/game/switch/back-in-1995
Back to Bed (Switch),https://www.metacritic.com/game/switch/back-to-bed
Back To Brother (Switch),https://www.metacritic.com/game/switch/back-to-brother
Backbeat (Switch),https://www.metacritic.com/game/switch/backbeat
Backbone (Switch),https://www.metacritic.com/game/switch/backbone
Backfirewall_ (Switch),https://www.metacritic.com/game/switch/backfirewall_
Backgammon: Board Game Puzzle (Switch),https://www.metacritic.com/game/switch/backgammon-board-game-puzzle
Backgrounds for life (Switch),https://www.metacritic.com/game/switch/backgrounds-for-life
Backpack Twins (Switch),https://www.metacritic.com/game/switch/backpack-twins
Backworlds (Switch),https://www.metacritic.com/game/switch/backworlds
Bacon Man: An Adventure (Switch),https://www.metacritic.com/game/switch/bacon-man-an-adventure
Bad Dream: Coma (Switch),https://www.metacritic.com/game/switch/bad-dream-coma
Bad Dream: Fever (Switch),https://www.metacritic.com/game/switch/bad-dream-fever
Bad North (Switch),https://www.metacritic.com/game/switch/bad-north
Bad North: Jotunn Edition (Switch),https://www.metacritic.com/game/switch/bad-north-jotunn-edition
Bad Writer (Switch),https://www.metacritic.com/game/switch/bad-writer
Badland: Game of the Year Edition (Switch),https://www.metacritic.com/game/switch/badland-game-of-the-year-edition
BAFL: Brakes Are For Losers (Switch),https://www.metacritic.com/game/switch/bafl-brakes-are-for-losers
Bai Qu: Hundreds of Melodies (Switch),https://www.metacritic.com/game/switch/bai-qu-hundreds-of-melodies
Baila Latino (Switch),https://www.metacritic.com/game/switch/baila-latino
Bake 'n Switch (Switch),https://www.metacritic.com/game/switch/bake-n-switch
Bakery Master (Switch),https://www.metacritic.com/game/switch/bakery-master
Bakugan: Champions of Vestroia (Switch),https://www.metacritic.com/game/switch/bakugan-champions-of-vestroia
Bakumatsu Renka SHINSENGUMI (Switch),https://www.metacritic.com/game/switch/bakumatsu-renka-shinsengumi
Balan Wonderworld (Switch),https://www.metacritic.com/game/switch/balan-wonderworld
Balance Blox (Switch),https://www.metacritic.com/game/switch/balance-blox
Balancelot (Switch),https://www.metacritic.com/game/switch/balancelot
Baldo: The Guardian Owls (Switch),https://www.metacritic.com/game/switch/baldo-the-guardian-owls
Baldur's Gate and Baldur's Gate II: Enhanced Editions (Switch),https://www.metacritic.com/game/switch/baldurs-gate-and-baldurs-gate-ii-enhanced-editions
Baldur's Gate II: Enhanced Edition (Switch),https://www.metacritic.com/game/switch/baldurs-gate-ii-enhanced-edition
Baldur's Gate: Dark Alliance (Switch),https://www.metacritic.com/game/switch/baldurs-gate-dark-alliance
Baldur's Gate: Dark Alliance II (Switch),https://www.metacritic.com/game/switch/baldurs-gate-dark-alliance-ii
Baldur's Gate: Enhanced Edition (Switch),https://www.metacritic.com/game/switch/baldurs-gate-enhanced-edition
Ball Attraction (Switch),https://www.metacritic.com/game/switch/ball-attraction
Ball laB (Switch),https://www.metacritic.com/game/switch/ball-lab
Ball Physics Draw Puzzles (Switch),https://www.metacritic.com/game/switch/ball-physics-draw-puzzles
Ball Physics Draw Puzzles 2 (Switch),https://www.metacritic.com/game/switch/ball-physics-draw-puzzles-2
Ball Rush (Switch),https://www.metacritic.com/game/switch/ball-rush
Balloon Flight (Switch),https://www.metacritic.com/game/switch/balloon-flight
Balloon Girl (Switch),https://www.metacritic.com/game/switch/balloon-girl
"Balloon Pop - Learning Letters, Numbers, Colors, Game for Kids (Switch)",https://www.metacritic.com/game/switch/balloon-pop---learning-letters-numbers-colors-game-for-kids
BallzOut (Switch),https://www.metacritic.com/game/switch/ballzout
Balthazar's Dream (Switch),https://www.metacritic.com/game/switch/balthazars-dream
Bamerang (Switch),https://www.metacritic.com/game/switch/bamerang
Banana Treasures Island (Switch),https://www.metacritic.com/game/switch/banana-treasures-island
Banner of the Maid (Switch),https://www.metacritic.com/game/switch/banner-of-the-maid
Banner of the Maid: The Oriental Pirate (Switch),https://www.metacritic.com/game/switch/banner-of-the-maid-the-oriental-pirate
