title,url
D/Generation HD (Switch),https://www.metacritic.com/game/switch/dgeneration-hd
D/Generation: The Original (Switch),https://www.metacritic.com/game/switch/dgeneration-the-original
Daardoa (Switch),https://www.metacritic.com/game/switch/daardoa
Dadish (Switch),https://www.metacritic.com/game/switch/dadish
Dadish 2 (Switch),https://www.metacritic.com/game/switch/dadish-2
Dadish 3 (Switch),https://www.metacritic.com/game/switch/dadish-3
Daemon X Machina (Switch),https://www.metacritic.com/game/switch/daemon-x-machina
Daemon X Machina: Prototype Missions (Switch),https://www.metacritic.com/game/switch/daemon-x-machina-prototype-missions
Daemonum (Switch),https://www.metacritic.com/game/switch/daemonum
Daggerhood (Switch),https://www.metacritic.com/game/switch/daggerhood
Daily Dadish (Switch),https://www.metacritic.com/game/switch/daily-dadish
Dairoku: Agents of Sakuratani (Switch),https://www.metacritic.com/game/switch/dairoku-agents-of-sakuratani
Damaged In Transit (Switch),https://www.metacritic.com/game/switch/damaged-in-transit
Damascus Gear: Operation Osaka (Switch),https://www.metacritic.com/game/switch/damascus-gear-operation-osaka
Damascus Gear: Operation Tokyo (Switch),https://www.metacritic.com/game/switch/damascus-gear-operation-tokyo
Damn Dolls (Switch),https://www.metacritic.com/game/switch/damn-dolls
Damsel (Switch),https://www.metacritic.com/game/switch/damsel
Dance of Death: Du Lac & Fey (Switch),https://www.metacritic.com/game/switch/dance-of-death-du-lac-fey
Dancing Dreamer (Switch),https://www.metacritic.com/game/switch/dancing-dreamer
Dandara (Switch),https://www.metacritic.com/game/switch/dandara
Dandy & Randy DX (Switch),https://www.metacritic.com/game/switch/dandy-randy-dx
Dandy Ace (Switch),https://www.metacritic.com/game/switch/dandy-ace
Dandy Dungeon: Legend of Brave Yamada (Switch),https://www.metacritic.com/game/switch/dandy-dungeon-legend-of-brave-yamada
Danganronpa 2: Goodbye Despair Anniversary Edition (Switch),https://www.metacritic.com/game/switch/danganronpa-2-goodbye-despair-anniversary-edition
Danganronpa Decadence (Switch),https://www.metacritic.com/game/switch/danganronpa-decadence
Danganronpa S: Ultimate Summer Camp (Switch),https://www.metacritic.com/game/switch/danganronpa-s-ultimate-summer-camp
Danganronpa V3: Killing Harmony - Anniversary Edition (Switch),https://www.metacritic.com/game/switch/danganronpa-v3-killing-harmony---anniversary-edition
Danganronpa: Trigger Happy Havoc - Anniversary Edition (Switch),https://www.metacritic.com/game/switch/danganronpa-trigger-happy-havoc---anniversary-edition
Danger Gazers (Switch),https://www.metacritic.com/game/switch/danger-gazers
Danger Mouse: The Danger Games (Switch),https://www.metacritic.com/game/switch/danger-mouse-the-danger-games
Danger Scavenger (Switch),https://www.metacritic.com/game/switch/danger-scavenger
Dangerous Relationship (Switch),https://www.metacritic.com/game/switch/dangerous-relationship
Danmaku Unlimited 3 (Switch),https://www.metacritic.com/game/switch/danmaku-unlimited-3
Darius Cozmic Collection: Arcade (Switch),https://www.metacritic.com/game/switch/darius-cozmic-collection-arcade
Darius Cozmic Collection: Console (Switch),https://www.metacritic.com/game/switch/darius-cozmic-collection-console
Dariusburst CS Core + TAITO / SEGA Pack (Switch),https://www.metacritic.com/game/switch/dariusburst-cs-core-+-taito-sega-pack
Dariusburst: Another Chronicle EX+ (Switch),https://www.metacritic.com/game/switch/dariusburst-another-chronicle-ex+
Dark Arcana: The Carnival (Switch),https://www.metacritic.com/game/switch/dark-arcana-the-carnival
Dark Burial (Switch),https://www.metacritic.com/game/switch/dark-burial
Dark Deity (Switch),https://www.metacritic.com/game/switch/dark-deity
Dark Devotion (Switch),https://www.metacritic.com/game/switch/dark-devotion
Dark Fantasy: Jigsaw Puzzle (Switch),https://www.metacritic.com/game/switch/dark-fantasy-jigsaw-puzzle
Dark Fantasy: Jigsaw Puzzle 2 (Switch),https://www.metacritic.com/game/switch/dark-fantasy-jigsaw-puzzle-2
Dark Grim Mariupolis (Switch),https://www.metacritic.com/game/switch/dark-grim-mariupolis
DARK MINUTE: Kira's Adventure (Switch),https://www.metacritic.com/game/switch/dark-minute-kiras-adventure
Dark Nights with Poe and Munro (Switch),https://www.metacritic.com/game/switch/dark-nights-with-poe-and-munro
Dark Quest 2 (Switch),https://www.metacritic.com/game/switch/dark-quest-2
Dark Souls Remastered (Switch),https://www.metacritic.com/game/switch/dark-souls-remastered
Dark Thrones (Switch),https://www.metacritic.com/game/switch/dark-thrones
Dark Thrones / Witch Hunter Double Pack (Switch),https://www.metacritic.com/game/switch/dark-thrones-witch-hunter-double-pack
Dark Tower (Switch),https://www.metacritic.com/game/switch/dark-tower
Dark Veer (Switch),https://www.metacritic.com/game/switch/dark-veer
Dark Water: Slime Invader (Switch),https://www.metacritic.com/game/switch/dark-water-slime-invader
Dark Witch Music Episode: Rudymical (Switch),https://www.metacritic.com/game/switch/dark-witch-music-episode-rudymical
Darker Skies (Switch),https://www.metacritic.com/game/switch/darker-skies
Darkest Dungeon (Switch),https://www.metacritic.com/game/switch/darkest-dungeon
Darkest Dungeon: Ancestral Edition (Switch),https://www.metacritic.com/game/switch/darkest-dungeon-ancestral-edition
Darkest Dungeon: The Color of Madness (Switch),https://www.metacritic.com/game/switch/darkest-dungeon-the-color-of-madness
Darkest Dungeon: The Crimson Court (Switch),https://www.metacritic.com/game/switch/darkest-dungeon-the-crimson-court
Darkest Dungeon: The Musketeer (Switch),https://www.metacritic.com/game/switch/darkest-dungeon-the-musketeer
Darkest Dungeon: The Shieldbreaker (Switch),https://www.metacritic.com/game/switch/darkest-dungeon-the-shieldbreaker
Darkest Hunters (Switch),https://www.metacritic.com/game/switch/darkest-hunters
Darkestville Castle (Switch),https://www.metacritic.com/game/switch/darkestville-castle
Darkness and Flame: Born of Fire (Switch),https://www.metacritic.com/game/switch/darkness-and-flame-born-of-fire
Darkness and Flame: Missing Memories (Switch),https://www.metacritic.com/game/switch/darkness-and-flame-missing-memories
