title,url
Eagle Island (Switch),https://www.metacritic.com/game/switch/eagle-island
Eagle Island Twist (Switch),https://www.metacritic.com/game/switch/eagle-island-twist
Eagle Simulator - Bird Zoo Park Flight Sky Pilot Driving (Switch),https://www.metacritic.com/game/switch/eagle-simulator---bird-zoo-park-flight-sky-pilot-driving
EAGLETALON vs. HORDE OF THE FLIES (Switch),https://www.metacritic.com/game/switch/eagletalon-vs-horde-of-the-flies
Earth Atlantis (Switch),https://www.metacritic.com/game/switch/earth-atlantis
Earth Defense Force: World Brothers (Switch),https://www.metacritic.com/game/switch/earth-defense-force-world-brothers
Earth Marines (Switch),https://www.metacritic.com/game/switch/earth-marines
Earth Wars (Switch),https://www.metacritic.com/game/switch/earth-wars
Earthfall (Switch),https://www.metacritic.com/game/switch/earthfall
Earthfall: Alien Horde (Switch),https://www.metacritic.com/game/switch/earthfall-alien-horde
Earthlock (Switch),https://www.metacritic.com/game/switch/earthlock
EarthNight (Switch),https://www.metacritic.com/game/switch/earthnight
Earthworms (Switch),https://www.metacritic.com/game/switch/earthworms
Eastville Chronicles: The Drama Queen Murder (Switch),https://www.metacritic.com/game/switch/eastville-chronicles-the-drama-queen-murder
Eastward (Switch),https://www.metacritic.com/game/switch/eastward
Easy Come Easy Golf (Switch),https://www.metacritic.com/game/switch/easy-come-easy-golf
Easy Flight Simulator (Switch),https://www.metacritic.com/game/switch/easy-flight-simulator
Easy Red 2 (Switch),https://www.metacritic.com/game/switch/easy-red-2
Easy Red 2: Stalingrad (Switch),https://www.metacritic.com/game/switch/easy-red-2-stalingrad
Eat Beat Deadspike-san (Switch),https://www.metacritic.com/game/switch/eat-beat-deadspike-san
Eat your letters (Switch),https://www.metacritic.com/game/switch/eat-your-letters
Eclipse: Edge of Light (Switch),https://www.metacritic.com/game/switch/eclipse-edge-of-light
eCrossminton (Switch),https://www.metacritic.com/game/switch/ecrossminton
Edgar: Bokbok in Boulzac (Switch),https://www.metacritic.com/game/switch/edgar-bokbok-in-boulzac
Edge Of Eternity (Switch),https://www.metacritic.com/game/switch/edge-of-eternity
Edna & Harvey: Harvey's New Eyes (Switch),https://www.metacritic.com/game/switch/edna-harvey-harveys-new-eyes
Edna & Harvey: The Breakout - 10th Anniversary Edition (Switch),https://www.metacritic.com/game/switch/edna-harvey-the-breakout---10th-anniversary-edition
Educational Games for Kids (Switch),https://www.metacritic.com/game/switch/educational-games-for-kids
Eekeemoo: Splinters of the Dark Shard (Switch),https://www.metacritic.com/game/switch/eekeemoo-splinters-of-the-dark-shard
Effie (Switch),https://www.metacritic.com/game/switch/effie
Egg Over It: Fall Flat from the Top (Switch),https://www.metacritic.com/game/switch/egg-over-it-fall-flat-from-the-top
Egg Up (Switch),https://www.metacritic.com/game/switch/egg-up
Eggggg: The Platform Puker (Switch),https://www.metacritic.com/game/switch/eggggg-the-platform-puker
EGGLIA Rebirth (Switch),https://www.metacritic.com/game/switch/egglia-rebirth
Ego Protocol: Remastered (Switch),https://www.metacritic.com/game/switch/ego-protocol-remastered
Eight Dragons (Switch),https://www.metacritic.com/game/switch/eight-dragons
Eight-Minute Empire (Switch),https://www.metacritic.com/game/switch/eight-minute-empire
Eiyuden Chronicle: Rising (Switch),https://www.metacritic.com/game/switch/eiyuden-chronicle-rising
Eiyuu Densetsu: Akatsuki no Kiseki (Switch),https://www.metacritic.com/game/switch/eiyuu-densetsu-akatsuki-no-kiseki
Ekstase (Switch),https://www.metacritic.com/game/switch/ekstase
El Gancho (Switch),https://www.metacritic.com/game/switch/el-gancho
El Hijo: A Wild West Tale (Switch),https://www.metacritic.com/game/switch/el-hijo-a-wild-west-tale
Elasto Mania Remastered (Switch),https://www.metacritic.com/game/switch/elasto-mania-remastered
Elden: Path of the Forgotten (Switch),https://www.metacritic.com/game/switch/elden-path-of-the-forgotten
Elderand (Switch),https://www.metacritic.com/game/switch/elderand
Eldest Souls (Switch),https://www.metacritic.com/game/switch/eldest-souls
Eldrador Creatures (Switch),https://www.metacritic.com/game/switch/eldrador-creatures
ELEA: Paradigm Shift (Switch),https://www.metacritic.com/game/switch/elea-paradigm-shift
ElecHead (Switch),https://www.metacritic.com/game/switch/elechead
Electro Ride: The Neon Racing (Switch),https://www.metacritic.com/game/switch/electro-ride-the-neon-racing
Electronic Super Joy (Switch),https://www.metacritic.com/game/switch/electronic-super-joy
Electronic Super Joy 2 (Switch),https://www.metacritic.com/game/switch/electronic-super-joy-2
Elegant Clock (Switch),https://www.metacritic.com/game/switch/elegant-clock
Element (Switch),https://www.metacritic.com/game/switch/element
Elemental Knights R (Switch),https://www.metacritic.com/game/switch/elemental-knights-r
EleMetals: Death Metal Death Match! (Switch),https://www.metacritic.com/game/switch/elemetals-death-metal-death-match!
Elevator Action Returns S-Tribute (Switch),https://www.metacritic.com/game/switch/elevator-action-returns-s-tribute
Elevator... to the Moon! Turbo Champion's Edition (Switch),https://www.metacritic.com/game/switch/elevator-to-the-moon!-turbo-champions-edition
Elite Soldier Shooter (Switch),https://www.metacritic.com/game/switch/elite-soldier-shooter
Eliza (Switch),https://www.metacritic.com/game/switch/eliza
Ellen (Switch),https://www.metacritic.com/game/switch/ellen
Elli (Switch),https://www.metacritic.com/game/switch/elli
Elliot (Switch),https://www.metacritic.com/game/switch/elliot
Elliot Quest (Switch),https://www.metacritic.com/game/switch/elliot-quest
Ellipsis (Switch),https://www.metacritic.com/game/switch/ellipsis
Elta7 (Switch),https://www.metacritic.com/game/switch/elta7
Elva the Eco Dragon (Switch),https://www.metacritic.com/game/switch/elva-the-eco-dragon
Elves Christmas Hentai Puzzle (Switch),https://www.metacritic.com/game/switch/elves-christmas-hentai-puzzle
Elves Fantasy Hentai Puzzle (Switch),https://www.metacritic.com/game/switch/elves-fantasy-hentai-puzzle
Ember (Switch),https://www.metacritic.com/game/switch/ember
Embers of Mirrim (Switch),https://www.metacritic.com/game/switch/embers-of-mirrim
Embr (Switch),https://www.metacritic.com/game/switch/embr
Embracelet (Switch),https://www.metacritic.com/game/switch/embracelet
Emergency Driver Simulator (Switch),https://www.metacritic.com/game/switch/emergency-driver-simulator
EMERGENCY HQ (Switch),https://www.metacritic.com/game/switch/emergency-hq
Emily Archer and the Curse of Tutankhamun (Switch),https://www.metacritic.com/game/switch/emily-archer-and-the-curse-of-tutankhamun
Emma: Lost in Memories (Switch),https://www.metacritic.com/game/switch/emma-lost-in-memories
emoji MUSIC (Switch),https://www.metacritic.com/game/switch/emoji-music
Empire Invasion (Switch),https://www.metacritic.com/game/switch/empire-invasion
Empire of Angels IV (Switch),https://www.metacritic.com/game/switch/empire-of-angels-iv
Empire of Sin (Switch),https://www.metacritic.com/game/switch/empire-of-sin
Empire of Sin: Make It Count (Switch),https://www.metacritic.com/game/switch/empire-of-sin-make-it-count
"Enchanted in the Moonlight: Kiryu, Chikage, & Yukinojo (Switch)",https://www.metacritic.com/game/switch/enchanted-in-the-moonlight-kiryu-chikage-yukinojo
"Enchanted in the Moonlight: Miyabi, Kyoga, & Samon (Switch)",https://www.metacritic.com/game/switch/enchanted-in-the-moonlight-miyabi-kyoga-samon
Enchanted Path (Switch),https://www.metacritic.com/game/switch/enchanted-path
Enchanting Mahjong Match (Switch),https://www.metacritic.com/game/switch/enchanting-mahjong-match
Encodya (Switch),https://www.metacritic.com/game/switch/encodya
Encounters: Music Stories (Switch),https://www.metacritic.com/game/switch/encounters-music-stories
ENDER LILIES: Quietus of the Knights (Switch),https://www.metacritic.com/game/switch/ender-lilies-quietus-of-the-knights
Endless Fables: Dark Moor (Switch),https://www.metacritic.com/game/switch/endless-fables-dark-moor
Endless Fables: Shadow Within (Switch),https://www.metacritic.com/game/switch/endless-fables-shadow-within
Endless Memories (Switch),https://www.metacritic.com/game/switch/endless-memories
Endling - Extinction is Forever (Switch),https://www.metacritic.com/game/switch/endling---extinction-is-forever
Endocrisis (Switch),https://www.metacritic.com/game/switch/endocrisis
Endurance - space action (Switch),https://www.metacritic.com/game/switch/endurance---space-action
Enduring Mountain (Switch),https://www.metacritic.com/game/switch/enduring-mountain
Energy Balance (Switch),https://www.metacritic.com/game/switch/energy-balance
Energy Cycle (Switch),https://www.metacritic.com/game/switch/energy-cycle
Energy Cycle Edge (Switch),https://www.metacritic.com/game/switch/energy-cycle-edge
Energy Invasion (Switch),https://www.metacritic.com/game/switch/energy-invasion
Enigmatis 2: The Mists of Ravenwood (Switch),https://www.metacritic.com/game/switch/enigmatis-2-the-mists-of-ravenwood
Enigmatis 3: The Shadow of Karkhala (Switch),https://www.metacritic.com/game/switch/enigmatis-3-the-shadow-of-karkhala
Enigmatis: The Ghosts of Maple Creek (Switch),https://www.metacritic.com/game/switch/enigmatis-the-ghosts-of-maple-creek
ENOH (Switch),https://www.metacritic.com/game/switch/enoh
Enter Digiton: Heart of Corruption (Switch),https://www.metacritic.com/game/switch/enter-digiton-heart-of-corruption
Enter the Gungeon (Switch),https://www.metacritic.com/game/switch/enter-the-gungeon
Ephemeral: Fantasy on Dark (Switch),https://www.metacritic.com/game/switch/ephemeral-fantasy-on-dark
Epic Astro Story (Switch),https://www.metacritic.com/game/switch/epic-astro-story
Epic Chef (Switch),https://www.metacritic.com/game/switch/epic-chef
Epic Clicker Journey (Switch),https://www.metacritic.com/game/switch/epic-clicker-journey
Epic Dumpster Bear 2: He Who Bears Wins (Switch),https://www.metacritic.com/game/switch/epic-dumpster-bear-2-he-who-bears-wins
Epic Loon (Switch),https://www.metacritic.com/game/switch/epic-loon
Epic Word Search Collection (Switch),https://www.metacritic.com/game/switch/epic-word-search-collection
Epic Word Search Collection 2 (Switch),https://www.metacritic.com/game/switch/epic-word-search-collection-2
Epistory - Typing Chronicles (Switch),https://www.metacritic.com/game/switch/epistory---typing-chronicles
Epitaph (Switch),https://www.metacritic.com/game/switch/epitaph
EQI (Switch),https://www.metacritic.com/game/switch/eqi
EQQO (Switch),https://www.metacritic.com/game/switch/eqqo
Equestrian Training (Switch),https://www.metacritic.com/game/switch/equestrian-training
Escape 2088 (Switch),https://www.metacritic.com/game/switch/escape-2088
Escape Doodland (Switch),https://www.metacritic.com/game/switch/escape-doodland
Escape First (Switch),https://www.metacritic.com/game/switch/escape-first
Escape First 2 (Switch),https://www.metacritic.com/game/switch/escape-first-2
Escape First 3 (Switch),https://www.metacritic.com/game/switch/escape-first-3
Escape From a Deserted Island ~ The Adventures of Nyanzou&Kumakichi: Escape Game Series ~ (Switch),https://www.metacritic.com/game/switch/escape-from-a-deserted-island-the-adventures-of-nyanzoukumakichi-escape-game-series-
Escape From Chernobyl (Switch),https://www.metacritic.com/game/switch/escape-from-chernobyl
