title,url
F-117A Stealth Fighter (Switch),https://www.metacritic.com/game/switch/f-117a-stealth-fighter
F.I.S.T.: Forged In Shadow Torch (Switch),https://www.metacritic.com/game/switch/fist-forged-in-shadow-torch
Factorio (Switch),https://www.metacritic.com/game/switch/factorio
Factotum 90 (Switch),https://www.metacritic.com/game/switch/factotum-90
Faeria (Switch),https://www.metacritic.com/game/switch/faeria
Faircroft's Antiques: Home for Christmas (Switch),https://www.metacritic.com/game/switch/faircrofts-antiques-home-for-christmas
Faircroft's Antiques: The Forbidden Crypt (Switch),https://www.metacritic.com/game/switch/faircrofts-antiques-the-forbidden-crypt
Faircroft's Antiques: The Heir of Glen Kinnoch (Switch),https://www.metacritic.com/game/switch/faircrofts-antiques-the-heir-of-glen-kinnoch
Faircroft's Antiques: The Mountaineer's Legacy (Switch),https://www.metacritic.com/game/switch/faircrofts-antiques-the-mountaineers-legacy
Faircroft's Antiques: Treasures of Treffenburg (Switch),https://www.metacritic.com/game/switch/faircrofts-antiques-treasures-of-treffenburg
Fairune Collection (Switch),https://www.metacritic.com/game/switch/fairune-collection
Fairy Elements (Switch),https://www.metacritic.com/game/switch/fairy-elements
Fairy Fencer F: Advent Dark Force (Switch),https://www.metacritic.com/game/switch/fairy-fencer-f-advent-dark-force
Fairy Knights (Switch),https://www.metacritic.com/game/switch/fairy-knights
Fairy Tail (Switch),https://www.metacritic.com/game/switch/fairy-tail
Fairy Tale Puzzles ~ Magic Objects ~ (Switch),https://www.metacritic.com/game/switch/fairy-tale-puzzles-magic-objects-
Faith & Shield :Tower Defense Space Wars Game 2022 (Switch),https://www.metacritic.com/game/switch/faith-shield-tower-defense-space-wars-game-2022
Falcon Age (Switch),https://www.metacritic.com/game/switch/falcon-age
Fall Gummies (Switch),https://www.metacritic.com/game/switch/fall-gummies
Fall Guys (Switch),https://www.metacritic.com/game/switch/fall-guys
Fall of Light: Darkest Edition (Switch),https://www.metacritic.com/game/switch/fall-of-light-darkest-edition
Fallen Angel (Switch),https://www.metacritic.com/game/switch/fallen-angel
Fallen Knight (Switch),https://www.metacritic.com/game/switch/fallen-knight
Fallen Legion: Revenants (Switch),https://www.metacritic.com/game/switch/fallen-legion-revenants
Fallen Legion: Rise to Glory (Switch),https://www.metacritic.com/game/switch/fallen-legion-rise-to-glory
FALLING OUT (Switch),https://www.metacritic.com/game/switch/falling-out
Fallout Shelter (Switch),https://www.metacritic.com/game/switch/fallout-shelter
Famicom Detective Club: The Girl Who Stands Behind (Switch),https://www.metacritic.com/game/switch/famicom-detective-club-the-girl-who-stands-behind
Famicom Detective Club: The Missing Heir (Switch),https://www.metacritic.com/game/switch/famicom-detective-club-the-missing-heir
Family Chess (Switch),https://www.metacritic.com/game/switch/family-chess
Family Chess: Pink Bubble Gum Chessboard (Switch),https://www.metacritic.com/game/switch/family-chess-pink-bubble-gum-chessboard
Family Feud (Switch),https://www.metacritic.com/game/switch/family-feud
Family Man (Switch),https://www.metacritic.com/game/switch/family-man
Family Mysteries 2: Echoes of Tomorrow (Switch),https://www.metacritic.com/game/switch/family-mysteries-2-echoes-of-tomorrow
Family Mysteries 3: Criminal Mindset (Switch),https://www.metacritic.com/game/switch/family-mysteries-3-criminal-mindset
Family Mysteries: Poisonous Promises (Switch),https://www.metacritic.com/game/switch/family-mysteries-poisonous-promises
Family Tennis SP (Switch),https://www.metacritic.com/game/switch/family-tennis-sp
Family Trainer (Switch),https://www.metacritic.com/game/switch/family-trainer
Family Tree (Switch),https://www.metacritic.com/game/switch/family-tree
Family Vacation 2: Road Trip (Switch),https://www.metacritic.com/game/switch/family-vacation-2-road-trip
Family Vacation: California (Switch),https://www.metacritic.com/game/switch/family-vacation-california
Fancy Solitaire (Switch),https://www.metacritic.com/game/switch/fancy-solitaire
Fantastic Scenery (Switch),https://www.metacritic.com/game/switch/fantastic-scenery
Fantasy Blacksmith (Switch),https://www.metacritic.com/game/switch/fantasy-blacksmith
Fantasy Cards (Switch),https://www.metacritic.com/game/switch/fantasy-cards
Fantasy Checkers (Switch),https://www.metacritic.com/game/switch/fantasy-checkers
Fantasy Friends (Switch),https://www.metacritic.com/game/switch/fantasy-friends
Fantasy Friends: Under the Sea (Switch),https://www.metacritic.com/game/switch/fantasy-friends-under-the-sea
Fantasy General II: Invasion (Switch),https://www.metacritic.com/game/switch/fantasy-general-ii-invasion
Fantasy Hero: Unsigned Legacy (Switch),https://www.metacritic.com/game/switch/fantasy-hero-unsigned-legacy
Fantasy Strike (Switch),https://www.metacritic.com/game/switch/fantasy-strike
Fantasy Tavern Sextet Vol. 1: New World Days (Switch),https://www.metacritic.com/game/switch/fantasy-tavern-sextet-vol-1-new-world-days
Fantasy Tavern Sextet ~ Vol. 2 Adventurer's Days ~ (Switch),https://www.metacritic.com/game/switch/fantasy-tavern-sextet-vol-2-adventurers-days-
Fantasy Tavern Sextet ~ Vol. 3 Postlude Days ~ (Switch),https://www.metacritic.com/game/switch/fantasy-tavern-sextet-vol-3-postlude-days-
Fantasy Tower Defense (Switch),https://www.metacritic.com/game/switch/fantasy-tower-defense
FAR: Changing Tides (Switch),https://www.metacritic.com/game/switch/far-changing-tides
FAR: Lone Sails (Switch),https://www.metacritic.com/game/switch/far-lone-sails
Farabel (Switch),https://www.metacritic.com/game/switch/farabel
Faraday Protocol (Switch),https://www.metacritic.com/game/switch/faraday-protocol
Farm Builder (Switch),https://www.metacritic.com/game/switch/farm-builder
Farm Expert 2018 for Nintendo Switch (Switch),https://www.metacritic.com/game/switch/farm-expert-2018-for-nintendo-switch
Farm Expert 2019 for Nintendo Switch (Switch),https://www.metacritic.com/game/switch/farm-expert-2019-for-nintendo-switch
Farm for your Life (Switch),https://www.metacritic.com/game/switch/farm-for-your-life
Farm Manager 2022 (Switch),https://www.metacritic.com/game/switch/farm-manager-2022
Farm Mechanic Simulator (Switch),https://www.metacritic.com/game/switch/farm-mechanic-simulator
Farm Mystery: The Happy Orchard Nightmare (Switch),https://www.metacritic.com/game/switch/farm-mystery-the-happy-orchard-nightmare
Farm Simulator USA Car Games - Driving games & Car 2022 Farming (Switch),https://www.metacritic.com/game/switch/farm-simulator-usa-car-games---driving-games-car-2022-farming
Farm Together (Switch),https://www.metacritic.com/game/switch/farm-together
Farm Tycoon (Switch),https://www.metacritic.com/game/switch/farm-tycoon
Farmer Sim 2020 (Switch),https://www.metacritic.com/game/switch/farmer-sim-2020
Farmer's Dynasty (Switch),https://www.metacritic.com/game/switch/farmers-dynasty
Farmers Co-op: Out of This World (Switch),https://www.metacritic.com/game/switch/farmers-co-op-out-of-this-world
Farming Life (Switch),https://www.metacritic.com/game/switch/farming-life
"Farming Real Simulation Tractor, Combine Trucks Farmer Land Game (Switch)",https://www.metacritic.com/game/switch/farming-real-simulation-tractor-combine-trucks-farmer-land-game
Farming Simulator 20 (Switch),https://www.metacritic.com/game/switch/farming-simulator-20
Farming Simulator: Nintendo Switch Edition (Switch),https://www.metacritic.com/game/switch/farming-simulator-nintendo-switch-edition
Farmquest (Switch),https://www.metacritic.com/game/switch/farmquest
Fashion Friends (Switch),https://www.metacritic.com/game/switch/fashion-friends
Fashion Girls (Switch),https://www.metacritic.com/game/switch/fashion-girls
Fashion Police Squad (Switch),https://www.metacritic.com/game/switch/fashion-police-squad
Fashion Princess (Switch),https://www.metacritic.com/game/switch/fashion-princess
Fast & Furious: Spy Racers Rise of SH1FT3R (Switch),https://www.metacritic.com/game/switch/fast-furious-spy-racers-rise-of-sh1ft3r
Fast & Furious: Spy Racers Rise of SH1FT3R - Arctic Challenge (Switch),https://www.metacritic.com/game/switch/fast-furious-spy-racers-rise-of-sh1ft3r---arctic-challenge
Fast RMX (Switch),https://www.metacritic.com/game/switch/fast-rmx
Fat City (Switch),https://www.metacritic.com/game/switch/fat-city
Fatal Frame: Maiden of Black Water (Switch),https://www.metacritic.com/game/switch/fatal-frame-maiden-of-black-water
Fatal Frame: Mask of the Lunar Eclipse (Switch),https://www.metacritic.com/game/switch/fatal-frame-mask-of-the-lunar-eclipse
