title,url
I am Ball (Switch),https://www.metacritic.com/game/switch/i-am-ball
I Am Dead (Switch),https://www.metacritic.com/game/switch/i-am-dead
I Am Setsuna (Switch),https://www.metacritic.com/game/switch/i-am-setsuna
I Am The Hero (Switch),https://www.metacritic.com/game/switch/i-am-the-hero
I and Me (Switch),https://www.metacritic.com/game/switch/i-and-me
I dream of you and ice cream (Switch),https://www.metacritic.com/game/switch/i-dream-of-you-and-ice-cream
I Hate Running Backwards (Switch),https://www.metacritic.com/game/switch/i-hate-running-backwards
I Love Finding Cats! - Collector's Edition (Switch),https://www.metacritic.com/game/switch/i-love-finding-cats!---collectors-edition
I Love Finding Critters! - Collector's Edition (Switch),https://www.metacritic.com/game/switch/i-love-finding-critters!---collectors-edition
I Love Finding More Cats! (Switch),https://www.metacritic.com/game/switch/i-love-finding-more-cats!
I Love Finding MORE Cats! - Collector's Edition (Switch),https://www.metacritic.com/game/switch/i-love-finding-more-cats!---collectors-edition
I Love Finding MORE Pups - Collector's Edition (Switch),https://www.metacritic.com/game/switch/i-love-finding-more-pups---collectors-edition
I Love Finding Pups! - Collector's Edition (Switch),https://www.metacritic.com/game/switch/i-love-finding-pups!---collectors-edition
I Saw Black Clouds (Switch),https://www.metacritic.com/game/switch/i-saw-black-clouds
I wanna fly (Switch),https://www.metacritic.com/game/switch/i-wanna-fly
I Was a Teenage Exocolonist (Switch),https://www.metacritic.com/game/switch/i-was-a-teenage-exocolonist
I'll be your ideal lover! - My Dream Lover - (Switch),https://www.metacritic.com/game/switch/ill-be-your-ideal-lover!---my-dream-lover--
"I, AI (Switch)",https://www.metacritic.com/game/switch/i-ai
"I, Zombie (Switch)",https://www.metacritic.com/game/switch/i-zombie
I.F.O (Switch),https://www.metacritic.com/game/switch/ifo
Ib (Switch),https://www.metacritic.com/game/switch/ib
Ibb & Obb (Switch),https://www.metacritic.com/game/switch/ibb-obb
Ice Age: Scrat's Nutty Adventure (Switch),https://www.metacritic.com/game/switch/ice-age-scrats-nutty-adventure
Ice Cream Surfer (Switch),https://www.metacritic.com/game/switch/ice-cream-surfer
Ice Station Z (Switch),https://www.metacritic.com/game/switch/ice-station-z
ICEY (Switch),https://www.metacritic.com/game/switch/icey
Iconoclasts (Switch),https://www.metacritic.com/game/switch/iconoclasts
Idle Champions of the Forgotten Realms (Switch),https://www.metacritic.com/game/switch/idle-champions-of-the-forgotten-realms
Idle Inventor - Factory Tycoon (Switch),https://www.metacritic.com/game/switch/idle-inventor---factory-tycoon
Idol Manager (Switch),https://www.metacritic.com/game/switch/idol-manager
IdolDays (Switch),https://www.metacritic.com/game/switch/idoldays
If Found... (Switch),https://www.metacritic.com/game/switch/if-found
If My Heart Had Wings (Switch),https://www.metacritic.com/game/switch/if-my-heart-had-wings
IHUGU (Switch),https://www.metacritic.com/game/switch/ihugu
Ikai (Switch),https://www.metacritic.com/game/switch/ikai
Ikaruga (Switch),https://www.metacritic.com/game/switch/ikaruga
