title,url
Jack 'n' Hat (Switch),https://www.metacritic.com/game/switch/jack-n-hat
Jack Axe (Switch),https://www.metacritic.com/game/switch/jack-axe
Jack Move (Switch),https://www.metacritic.com/game/switch/jack-move
Jack N' Jill DX (Switch),https://www.metacritic.com/game/switch/jack-n-jill-dx
JackQuest: The Tale of the Sword (Switch),https://www.metacritic.com/game/switch/jackquest-the-tale-of-the-sword
Jacks or Better - Video Poker (Switch),https://www.metacritic.com/game/switch/jacks-or-better---video-poker
Jade Order (Switch),https://www.metacritic.com/game/switch/jade-order
James Pond: Codename Robocod (Switch),https://www.metacritic.com/game/switch/james-pond-codename-robocod
Jamestown+ (Switch),https://www.metacritic.com/game/switch/jamestown+
JankBrain (Switch),https://www.metacritic.com/game/switch/jankbrain
Japanese Escape from The Room with Sturdy Door (Switch),https://www.metacritic.com/game/switch/japanese-escape-from-the-room-with-sturdy-door
Japanese Escape Games The Abandoned Schoolhouse (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-abandoned-schoolhouse
Japanese Escape Games The Forbidden Garden (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-forbidden-garden
Japanese Escape Games The Fortress Prison (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-fortress-prison
Japanese Escape Games The Hospital (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-hospital
Japanese Escape Games The Hotel of Tricks (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-hotel-of-tricks
Japanese Escape Games The Light and Mirror Room (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-light-and-mirror-room
Japanese Escape Games The Mansion of Tricks (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-mansion-of-tricks
Japanese Escape Games The Retro House (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-retro-house
Japanese Escape Games The Room Without Doors (Switch),https://www.metacritic.com/game/switch/japanese-escape-games-the-room-without-doors
Japanese Mah-jongg (Switch),https://www.metacritic.com/game/switch/japanese-mah-jongg
Japanese NEKOSAMA Escape -The Mountain Cottage- (Switch),https://www.metacritic.com/game/switch/japanese-nekosama-escape--the-mountain-cottage-
Japanese NEKOSAMA Escape The Local Train (Switch),https://www.metacritic.com/game/switch/japanese-nekosama-escape-the-local-train
Japanese NEKOSAMA Escape The Sento (Switch),https://www.metacritic.com/game/switch/japanese-nekosama-escape-the-sento
Japanese Rail Sim: Journey to Kyoto (Switch),https://www.metacritic.com/game/switch/japanese-rail-sim-journey-to-kyoto
JARS (Switch),https://www.metacritic.com/game/switch/jars
Jay and Silent Bob: Mall Brawl (Switch),https://www.metacritic.com/game/switch/jay-and-silent-bob-mall-brawl
JCB Pioneer: Mars (Switch),https://www.metacritic.com/game/switch/jcb-pioneer-mars
