title,url
Kadobat Wars! (Switch),https://www.metacritic.com/game/switch/kadobat-wars!
Kaichu - The Kaiju Dating Sim (Switch),https://www.metacritic.com/game/switch/kaichu---the-kaiju-dating-sim
KAIJU KHAOS (Switch),https://www.metacritic.com/game/switch/kaiju-khaos
Kaiju Wars (Switch),https://www.metacritic.com/game/switch/kaiju-wars
Kairobotica (Switch),https://www.metacritic.com/game/switch/kairobotica
Kakurasu World (Switch),https://www.metacritic.com/game/switch/kakurasu-world
Kakuro Magic (Switch),https://www.metacritic.com/game/switch/kakuro-magic
Kamikaze Veggies (Switch),https://www.metacritic.com/game/switch/kamikaze-veggies
Kamiko (Switch),https://www.metacritic.com/game/switch/kamiko
Kamiwaza: Way of the Thief (Switch),https://www.metacritic.com/game/switch/kamiwaza-way-of-the-thief
Kanjozoku Game - Car Racing & Highway Driving Simulator Games (Switch),https://www.metacritic.com/game/switch/kanjozoku-game---car-racing-highway-driving-simulator-games
Kanjozoku Game Racer - Car Racing & Highway Driving Simulator Games (Switch),https://www.metacritic.com/game/switch/kanjozoku-game-racer---car-racing-highway-driving-simulator-games
Kansei: The Second Turn HD (Switch),https://www.metacritic.com/game/switch/kansei-the-second-turn-hd
Kao the Kangaroo (Switch),https://www.metacritic.com/game/switch/kao-the-kangaroo
"Kao the Kangaroo: Oh, Well! (Switch)",https://www.metacritic.com/game/switch/kao-the-kangaroo-oh-well!
Kao the Kangaroo: Top of the Class (Switch),https://www.metacritic.com/game/switch/kao-the-kangaroo-top-of-the-class
Kao the Kangaroo: VIP DLC (Switch),https://www.metacritic.com/game/switch/kao-the-kangaroo-vip-dlc
Kaptain Brawe: A Brawe New World (Switch),https://www.metacritic.com/game/switch/kaptain-brawe-a-brawe-new-world
Kardboard Kings: Card Shop Simulator (Switch),https://www.metacritic.com/game/switch/kardboard-kings-card-shop-simulator
Karma Knight (Switch),https://www.metacritic.com/game/switch/karma-knight
Karma. Incarnation 1 (Switch),https://www.metacritic.com/game/switch/karma-incarnation-1
Kart Crazy Race Simulator Game (Switch),https://www.metacritic.com/game/switch/kart-crazy-race-simulator-game
Kartoon Racing: Singleplayer Multiplayer Racing (Switch),https://www.metacritic.com/game/switch/kartoon-racing-singleplayer-multiplayer-racing
KASIORI (Switch),https://www.metacritic.com/game/switch/kasiori
Katamari Damacy REROLL (Switch),https://www.metacritic.com/game/switch/katamari-damacy-reroll
Katana Kami: A Way of the Samurai Story (Switch),https://www.metacritic.com/game/switch/katana-kami-a-way-of-the-samurai-story
Katana Kata (Switch),https://www.metacritic.com/game/switch/katana-kata
Katana ZERO (Switch),https://www.metacritic.com/game/switch/katana-zero
Kathy Rain: Director's Cut (Switch),https://www.metacritic.com/game/switch/kathy-rain-directors-cut
Kattish (Switch),https://www.metacritic.com/game/switch/kattish
KAUIL'S TREASURE (Switch),https://www.metacritic.com/game/switch/kauils-treasure
Kawaii Deathu Desu (Switch),https://www.metacritic.com/game/switch/kawaii-deathu-desu
Kawaii Slime Arena (Switch),https://www.metacritic.com/game/switch/kawaii-slime-arena
Kawaii Solitaire 3 in 1 (Switch),https://www.metacritic.com/game/switch/kawaii-solitaire-3-in-1
Kayko & Kokosh Coloring Book (Switch),https://www.metacritic.com/game/switch/kayko-kokosh-coloring-book
Kayko & Kokosh Coloring Book - Animals (Switch),https://www.metacritic.com/game/switch/kayko-kokosh-coloring-book---animals
Kaze and the Wild Masks (Switch),https://www.metacritic.com/game/switch/kaze-and-the-wild-masks
Keen: One Girl Army (Switch),https://www.metacritic.com/game/switch/keen-one-girl-army
Keep Talking and Nobody Explodes (Switch),https://www.metacritic.com/game/switch/keep-talking-and-nobody-explodes
Kells (Switch),https://www.metacritic.com/game/switch/kells
Kemono Friends Picross (Switch),https://www.metacritic.com/game/switch/kemono-friends-picross
Kemono Heroes (Switch),https://www.metacritic.com/game/switch/kemono-heroes
Kensho (Switch),https://www.metacritic.com/game/switch/kensho
Kentucky Robo Chicken (Switch),https://www.metacritic.com/game/switch/kentucky-robo-chicken
Kentucky Route Zero: TV Edition (Switch),https://www.metacritic.com/game/switch/kentucky-route-zero-tv-edition
Kero Blaster (Switch),https://www.metacritic.com/game/switch/kero-blaster
KeyWe (Switch),https://www.metacritic.com/game/switch/keywe
