title,url
L.A. Noire (Switch),https://www.metacritic.com/game/switch/la-noire
L.F.O. - Lost Future Omega - (Switch),https://www.metacritic.com/game/switch/lfo---lost-future-omega--
L.O.L. Surprise! B.B.s Born to Travel (Switch),https://www.metacritic.com/game/switch/lol-surprise!-bbs-born-to-travel
L.O.L. Surprise! B.Bs Born to Travel: On Vacay (Switch),https://www.metacritic.com/game/switch/lol-surprise!-bbs-born-to-travel-on-vacay
L.O.L. Surprise! Movie Night (Switch),https://www.metacritic.com/game/switch/lol-surprise!-movie-night
L.O.L. Surprise! Remix: We Rule the World (Switch),https://www.metacritic.com/game/switch/lol-surprise!-remix-we-rule-the-world
La-Mulana (Switch),https://www.metacritic.com/game/switch/la-mulana
La-Mulana 1 & 2: Hidden Treasures Edition (Switch),https://www.metacritic.com/game/switch/la-mulana-1-2-hidden-treasures-edition
La-Mulana 2 (Switch),https://www.metacritic.com/game/switch/la-mulana-2
Laboratory Rat Escape Simulator Pro (Switch),https://www.metacritic.com/game/switch/laboratory-rat-escape-simulator-pro
Labyrinth City: Pierre the Maze Detective (Switch),https://www.metacritic.com/game/switch/labyrinth-city-pierre-the-maze-detective
Labyrinth Legend (Switch),https://www.metacritic.com/game/switch/labyrinth-legend
Labyrinth of Galleria: The Moon Society (Switch),https://www.metacritic.com/game/switch/labyrinth-of-galleria-the-moon-society
Labyrinth of Galleria: The Moon Society - Great Boots Quest (Switch),https://www.metacritic.com/game/switch/labyrinth-of-galleria-the-moon-society---great-boots-quest
Labyrinth of Galleria: The Moon Society - Great Hat Quest (Switch),https://www.metacritic.com/game/switch/labyrinth-of-galleria-the-moon-society---great-hat-quest
Labyrinth of Galleria: The Moon Society - Special Soul Pact Quest (Switch),https://www.metacritic.com/game/switch/labyrinth-of-galleria-the-moon-society---special-soul-pact-quest
Labyrinth of Refrain: Coven of Dusk (Switch),https://www.metacritic.com/game/switch/labyrinth-of-refrain-coven-of-dusk
Labyrinth of the Chaka King (Switch),https://www.metacritic.com/game/switch/labyrinth-of-the-chaka-king
Labyrinth of the Witch (Switch),https://www.metacritic.com/game/switch/labyrinth-of-the-witch
Labyrinth: Classic Pinball Puzzle (Switch),https://www.metacritic.com/game/switch/labyrinth-classic-pinball-puzzle
Lacuna (Switch),https://www.metacritic.com/game/switch/lacuna
Ladders by POWGI (Switch),https://www.metacritic.com/game/switch/ladders-by-powgi
Laid-Back Camp -Virtual- Fumoto Campsite (Switch),https://www.metacritic.com/game/switch/laid-back-camp--virtual--fumoto-campsite
Laid-Back Camp -Virtual- Lake Motosu (Switch),https://www.metacritic.com/game/switch/laid-back-camp--virtual--lake-motosu
Lair Land Story (Switch),https://www.metacritic.com/game/switch/lair-land-story
Lair of the Clockwork God (Switch),https://www.metacritic.com/game/switch/lair-of-the-clockwork-god
Lambs on the Road: The Beginning (Switch),https://www.metacritic.com/game/switch/lambs-on-the-road-the-beginning
Lamentum (Switch),https://www.metacritic.com/game/switch/lamentum
Lamplight City (Switch),https://www.metacritic.com/game/switch/lamplight-city
Land of Screens (Switch),https://www.metacritic.com/game/switch/land-of-screens
Landflix Odyssey (Switch),https://www.metacritic.com/game/switch/landflix-odyssey
Landscapes with Flags of the World - Europe vol.1 (Switch),https://www.metacritic.com/game/switch/landscapes-with-flags-of-the-world---europe-vol1
Langrisser I & II (Switch),https://www.metacritic.com/game/switch/langrisser-i-ii
Lanota (Switch),https://www.metacritic.com/game/switch/lanota
Lanternium (Switch),https://www.metacritic.com/game/switch/lanternium
Lapis x Labyrinth (Switch),https://www.metacritic.com/game/switch/lapis-x-labyrinth
Laraan (Switch),https://www.metacritic.com/game/switch/laraan
Laser Kitty Pow Pow (Switch),https://www.metacritic.com/game/switch/laser-kitty-pow-pow
Last 4 Alive: Escape From Zombies (Switch),https://www.metacritic.com/game/switch/last-4-alive-escape-from-zombies
Last Beat Enhanced (Switch),https://www.metacritic.com/game/switch/last-beat-enhanced
