title,url
M.A.C.E. Space Shooter (Switch),https://www.metacritic.com/game/switch/mace-space-shooter
M.A.C.E. Tower Defense (Switch),https://www.metacritic.com/game/switch/mace-tower-defense
Mable & The Wood (Switch),https://www.metacritic.com/game/switch/mable-the-wood
Macbat 64: Journey of a Nice Chap (Switch),https://www.metacritic.com/game/switch/macbat-64-journey-of-a-nice-chap
MacGuffin's Curse (Switch),https://www.metacritic.com/game/switch/macguffins-curse
Machi Knights: Blood Bagos (Switch),https://www.metacritic.com/game/switch/machi-knights-blood-bagos
Machinarium (Switch),https://www.metacritic.com/game/switch/machinarium
Machinika Museum (Switch),https://www.metacritic.com/game/switch/machinika-museum
Macrotis: A Mother's Journey (Switch),https://www.metacritic.com/game/switch/macrotis-a-mothers-journey
Mad Age & This Guy (Switch),https://www.metacritic.com/game/switch/mad-age-this-guy
Mad Bullets (Switch),https://www.metacritic.com/game/switch/mad-bullets
Mad Carnage (Switch),https://www.metacritic.com/game/switch/mad-carnage
Mad Experiments: Escape Room (Switch),https://www.metacritic.com/game/switch/mad-experiments-escape-room
Mad Father Remake (Switch),https://www.metacritic.com/game/switch/mad-father-remake
Mad Games Tycoon (Switch),https://www.metacritic.com/game/switch/mad-games-tycoon
Mad Rat Dead (Switch),https://www.metacritic.com/game/switch/mad-rat-dead
Mad Tower Tycoon (Switch),https://www.metacritic.com/game/switch/mad-tower-tycoon
Maddening Euphoria (Switch),https://www.metacritic.com/game/switch/maddening-euphoria
Made in Abyss: Binary Star Falling into Darkness (Switch),https://www.metacritic.com/game/switch/made-in-abyss-binary-star-falling-into-darkness
MADiSON (Switch),https://www.metacritic.com/game/switch/madison
Madness Beverage (Switch),https://www.metacritic.com/game/switch/madness-beverage
Madorica Real Estate (Switch),https://www.metacritic.com/game/switch/madorica-real-estate
Madorica Real Estate 2 -The mystery of the new property- (Switch),https://www.metacritic.com/game/switch/madorica-real-estate-2--the-mystery-of-the-new-property-
Madoris R (Switch),https://www.metacritic.com/game/switch/madoris-r
Mafia Slots (Switch),https://www.metacritic.com/game/switch/mafia-slots
Magazine Mogul (Switch),https://www.metacritic.com/game/switch/magazine-mogul
MageQuit (Switch),https://www.metacritic.com/game/switch/magequit
Mages and Treasures (Switch),https://www.metacritic.com/game/switch/mages-and-treasures
Mages of Mystralia (Switch),https://www.metacritic.com/game/switch/mages-of-mystralia
