title,url
O---O (Switch),https://www.metacritic.com/game/switch/o---o
Obakeidoro! (Switch),https://www.metacritic.com/game/switch/obakeidoro!
Obakeidoro! Castlevania Collaboration Character DLC Bundle (Switch),https://www.metacritic.com/game/switch/obakeidoro!-castlevania-collaboration-character-dlc-bundle
Observer (Switch),https://www.metacritic.com/game/switch/observer
Occultism Interrogation: The ritual of little nightmares (Switch),https://www.metacritic.com/game/switch/occultism-interrogation-the-ritual-of-little-nightmares
Ocean Animals Puzzle - Preschool Animal Learning Puzzles Game for Kids & Toddlers (Switch),https://www.metacritic.com/game/switch/ocean-animals-puzzle---preschool-animal-learning-puzzles-game-for-kids-toddlers
Ocean's Heart (Switch),https://www.metacritic.com/game/switch/oceans-heart
Oceanhorn 2: Knights of the Lost Realm (Switch),https://www.metacritic.com/game/switch/oceanhorn-2-knights-of-the-lost-realm
Oceanhorn: Monster of Uncharted Seas (Switch),https://www.metacritic.com/game/switch/oceanhorn-monster-of-uncharted-seas
OctaFight (Switch),https://www.metacritic.com/game/switch/octafight
Octahedron: Transfixed Edition (Switch),https://www.metacritic.com/game/switch/octahedron-transfixed-edition
Octocopter: Double or Squids (Switch),https://www.metacritic.com/game/switch/octocopter-double-or-squids
Octodad: Dadliest Catch (Switch),https://www.metacritic.com/game/switch/octodad-dadliest-catch
Octogeddon (Switch),https://www.metacritic.com/game/switch/octogeddon
Octopath Traveler (Switch),https://www.metacritic.com/game/switch/octopath-traveler
Octopath Traveler II (Switch),https://www.metacritic.com/game/switch/octopath-traveler-ii
Odallus: The Dark Call (Switch),https://www.metacritic.com/game/switch/odallus-the-dark-call
OddBallers (Switch),https://www.metacritic.com/game/switch/oddballers
Oddmar (Switch),https://www.metacritic.com/game/switch/oddmar
Oddworld Collection (Switch),https://www.metacritic.com/game/switch/oddworld-collection
Oddworld: Abe's Oddysee - New 'n' Tasty (Switch),https://www.metacritic.com/game/switch/oddworld-abes-oddysee---new-n-tasty
Oddworld: Munch's Oddysee HD (Switch),https://www.metacritic.com/game/switch/oddworld-munchs-oddysee-hd
Oddworld: Soulstorm - Oddtimized Edition (Switch),https://www.metacritic.com/game/switch/oddworld-soulstorm---oddtimized-edition
Oddworld: Stranger's Wrath HD (Switch),https://www.metacritic.com/game/switch/oddworld-strangers-wrath-hd
