title,url
Pac-Man 99 (Switch),https://www.metacritic.com/game/switch/pac-man-99
Pac-Man Championship Edition 2 Plus (Switch),https://www.metacritic.com/game/switch/pac-man-championship-edition-2-plus
Pac-Man Museum+ (Switch),https://www.metacritic.com/game/switch/pac-man-museum+
Pac-Man World: Re-PAC (Switch),https://www.metacritic.com/game/switch/pac-man-world-re-pac
Pachi Pachi 2 on a roll (Switch),https://www.metacritic.com/game/switch/pachi-pachi-2-on-a-roll
Pachi Pachi On A Roll (Switch),https://www.metacritic.com/game/switch/pachi-pachi-on-a-roll
Pacific Wings (Switch),https://www.metacritic.com/game/switch/pacific-wings
Pack Master (Switch),https://www.metacritic.com/game/switch/pack-master
Package Inc (Switch),https://www.metacritic.com/game/switch/package-inc
Packet Queen # (Switch),https://www.metacritic.com/game/switch/packet-queen-
Paddles (Switch),https://www.metacritic.com/game/switch/paddles
Paint (Switch),https://www.metacritic.com/game/switch/paint
Paint the Town Red (Switch),https://www.metacritic.com/game/switch/paint-the-town-red
Paint your Pet (Switch),https://www.metacritic.com/game/switch/paint-your-pet
Pajama Sam 2: Thunder and Lightning Aren't So Frightening (Switch),https://www.metacritic.com/game/switch/pajama-sam-2-thunder-and-lightning-arent-so-frightening
Pajama Sam: No Need to Hide When It's Dark Outside (Switch),https://www.metacritic.com/game/switch/pajama-sam-no-need-to-hide-when-its-dark-outside
PAKO Caravan (Switch),https://www.metacritic.com/game/switch/pako-caravan
Paladin (Switch),https://www.metacritic.com/game/switch/paladin
Paladins: Champions of the Realm (Switch),https://www.metacritic.com/game/switch/paladins-champions-of-the-realm
Palindrome Syndrome: Escape Room (Switch),https://www.metacritic.com/game/switch/palindrome-syndrome-escape-room
Palm Reading Premium (Switch),https://www.metacritic.com/game/switch/palm-reading-premium
Pan-Pan A tiny big adventure (Switch),https://www.metacritic.com/game/switch/pan-pan-a-tiny-big-adventure
Pancake Bar Tycoon (Switch),https://www.metacritic.com/game/switch/pancake-bar-tycoon
Pancake Bar Tycoon Extended Edition (Switch),https://www.metacritic.com/game/switch/pancake-bar-tycoon-extended-edition
Panda Hero (Switch),https://www.metacritic.com/game/switch/panda-hero
Panda Jump (Switch),https://www.metacritic.com/game/switch/panda-jump
Panda Punch (Switch),https://www.metacritic.com/game/switch/panda-punch
PandaBall (Switch),https://www.metacritic.com/game/switch/pandaball
Pandaty (Switch),https://www.metacritic.com/game/switch/pandaty
Pandemic (Switch),https://www.metacritic.com/game/switch/pandemic
Pandemic Shooter (Switch),https://www.metacritic.com/game/switch/pandemic-shooter
Pang Adventures (Switch),https://www.metacritic.com/game/switch/pang-adventures
Pangeon (Switch),https://www.metacritic.com/game/switch/pangeon
Pankapu (Switch),https://www.metacritic.com/game/switch/pankapu
Panmorphia (Switch),https://www.metacritic.com/game/switch/panmorphia
Panmorphia: Enchanted (Switch),https://www.metacritic.com/game/switch/panmorphia-enchanted
Panorama Cotton (Switch),https://www.metacritic.com/game/switch/panorama-cotton
Pantsu Hunter: Back to the 90s (Switch),https://www.metacritic.com/game/switch/pantsu-hunter-back-to-the-90s
Panty Party (Switch),https://www.metacritic.com/game/switch/panty-party
Panzer Dragoon (Switch),https://www.metacritic.com/game/switch/panzer-dragoon
Panzer Paladin (Switch),https://www.metacritic.com/game/switch/panzer-paladin
Papa's Quiz (Switch),https://www.metacritic.com/game/switch/papas-quiz
Paper Bad (Switch),https://www.metacritic.com/game/switch/paper-bad
Paper Cut Mansion (Switch),https://www.metacritic.com/game/switch/paper-cut-mansion
Paper Dolls Original (Switch),https://www.metacritic.com/game/switch/paper-dolls-original
Paper Mario: The Origami King (Switch),https://www.metacritic.com/game/switch/paper-mario-the-origami-king
Paper Train (Switch),https://www.metacritic.com/game/switch/paper-train
Paper Wars: Cannon Fodder (Switch),https://www.metacritic.com/game/switch/paper-wars-cannon-fodder
Paper Wars: Cannon Fodder Devastated (Switch),https://www.metacritic.com/game/switch/paper-wars-cannon-fodder-devastated
Paperball Deluxe (Switch),https://www.metacritic.com/game/switch/paperball-deluxe
Paperbound Brawlers (Switch),https://www.metacritic.com/game/switch/paperbound-brawlers
Papertris (Switch),https://www.metacritic.com/game/switch/papertris
Papetura (Switch),https://www.metacritic.com/game/switch/papetura
Paradigm Paradox (Switch),https://www.metacritic.com/game/switch/paradigm-paradox
Paradise Island Driver (Switch),https://www.metacritic.com/game/switch/paradise-island-driver
Paradise Killer (Switch),https://www.metacritic.com/game/switch/paradise-killer
Paradise Lost (Switch),https://www.metacritic.com/game/switch/paradise-lost
Paradise Marsh (Switch),https://www.metacritic.com/game/switch/paradise-marsh
Paradox Error (Switch),https://www.metacritic.com/game/switch/paradox-error
Paradox Soul (Switch),https://www.metacritic.com/game/switch/paradox-soul
ParaLily (Switch),https://www.metacritic.com/game/switch/paralily
Parallel (Switch),https://www.metacritic.com/game/switch/parallel
Paranautical Activity (Switch),https://www.metacritic.com/game/switch/paranautical-activity
Parasite Pack (Switch),https://www.metacritic.com/game/switch/parasite-pack
Parasomnia Verum (Switch),https://www.metacritic.com/game/switch/parasomnia-verum
Paratopic (Switch),https://www.metacritic.com/game/switch/paratopic
Parents Vs Kids (Switch),https://www.metacritic.com/game/switch/parents-vs-kids
Parents Vs Kids (Switch),https://www.metacritic.com/game/switch/parents-vs-kids
Park Inc (Switch),https://www.metacritic.com/game/switch/park-inc
Parkasaurus (Switch),https://www.metacritic.com/game/switch/parkasaurus
Parking Madness (Switch),https://www.metacritic.com/game/switch/parking-madness
Parking Simulator (Switch),https://www.metacritic.com/game/switch/parking-simulator
Part Time UFO (Switch),https://www.metacritic.com/game/switch/part-time-ufo
Party Arcade (Switch),https://www.metacritic.com/game/switch/party-arcade
Party Crashers (Switch),https://www.metacritic.com/game/switch/party-crashers
Party Games: 15 in 1 (Switch),https://www.metacritic.com/game/switch/party-games-15-in-1
Party Golf (Switch),https://www.metacritic.com/game/switch/party-golf
Party Hard (Switch),https://www.metacritic.com/game/switch/party-hard
Party Hard 2 (Switch),https://www.metacritic.com/game/switch/party-hard-2
Party Party Time (Switch),https://www.metacritic.com/game/switch/party-party-time
Party Party Time: Party Harder Pack (Switch),https://www.metacritic.com/game/switch/party-party-time-party-harder-pack
Party Planet (Switch),https://www.metacritic.com/game/switch/party-planet
Party Treats (Switch),https://www.metacritic.com/game/switch/party-treats
Party Trivia (Switch),https://www.metacritic.com/game/switch/party-trivia
Pascal's Wager: Definitive Edition (Switch),https://www.metacritic.com/game/switch/pascals-wager-definitive-edition
Passpartout: The Starving Artist (Switch),https://www.metacritic.com/game/switch/passpartout-the-starving-artist
Path of Giants (Switch),https://www.metacritic.com/game/switch/path-of-giants
Path of Ra (Switch),https://www.metacritic.com/game/switch/path-of-ra
Path of Sin: Greed (Switch),https://www.metacritic.com/game/switch/path-of-sin-greed
Path to Mnemosyne (Switch),https://www.metacritic.com/game/switch/path-to-mnemosyne
Path: Through the Forest (Switch),https://www.metacritic.com/game/switch/path-through-the-forest
Pathfinder: Wrath of the Righteous - Cloud Version (Switch),https://www.metacritic.com/game/switch/pathfinder-wrath-of-the-righteous---cloud-version
Pathfinder: Wrath of the Righteous - Inevitable Excess (Switch),https://www.metacritic.com/game/switch/pathfinder-wrath-of-the-righteous---inevitable-excess
Pathfinder: Wrath of the Righteous - The Treasure of the Midnight Isle (Switch),https://www.metacritic.com/game/switch/pathfinder-wrath-of-the-righteous---the-treasure-of-the-midnight-isle
Pathfinder: Wrath of the Righteous - Through the Ashes (Switch),https://www.metacritic.com/game/switch/pathfinder-wrath-of-the-righteous---through-the-ashes
Pathway (Switch),https://www.metacritic.com/game/switch/pathway
Pato Box (Switch),https://www.metacritic.com/game/switch/pato-box
PAW Patrol Mighty Pups Save Adventure Bay (Switch),https://www.metacritic.com/game/switch/paw-patrol-mighty-pups-save-adventure-bay
PAW Patrol The Movie: Adventure City Calls (Switch),https://www.metacritic.com/game/switch/paw-patrol-the-movie-adventure-city-calls
PAW Patrol: Grand Prix (Switch),https://www.metacritic.com/game/switch/paw-patrol-grand-prix
PAW Patrol: Grand Prix - Race in Barkingburg (Switch),https://www.metacritic.com/game/switch/paw-patrol-grand-prix---race-in-barkingburg
PAW Patrol: On a Roll (Switch),https://www.metacritic.com/game/switch/paw-patrol-on-a-roll
Paw Paw Paw (Switch),https://www.metacritic.com/game/switch/paw-paw-paw
Pawarumi (Switch),https://www.metacritic.com/game/switch/pawarumi
Pawn of the Dead (Switch),https://www.metacritic.com/game/switch/pawn-of-the-dead
Payday 2 (Switch),https://www.metacritic.com/game/switch/payday-2
PBA Pro Bowling (Switch),https://www.metacritic.com/game/switch/pba-pro-bowling
PBA Pro Bowling 2021 (Switch),https://www.metacritic.com/game/switch/pba-pro-bowling-2021
