title,url
R-Type Dimensions EX (Switch),https://www.metacritic.com/game/switch/r-type-dimensions-ex
R-Type Final 2 (Switch),https://www.metacritic.com/game/switch/r-type-final-2
R-Type Final 2: DLC Set 8 (Switch),https://www.metacritic.com/game/switch/r-type-final-2-dlc-set-8
R.B.I. Baseball 17 (Switch),https://www.metacritic.com/game/switch/rbi-baseball-17
R.B.I. Baseball 18 (Switch),https://www.metacritic.com/game/switch/rbi-baseball-18
R.B.I. Baseball 19 (Switch),https://www.metacritic.com/game/switch/rbi-baseball-19
R.B.I. Baseball 20 (Switch),https://www.metacritic.com/game/switch/rbi-baseball-20
R.B.I. Baseball 21 (Switch),https://www.metacritic.com/game/switch/rbi-baseball-21
Rabbids: Party of Legends (Switch),https://www.metacritic.com/game/switch/rabbids-party-of-legends
Rabi-Ribi (Switch),https://www.metacritic.com/game/switch/rabi-ribi
Rabisco+ (Switch),https://www.metacritic.com/game/switch/rabisco+
Race Arcade (Switch),https://www.metacritic.com/game/switch/race-arcade
Race Track Driver (Switch),https://www.metacritic.com/game/switch/race-track-driver
Race with Ryan (Switch),https://www.metacritic.com/game/switch/race-with-ryan
Race with Ryan: Adventure Track Pack (Switch),https://www.metacritic.com/game/switch/race-with-ryan-adventure-track-pack
Race with Ryan: Road Trip Deluxe Edition (Switch),https://www.metacritic.com/game/switch/race-with-ryan-road-trip-deluxe-edition
Race with Ryan: Surprise Track Pack (Switch),https://www.metacritic.com/game/switch/race-with-ryan-surprise-track-pack
Racing Classics PRO: Drag Race & Real Speed (Switch),https://www.metacritic.com/game/switch/racing-classics-pro-drag-race-real-speed
Racing Karts (Switch),https://www.metacritic.com/game/switch/racing-karts
Racing Xtreme 2 (Switch),https://www.metacritic.com/game/switch/racing-xtreme-2
Racing Xtreme: Fast Rally Driver 3D (Switch),https://www.metacritic.com/game/switch/racing-xtreme-fast-rally-driver-3d
Rack N Ruin (Switch),https://www.metacritic.com/game/switch/rack-n-ruin
Rad (Switch),https://www.metacritic.com/game/switch/rad
Rad Rodgers: Radical Edition (Switch),https://www.metacritic.com/game/switch/rad-rodgers-radical-edition
Radiant Silvergun (Switch),https://www.metacritic.com/game/switch/radiant-silvergun
Radiantflux Hyperfractal 4.0 (Switch),https://www.metacritic.com/game/switch/radiantflux-hyperfractal-40
Radiation City (Switch),https://www.metacritic.com/game/switch/radiation-city
Radiation Island (Switch),https://www.metacritic.com/game/switch/radiation-island
Radical Rabbit Stew (Switch),https://www.metacritic.com/game/switch/radical-rabbit-stew
Radical Rex: QUByte Classics (Switch),https://www.metacritic.com/game/switch/radical-rex-qubyte-classics
Radio Commander (Switch),https://www.metacritic.com/game/switch/radio-commander
Radio Hammer Station (Switch),https://www.metacritic.com/game/switch/radio-hammer-station
Radio Squid (Switch),https://www.metacritic.com/game/switch/radio-squid
Radioactive Dwarfs: Evil From the Sewers (Switch),https://www.metacritic.com/game/switch/radioactive-dwarfs-evil-from-the-sewers
Radiohammer Station (Switch),https://www.metacritic.com/game/switch/radiohammer-station
Radirgy Swag (Switch),https://www.metacritic.com/game/switch/radirgy-swag
Radon Blast (Switch),https://www.metacritic.com/game/switch/radon-blast
Rafa's World (Switch),https://www.metacritic.com/game/switch/rafas-world
Raft Life (Switch),https://www.metacritic.com/game/switch/raft-life
Ragdoll Fighter (Switch),https://www.metacritic.com/game/switch/ragdoll-fighter
Ragdoll Rage: Heroes Arena (Switch),https://www.metacritic.com/game/switch/ragdoll-rage-heroes-arena
Rage Among The Stars (Switch),https://www.metacritic.com/game/switch/rage-among-the-stars
Rage in Peace (Switch),https://www.metacritic.com/game/switch/rage-in-peace
Raging Blasters (Switch),https://www.metacritic.com/game/switch/raging-blasters
Raging Justice (Switch),https://www.metacritic.com/game/switch/raging-justice
Raging Loop (Switch),https://www.metacritic.com/game/switch/raging-loop
Ragtag Adventurers (Switch),https://www.metacritic.com/game/switch/ragtag-adventurers
Raiden III x MIKADO MANIAX (Switch),https://www.metacritic.com/game/switch/raiden-iii-x-mikado-maniax
Raiden IV x Mikado Remix (Switch),https://www.metacritic.com/game/switch/raiden-iv-x-mikado-remix
Raiden IV x Mikado Remix & Raiden V: Director's Cut (Switch),https://www.metacritic.com/game/switch/raiden-iv-x-mikado-remix-raiden-v-directors-cut
Raiden V: Director's Cut (Switch),https://www.metacritic.com/game/switch/raiden-v-directors-cut
Raiders Of The Lost Island (Switch),https://www.metacritic.com/game/switch/raiders-of-the-lost-island
Raiders of the North Sea (Switch),https://www.metacritic.com/game/switch/raiders-of-the-north-sea
Railbound (Switch),https://www.metacritic.com/game/switch/railbound
RAILGRADE (Switch),https://www.metacritic.com/game/switch/railgrade
Railway Empire: Japan (Switch),https://www.metacritic.com/game/switch/railway-empire-japan
Railway Empire: Switch Edition (Switch),https://www.metacritic.com/game/switch/railway-empire-switch-edition
Railways (Switch),https://www.metacritic.com/game/switch/railways
Rain City (Switch),https://www.metacritic.com/game/switch/rain-city
Rain on Your Parade (Switch),https://www.metacritic.com/game/switch/rain-on-your-parade
Rain World (Switch),https://www.metacritic.com/game/switch/rain-world
Rainbocorns (Switch),https://www.metacritic.com/game/switch/rainbocorns
Rainbow Billy: The Curse of the Leviathan (Switch),https://www.metacritic.com/game/switch/rainbow-billy-the-curse-of-the-leviathan
Rainbow Laser Disco Dungeon (Switch),https://www.metacritic.com/game/switch/rainbow-laser-disco-dungeon
"Rainbows, Toilets and Unicorns (Switch)",https://www.metacritic.com/game/switch/rainbows-toilets-and-unicorns
Raining Blobs (Switch),https://www.metacritic.com/game/switch/raining-blobs
Raining Coins (Switch),https://www.metacritic.com/game/switch/raining-coins
Rainswept (Switch),https://www.metacritic.com/game/switch/rainswept
Raji: An Ancient Epic (Switch),https://www.metacritic.com/game/switch/raji-an-ancient-epic
Rakuen (Switch),https://www.metacritic.com/game/switch/rakuen
Rally Racer: Offroad Racing Car Game (Switch),https://www.metacritic.com/game/switch/rally-racer-offroad-racing-car-game
Rally Racers (Switch),https://www.metacritic.com/game/switch/rally-racers
Rally Road (Switch),https://www.metacritic.com/game/switch/rally-road
Rally Rock 'N Racing (Switch),https://www.metacritic.com/game/switch/rally-rock-n-racing
Ramageddon (Switch),https://www.metacritic.com/game/switch/ramageddon
Ramp Bike Jumping (Switch),https://www.metacritic.com/game/switch/ramp-bike-jumping
Ramp Car Jumping (Switch),https://www.metacritic.com/game/switch/ramp-car-jumping
Rampage Knights (Switch),https://www.metacritic.com/game/switch/rampage-knights
Random Heroes: Gold Edition (Switch),https://www.metacritic.com/game/switch/random-heroes-gold-edition
Rangerdog (Switch),https://www.metacritic.com/game/switch/rangerdog
Rapala Fishing Pro Series (Switch),https://www.metacritic.com/game/switch/rapala-fishing-pro-series
Raptor Boyfriend: A High School Romance (Switch),https://www.metacritic.com/game/switch/raptor-boyfriend-a-high-school-romance
Rascal Fight (Switch),https://www.metacritic.com/game/switch/rascal-fight
Raspberry Mash (Switch),https://www.metacritic.com/game/switch/raspberry-mash
Rattyvity Lab (Switch),https://www.metacritic.com/game/switch/rattyvity-lab
Raven's Hike (Switch),https://www.metacritic.com/game/switch/ravens-hike
Ravenous Devils (Switch),https://www.metacritic.com/game/switch/ravenous-devils
Ravensword: Shadowlands (Switch),https://www.metacritic.com/game/switch/ravensword-shadowlands
Ravva and the Cyclops Curse (Switch),https://www.metacritic.com/game/switch/ravva-and-the-cyclops-curse
Rawr-Off (Switch),https://www.metacritic.com/game/switch/rawr-off
Rayland (Switch),https://www.metacritic.com/game/switch/rayland
Rayman Legends: Definitive Edition (Switch),https://www.metacritic.com/game/switch/rayman-legends-definitive-edition
RAZED (Switch),https://www.metacritic.com/game/switch/razed
RazerWire: Nanowars (Switch),https://www.metacritic.com/game/switch/razerwire-nanowars
Razion EX (Switch),https://www.metacritic.com/game/switch/razion-ex
RE:CALL (Switch),https://www.metacritic.com/game/switch/recall
Re:Turn - One Way Trip (Switch),https://www.metacritic.com/game/switch/return---one-way-trip
Re:Turn 2 - Runaway (Switch),https://www.metacritic.com/game/switch/return-2---runaway
Re:ZERO - Starting Life in Another World: The Prophecy of the Throne (Switch),https://www.metacritic.com/game/switch/rezero---starting-life-in-another-world-the-prophecy-of-the-throne
ReactorX (Switch),https://www.metacritic.com/game/switch/reactorx
Real Boxing 2 (Switch),https://www.metacritic.com/game/switch/real-boxing-2
Real Car Driving Simulator & Parking 2022 Games (Switch),https://www.metacritic.com/game/switch/real-car-driving-simulator-parking-2022-games
Real Drift Racing (Switch),https://www.metacritic.com/game/switch/real-drift-racing
Real Driving Sim (Switch),https://www.metacritic.com/game/switch/real-driving-sim
Real Farm: Premium Edition (Switch),https://www.metacritic.com/game/switch/real-farm-premium-edition
Real Heroes: Firefighter (Switch),https://www.metacritic.com/game/switch/real-heroes-firefighter
Real Time Battle Shogi Online (Switch),https://www.metacritic.com/game/switch/real-time-battle-shogi-online
"Real Truck Simulator USA Car Games - Driving Games, Parking Sim, Car Speed Racing 2022 (Switch)",https://www.metacritic.com/game/switch/real-truck-simulator-usa-car-games---driving-games-parking-sim-car-speed-racing-2022
Realm Royale (Switch),https://www.metacritic.com/game/switch/realm-royale
realMyst: Masterpiece Edition (Switch),https://www.metacritic.com/game/switch/realmyst-masterpiece-edition
Realpolitiks (Switch),https://www.metacritic.com/game/switch/realpolitiks
Reaper: Tale of a Pale Swordsman (Switch),https://www.metacritic.com/game/switch/reaper-tale-of-a-pale-swordsman
Reason - Casual Puzzle (Switch),https://www.metacritic.com/game/switch/reason---casual-puzzle
Reasoning of Courage (Switch),https://www.metacritic.com/game/switch/reasoning-of-courage
Reasoning of Courage123 (Switch),https://www.metacritic.com/game/switch/reasoning-of-courage123
Rebel Cops (Switch),https://www.metacritic.com/game/switch/rebel-cops
Rebel Galaxy Outlaw (Switch),https://www.metacritic.com/game/switch/rebel-galaxy-outlaw
Record of Agarest War (Switch),https://www.metacritic.com/game/switch/record-of-agarest-war
Record of Lodoss War: Deedlit in Wonder Labyrinth (Switch),https://www.metacritic.com/game/switch/record-of-lodoss-war-deedlit-in-wonder-labyrinth
Red Ball Escape (Switch),https://www.metacritic.com/game/switch/red-ball-escape
Red Bow (Switch),https://www.metacritic.com/game/switch/red-bow
Red Colony (Switch),https://www.metacritic.com/game/switch/red-colony
RED COLONY 2 (Switch),https://www.metacritic.com/game/switch/red-colony-2
Red Colony 3 (Switch),https://www.metacritic.com/game/switch/red-colony-3
