title,url
Table of Tales: The Crooked Crown (Switch),https://www.metacritic.com/game/switch/table-of-tales-the-crooked-crown
Table Soccer Foosball (Switch),https://www.metacritic.com/game/switch/table-soccer-foosball
Table Tennis (Switch),https://www.metacritic.com/game/switch/table-tennis
Table Top Racing: World Tour - Nitro Edition (Switch),https://www.metacritic.com/game/switch/table-top-racing-world-tour---nitro-edition
Tachyon Project (Switch),https://www.metacritic.com/game/switch/tachyon-project
Taco Tom 2 (Switch),https://www.metacritic.com/game/switch/taco-tom-2
Tactical Mind (Switch),https://www.metacritic.com/game/switch/tactical-mind
Tactical Mind 2 (Switch),https://www.metacritic.com/game/switch/tactical-mind-2
Tacticool Champs (Switch),https://www.metacritic.com/game/switch/tacticool-champs
Tactics Ogre: Reborn (Switch),https://www.metacritic.com/game/switch/tactics-ogre-reborn
"Tactics V: ""Obsidian Brigade"" (Switch)",https://www.metacritic.com/game/switch/tactics-v-obsidian-brigade
Tadpole Treble Encore (Switch),https://www.metacritic.com/game/switch/tadpole-treble-encore
Taiko no Tatsujin: Drum 'n' Fun! (Switch),https://www.metacritic.com/game/switch/taiko-no-tatsujin-drum-n-fun!
Taiko no Tatsujin: Rhythm Festival (Switch),https://www.metacritic.com/game/switch/taiko-no-tatsujin-rhythm-festival
Taiko no Tatsujin: Rhythmic Adventure 1 (Switch),https://www.metacritic.com/game/switch/taiko-no-tatsujin-rhythmic-adventure-1
Taiko no Tatsujin: Rhythmic Adventure 1 (Switch),https://www.metacritic.com/game/switch/taiko-no-tatsujin-rhythmic-adventure-1
Taiko no Tatsujin: Rhythmic Adventure 2 (Switch),https://www.metacritic.com/game/switch/taiko-no-tatsujin-rhythmic-adventure-2
Taiko no Tatsujin: Rhythmic Adventure Pack (Switch),https://www.metacritic.com/game/switch/taiko-no-tatsujin-rhythmic-adventure-pack
Tails of Iron (Switch),https://www.metacritic.com/game/switch/tails-of-iron
Taimumari: Complete Edition (Switch),https://www.metacritic.com/game/switch/taimumari-complete-edition
Taishou x Alice: All in One (Switch),https://www.metacritic.com/game/switch/taishou-x-alice-all-in-one
Taito Milestones (Switch),https://www.metacritic.com/game/switch/taito-milestones
Taiwan Monster Fruit (Switch),https://www.metacritic.com/game/switch/taiwan-monster-fruit
Taiwan Monster Fruit : Prologue (Switch),https://www.metacritic.com/game/switch/taiwan-monster-fruit-prologue
Take Off: The Flight Simulator (Switch),https://www.metacritic.com/game/switch/take-off-the-flight-simulator
Takeshi & Hiroshi (Switch),https://www.metacritic.com/game/switch/takeshi-hiroshi
Takorita Meets Fries (Switch),https://www.metacritic.com/game/switch/takorita-meets-fries
Takotan (Switch),https://www.metacritic.com/game/switch/takotan
Tales From Space: Mutant Blobs Attack (Switch),https://www.metacritic.com/game/switch/tales-from-space-mutant-blobs-attack
Tales from the Borderlands: A Telltale Game Series (Switch),https://www.metacritic.com/game/switch/tales-from-the-borderlands-a-telltale-game-series
Tales from the Dragon Mountain 2: The Lair (Switch),https://www.metacritic.com/game/switch/tales-from-the-dragon-mountain-2-the-lair
Tales from the Dragon Mountain: The Strix (Switch),https://www.metacritic.com/game/switch/tales-from-the-dragon-mountain-the-strix
Tales of Aravorn: Seasons Of The Wolf (Switch),https://www.metacritic.com/game/switch/tales-of-aravorn-seasons-of-the-wolf
Tales of Djungarian Hamster (Switch),https://www.metacritic.com/game/switch/tales-of-djungarian-hamster
Tales of Shinobi Fantasy Magic Anime World Fight RPG Simulator (Switch),https://www.metacritic.com/game/switch/tales-of-shinobi-fantasy-magic-anime-world-fight-rpg-simulator
Tales of Symphonia Remastered (Switch),https://www.metacritic.com/game/switch/tales-of-symphonia-remastered
Tales of the Orient: The Rising Sun (Switch),https://www.metacritic.com/game/switch/tales-of-the-orient-the-rising-sun
Tales of the Tiny Planet (Switch),https://www.metacritic.com/game/switch/tales-of-the-tiny-planet
Tales of Vesperia: Definitive Edition (Switch),https://www.metacritic.com/game/switch/tales-of-vesperia-definitive-edition
Talisman: Digital Edition (Switch),https://www.metacritic.com/game/switch/talisman-digital-edition
Talk it Out: Handheld Game (Switch),https://www.metacritic.com/game/switch/talk-it-out-handheld-game
Talking Tom Candy Run (Switch),https://www.metacritic.com/game/switch/talking-tom-candy-run
Tallowmere (Switch),https://www.metacritic.com/game/switch/tallowmere
Tama Cannon (Switch),https://www.metacritic.com/game/switch/tama-cannon
Tamashii (Switch),https://www.metacritic.com/game/switch/tamashii
Tamiku (Switch),https://www.metacritic.com/game/switch/tamiku
Tandem: A Tale of Shadows (Switch),https://www.metacritic.com/game/switch/tandem-a-tale-of-shadows
Tangle Tower (Switch),https://www.metacritic.com/game/switch/tangle-tower
Tangledeep (Switch),https://www.metacritic.com/game/switch/tangledeep
Tangledeep: Dawn of Dragons (Switch),https://www.metacritic.com/game/switch/tangledeep-dawn-of-dragons
Tangrams Deluxe (Switch),https://www.metacritic.com/game/switch/tangrams-deluxe
TaniNani (Switch),https://www.metacritic.com/game/switch/taninani
Tank Battle Heroes (Switch),https://www.metacritic.com/game/switch/tank-battle-heroes
Tank Battle Retro (Switch),https://www.metacritic.com/game/switch/tank-battle-retro
Tank De La Muerta (Switch),https://www.metacritic.com/game/switch/tank-de-la-muerta
Tank Mechanic Simulator (Switch),https://www.metacritic.com/game/switch/tank-mechanic-simulator
Tankorama (Switch),https://www.metacritic.com/game/switch/tankorama
Tanks Meet Zombies (Switch),https://www.metacritic.com/game/switch/tanks-meet-zombies
Tanky Tanks (Switch),https://www.metacritic.com/game/switch/tanky-tanks
Tanuki Justice (Switch),https://www.metacritic.com/game/switch/tanuki-justice
Tanzia (Switch),https://www.metacritic.com/game/switch/tanzia
Tap Skaters (Switch),https://www.metacritic.com/game/switch/tap-skaters
Tap Tap Legions (Switch),https://www.metacritic.com/game/switch/tap-tap-legions
Taqoban (Switch),https://www.metacritic.com/game/switch/taqoban
Tardy (Switch),https://www.metacritic.com/game/switch/tardy
Tarot Readings Premium (Switch),https://www.metacritic.com/game/switch/tarot-readings-premium
Task Force Delta - Afghanistan (Switch),https://www.metacritic.com/game/switch/task-force-delta---afghanistan
Task Force Kampas (Switch),https://www.metacritic.com/game/switch/task-force-kampas
TASOMACHI: Behind the Twilight (Switch),https://www.metacritic.com/game/switch/tasomachi-behind-the-twilight
TAURONOS (Switch),https://www.metacritic.com/game/switch/tauronos
Tax Fugitive (Switch),https://www.metacritic.com/game/switch/tax-fugitive
Taxi Chaos (Switch),https://www.metacritic.com/game/switch/taxi-chaos
Taxi Driver - The Simulation (Switch),https://www.metacritic.com/game/switch/taxi-driver---the-simulation
