title,url
V-Rally 4 (Switch),https://www.metacritic.com/game/switch/v-rally-4
V.O.I.D. (Switch),https://www.metacritic.com/game/switch/void
VA-11 Hall-A: Cyberpunk Bartender Action (Switch),https://www.metacritic.com/game/switch/va-11-hall-a-cyberpunk-bartender-action
Vaccine (Switch),https://www.metacritic.com/game/switch/vaccine
Vagante (Switch),https://www.metacritic.com/game/switch/vagante
Valentina (Switch),https://www.metacritic.com/game/switch/valentina
Valfaris (Switch),https://www.metacritic.com/game/switch/valfaris
Valiant Hearts: The Great War (Switch),https://www.metacritic.com/game/switch/valiant-hearts-the-great-war
ValiDate: Struggling Singles in your Area (Switch),https://www.metacritic.com/game/switch/validate-struggling-singles-in-your-area
Valis II (Switch),https://www.metacritic.com/game/switch/valis-ii
Valis III (Switch),https://www.metacritic.com/game/switch/valis-iii
Valis: The Fantasm Soldier (Switch),https://www.metacritic.com/game/switch/valis-the-fantasm-soldier
Valis: The Fantasm Soldier Collection (Switch),https://www.metacritic.com/game/switch/valis-the-fantasm-soldier-collection
Valkyria Chronicles (Switch),https://www.metacritic.com/game/switch/valkyria-chronicles
Valkyria Chronicles 4 (Switch),https://www.metacritic.com/game/switch/valkyria-chronicles-4
Valkyria Chronicles 4: A Captainless Squad (Switch),https://www.metacritic.com/game/switch/valkyria-chronicles-4-a-captainless-squad
Valkyria Chronicles 4: A United Front with Squad 7 (Switch),https://www.metacritic.com/game/switch/valkyria-chronicles-4-a-united-front-with-squad-7
Valkyria Chronicles 4: Edy's Advance Ops (Switch),https://www.metacritic.com/game/switch/valkyria-chronicles-4-edys-advance-ops
Valkyria Chronicles 4: Expert Level Skirmishes (Switch),https://www.metacritic.com/game/switch/valkyria-chronicles-4-expert-level-skirmishes
"Valkyria Chronicles 4: Squad E, to the Beach! (Switch)",https://www.metacritic.com/game/switch/valkyria-chronicles-4-squad-e-to-the-beach!
Valkyria Chronicles 4: The Two Valkyria (Switch),https://www.metacritic.com/game/switch/valkyria-chronicles-4-the-two-valkyria
Valley (Switch),https://www.metacritic.com/game/switch/valley
Valthirian Arc: Hero School Story (Switch),https://www.metacritic.com/game/switch/valthirian-arc-hero-school-story
