title,url
W.A.R.P. (Switch),https://www.metacritic.com/game/switch/warp
Wacky Run (Switch),https://www.metacritic.com/game/switch/wacky-run
Waifu Discovered 2: Medieval Fantasy (Switch),https://www.metacritic.com/game/switch/waifu-discovered-2-medieval-fantasy
Waifu Impact (Switch),https://www.metacritic.com/game/switch/waifu-impact
Waifu Uncovered (Switch),https://www.metacritic.com/game/switch/waifu-uncovered
Waking Violet (Switch),https://www.metacritic.com/game/switch/waking-violet
Waku Waku Sweets (Switch),https://www.metacritic.com/game/switch/waku-waku-sweets
Wall of insanity (Switch),https://www.metacritic.com/game/switch/wall-of-insanity
Wallachia: Reign of Dracula (Switch),https://www.metacritic.com/game/switch/wallachia-reign-of-dracula
Wally and the FANTASTIC PREDATORS (Switch),https://www.metacritic.com/game/switch/wally-and-the-fantastic-predators
Wampir Dungeon (Switch),https://www.metacritic.com/game/switch/wampir-dungeon
Wanba Warriors (Switch),https://www.metacritic.com/game/switch/wanba-warriors
Wand Wars (Switch),https://www.metacritic.com/game/switch/wand-wars
Wanderjahr TryAgainOrWalkAway (Switch),https://www.metacritic.com/game/switch/wanderjahr-tryagainorwalkaway
Wanderlust Travel Stories (Switch),https://www.metacritic.com/game/switch/wanderlust-travel-stories
Wandersong (Switch),https://www.metacritic.com/game/switch/wandersong
Wanna Survive (Switch),https://www.metacritic.com/game/switch/wanna-survive
War of Ships (Switch),https://www.metacritic.com/game/switch/war-of-ships
War of stealth - assassin (Switch),https://www.metacritic.com/game/switch/war-of-stealth---assassin
War Solution - Casual Math Game (Switch),https://www.metacritic.com/game/switch/war-solution---casual-math-game
War Tech Fighters (Switch),https://www.metacritic.com/game/switch/war-tech-fighters
War Theatre (Switch),https://www.metacritic.com/game/switch/war-theatre
War Titans (Switch),https://www.metacritic.com/game/switch/war-titans
War Truck Simulator (Switch),https://www.metacritic.com/game/switch/war-truck-simulator
War-Torn Dreams (Switch),https://www.metacritic.com/game/switch/war-torn-dreams
Warborn (Switch),https://www.metacritic.com/game/switch/warborn
WarDogs: Red's Return (Switch),https://www.metacritic.com/game/switch/wardogs-reds-return
Warface (Switch),https://www.metacritic.com/game/switch/warface
Warframe (Switch),https://www.metacritic.com/game/switch/warframe
Warframe: Plains of Eidolon (Switch),https://www.metacritic.com/game/switch/warframe-plains-of-eidolon
Wargroove (Switch),https://www.metacritic.com/game/switch/wargroove
Wargroove: Double Trouble (Switch),https://www.metacritic.com/game/switch/wargroove-double-trouble
"Warhammer 40,000: Mechanicus (Switch)",https://www.metacritic.com/game/switch/warhammer-40000-mechanicus
"Warhammer 40,000: Shootas, Blood & Teef (Switch)",https://www.metacritic.com/game/switch/warhammer-40000-shootas-blood-teef
"Warhammer 40,000: Space Wolf (Switch)",https://www.metacritic.com/game/switch/warhammer-40000-space-wolf
Warhammer Age of Sigmar: Champions (Switch),https://www.metacritic.com/game/switch/warhammer-age-of-sigmar-champions
Warhammer Age of Sigmar: Storm Ground (Switch),https://www.metacritic.com/game/switch/warhammer-age-of-sigmar-storm-ground
Warhammer Quest (Switch),https://www.metacritic.com/game/switch/warhammer-quest
Warhammer Quest 2: The End Times (Switch),https://www.metacritic.com/game/switch/warhammer-quest-2-the-end-times
WarioWare: Get It Together! (Switch),https://www.metacritic.com/game/switch/warioware-get-it-together!
Warlock's Tower (Switch),https://www.metacritic.com/game/switch/warlocks-tower
Warlocks 2: God Slayers (Switch),https://www.metacritic.com/game/switch/warlocks-2-god-slayers
Warp 7 (Switch),https://www.metacritic.com/game/switch/warp-7
Warp Drive (Switch),https://www.metacritic.com/game/switch/warp-drive
Warp Frontier (Switch),https://www.metacritic.com/game/switch/warp-frontier
Warp Shift (Switch),https://www.metacritic.com/game/switch/warp-shift
Warparty (Switch),https://www.metacritic.com/game/switch/warparty
Warpips (Switch),https://www.metacritic.com/game/switch/warpips
Warplanes: WW1 Sky Aces (Switch),https://www.metacritic.com/game/switch/warplanes-ww1-sky-aces
Warplanes: WW2 Dogfight (Switch),https://www.metacritic.com/game/switch/warplanes-ww2-dogfight
WarriOrb (Switch),https://www.metacritic.com/game/switch/warriorb
Warriors Orochi 4 (Switch),https://www.metacritic.com/game/switch/warriors-orochi-4
Warriors Orochi 4 Ultimate (Switch),https://www.metacritic.com/game/switch/warriors-orochi-4-ultimate
Warsaw (Switch),https://www.metacritic.com/game/switch/warsaw
Warshmallows (Switch),https://www.metacritic.com/game/switch/warshmallows
WARTILE (Switch),https://www.metacritic.com/game/switch/wartile
Wasteland 2: Director's Cut (Switch),https://www.metacritic.com/game/switch/wasteland-2-directors-cut
Watch Over Christmas (Switch),https://www.metacritic.com/game/switch/watch-over-christmas
Watcher Chronicles (Switch),https://www.metacritic.com/game/switch/watcher-chronicles
Water Balloon Mania (Switch),https://www.metacritic.com/game/switch/water-balloon-mania
Watermelon Blocks (Switch),https://www.metacritic.com/game/switch/watermelon-blocks
Watermelon Party (Switch),https://www.metacritic.com/game/switch/watermelon-party
Wave Break (Switch),https://www.metacritic.com/game/switch/wave-break
Wavecade (Switch),https://www.metacritic.com/game/switch/wavecade
Wavetale (Switch),https://www.metacritic.com/game/switch/wavetale
Wax Museum (Switch),https://www.metacritic.com/game/switch/wax-museum
Way of the Passive Fist (Switch),https://www.metacritic.com/game/switch/way-of-the-passive-fist
WayOut (Switch),https://www.metacritic.com/game/switch/wayout
Wayward Strand (Switch),https://www.metacritic.com/game/switch/wayward-strand
WE ARE DOOMED (Switch),https://www.metacritic.com/game/switch/we-are-doomed
We Are OFK (Switch),https://www.metacritic.com/game/switch/we-are-ofk
We Know the Devil (Switch),https://www.metacritic.com/game/switch/we-know-the-devil
We should talk. (Switch),https://www.metacritic.com/game/switch/we-should-talk
We. The Revolution (Switch),https://www.metacritic.com/game/switch/we-the-revolution
WeakWood Throne (Switch),https://www.metacritic.com/game/switch/weakwood-throne
Weapon of Choice DX (Switch),https://www.metacritic.com/game/switch/weapon-of-choice-dx
Weaving Tides (Switch),https://www.metacritic.com/game/switch/weaving-tides
Webbed (Switch),https://www.metacritic.com/game/switch/webbed
Webgeon Speedrun Edition (Switch),https://www.metacritic.com/game/switch/webgeon-speedrun-edition
Weedcraft Inc (Switch),https://www.metacritic.com/game/switch/weedcraft-inc
Welcome to Elk (Switch),https://www.metacritic.com/game/switch/welcome-to-elk
Welcome to Hanwell (Switch),https://www.metacritic.com/game/switch/welcome-to-hanwell
Welcome to Primrose Lake (Switch),https://www.metacritic.com/game/switch/welcome-to-primrose-lake
Well-Beings: Wellness for Kids (Switch),https://www.metacritic.com/game/switch/well-beings-wellness-for-kids
Wenjia (Switch),https://www.metacritic.com/game/switch/wenjia
Werewolf Pinball (Switch),https://www.metacritic.com/game/switch/werewolf-pinball
Werewolf: The Apocalypse - Heart of the Forest (Switch),https://www.metacritic.com/game/switch/werewolf-the-apocalypse---heart-of-the-forest
West of Dead (Switch),https://www.metacritic.com/game/switch/west-of-dead
West of Loathing (Switch),https://www.metacritic.com/game/switch/west-of-loathing
West of Loathing: Reckonin' at Gun Manor (Switch),https://www.metacritic.com/game/switch/west-of-loathing-reckonin-at-gun-manor
Western 1849: Reloaded (Switch),https://www.metacritic.com/game/switch/western-1849-reloaded
Whack first! - Fight the moles (Switch),https://www.metacritic.com/game/switch/whack-first!---fight-the-moles
What Comes After (Switch),https://www.metacritic.com/game/switch/what-comes-after
What Lies in the Multiverse (Switch),https://www.metacritic.com/game/switch/what-lies-in-the-multiverse
What Remains of Edith Finch (Switch),https://www.metacritic.com/game/switch/what-remains-of-edith-finch
What the Box? (Switch),https://www.metacritic.com/game/switch/what-the-box
What The Dub?! (Switch),https://www.metacritic.com/game/switch/what-the-dub!
What The Fork (Switch),https://www.metacritic.com/game/switch/what-the-fork
WHAT THE GOLF? (Switch),https://www.metacritic.com/game/switch/what-the-golf
What The Zombies?! (Switch),https://www.metacritic.com/game/switch/what-the-zombies!
Wheel of Fortune (Switch),https://www.metacritic.com/game/switch/wheel-of-fortune
Wheels of Aurelia (Switch),https://www.metacritic.com/game/switch/wheels-of-aurelia
When Ski Lifts Go Wrong (Switch),https://www.metacritic.com/game/switch/when-ski-lifts-go-wrong
When The Past Was Around (Switch),https://www.metacritic.com/game/switch/when-the-past-was-around
Where Angels Cry (Switch),https://www.metacritic.com/game/switch/where-angels-cry
Where Angels Cry: Tears Of The Fallen (Switch),https://www.metacritic.com/game/switch/where-angels-cry-tears-of-the-fallen
Where Are My Friends? (Switch),https://www.metacritic.com/game/switch/where-are-my-friends
Where Cards Fall (Switch),https://www.metacritic.com/game/switch/where-cards-fall
Where the Bees Make Honey (Switch),https://www.metacritic.com/game/switch/where-the-bees-make-honey
Where the Water Tastes Like Wine (Switch),https://www.metacritic.com/game/switch/where-the-water-tastes-like-wine
Where's Samantha? (Switch),https://www.metacritic.com/game/switch/wheres-samantha
while True: learn (Switch),https://www.metacritic.com/game/switch/while-true-learn
Whip! Whip! (Switch),https://www.metacritic.com/game/switch/whip!-whip!
Whipseey and the Lost Atlas (Switch),https://www.metacritic.com/game/switch/whipseey-and-the-lost-atlas
Whiskey Mafia: Frank's Story (Switch),https://www.metacritic.com/game/switch/whiskey-mafia-franks-story
Whiskey Mafia: Leo's Family (Switch),https://www.metacritic.com/game/switch/whiskey-mafia-leos-family
Whisper Trip (Switch),https://www.metacritic.com/game/switch/whisper-trip
Whispering Willows (Switch),https://www.metacritic.com/game/switch/whispering-willows
White Day: A Labyrinth Named School (Switch),https://www.metacritic.com/game/switch/white-day-a-labyrinth-named-school
White Girl (Switch),https://www.metacritic.com/game/switch/white-girl
White Night (Switch),https://www.metacritic.com/game/switch/white-night
Who Is Zombie (Switch),https://www.metacritic.com/game/switch/who-is-zombie
Who Pressed Mute on Uncle Marcus? (Switch),https://www.metacritic.com/game/switch/who-pressed-mute-on-uncle-marcus
Who Wants to be a Millionaire? (Switch),https://www.metacritic.com/game/switch/who-wants-to-be-a-millionaire
Why Pizza? (Switch),https://www.metacritic.com/game/switch/why-pizza
Wicce (Switch),https://www.metacritic.com/game/switch/wicce
Wide Ocean Big Jacket (Switch),https://www.metacritic.com/game/switch/wide-ocean-big-jacket
Widget Satchel (Switch),https://www.metacritic.com/game/switch/widget-satchel
Wife Quest (Switch),https://www.metacritic.com/game/switch/wife-quest
Wild & Horror Pinball (Switch),https://www.metacritic.com/game/switch/wild-horror-pinball
Wild Guns Reloaded (Switch),https://www.metacritic.com/game/switch/wild-guns-reloaded
Wild Park Manager (Switch),https://www.metacritic.com/game/switch/wild-park-manager
Wild Romance (Switch),https://www.metacritic.com/game/switch/wild-romance
Wild West Crops (Switch),https://www.metacritic.com/game/switch/wild-west-crops
Wildbus (Switch),https://www.metacritic.com/game/switch/wildbus
Wildcat Gun Machine (Switch),https://www.metacritic.com/game/switch/wildcat-gun-machine
Wildfire (Switch),https://www.metacritic.com/game/switch/wildfire
WildTrax Racing (Switch),https://www.metacritic.com/game/switch/wildtrax-racing
Will Die Alone (Switch),https://www.metacritic.com/game/switch/will-die-alone
Will You Snail? (Switch),https://www.metacritic.com/game/switch/will-you-snail
WILL: A Wonderful World (Switch),https://www.metacritic.com/game/switch/will-a-wonderful-world
Willy Jetman: Astromonkey's Revenge (Switch),https://www.metacritic.com/game/switch/willy-jetman-astromonkeys-revenge
Willy Morgan and the Curse of Bone Town (Switch),https://www.metacritic.com/game/switch/willy-morgan-and-the-curse-of-bone-town
Wilmot's Warehouse (Switch),https://www.metacritic.com/game/switch/wilmots-warehouse
Wind of Shuriken (Switch),https://www.metacritic.com/game/switch/wind-of-shuriken
Wind Peaks (Switch),https://www.metacritic.com/game/switch/wind-peaks
Windbound (Switch),https://www.metacritic.com/game/switch/windbound
WindJammers (Switch),https://www.metacritic.com/game/switch/windjammers
WindJammers 2 (Switch),https://www.metacritic.com/game/switch/windjammers-2
Windmill Engine (Switch),https://www.metacritic.com/game/switch/windmill-engine
Windmill Kings (Switch),https://www.metacritic.com/game/switch/windmill-kings
Windosill (Switch),https://www.metacritic.com/game/switch/windosill
Winds of Change (Switch),https://www.metacritic.com/game/switch/winds-of-change
Windscape (Switch),https://www.metacritic.com/game/switch/windscape
Windstorm: An Unexpected Arrival (Switch),https://www.metacritic.com/game/switch/windstorm-an-unexpected-arrival
Windstorm: Start of a Great Friendship (Switch),https://www.metacritic.com/game/switch/windstorm-start-of-a-great-friendship
Wing of Darkness (Switch),https://www.metacritic.com/game/switch/wing-of-darkness
Wings Of Bluestar (Switch),https://www.metacritic.com/game/switch/wings-of-bluestar
Wingspan (Switch),https://www.metacritic.com/game/switch/wingspan
Wingspan: European Expansion (Switch),https://www.metacritic.com/game/switch/wingspan-european-expansion
WinKings (Switch),https://www.metacritic.com/game/switch/winkings
Winter Games 2023 (Switch),https://www.metacritic.com/game/switch/winter-games-2023
Winter Sports Games (Switch),https://www.metacritic.com/game/switch/winter-sports-games
Wintermoor Tactics Club (Switch),https://www.metacritic.com/game/switch/wintermoor-tactics-club
Witch & Hero (Switch),https://www.metacritic.com/game/switch/witch-hero
Witch & Hero 2 (Switch),https://www.metacritic.com/game/switch/witch-hero-2
Witch & Hero 3 (Switch),https://www.metacritic.com/game/switch/witch-hero-3
Witch Hunter (Switch),https://www.metacritic.com/game/switch/witch-hunter
Witch on the Holy Night (Switch),https://www.metacritic.com/game/switch/witch-on-the-holy-night
Witch Thief (Switch),https://www.metacritic.com/game/switch/witch-thief
Witchcrafty (Switch),https://www.metacritic.com/game/switch/witchcrafty
Witcheye (Switch),https://www.metacritic.com/game/switch/witcheye
WitchSpring3 Re:Fine - The Story of Eirudy (Switch),https://www.metacritic.com/game/switch/witchspring3-refine---the-story-of-eirudy
Within the Blade (Switch),https://www.metacritic.com/game/switch/within-the-blade
Without Escape (Switch),https://www.metacritic.com/game/switch/without-escape
Wizard of Legend (Switch),https://www.metacritic.com/game/switch/wizard-of-legend
Wizards of Brandel (Switch),https://www.metacritic.com/game/switch/wizards-of-brandel
Wizards: Wand of Epicosity (Switch),https://www.metacritic.com/game/switch/wizards-wand-of-epicosity
Wizodd (Switch),https://www.metacritic.com/game/switch/wizodd
Wizorb (Switch),https://www.metacritic.com/game/switch/wizorb
Wobbledogs: Console Edition (Switch),https://www.metacritic.com/game/switch/wobbledogs-console-edition
Wolfenstein II: The New Colossus (Switch),https://www.metacritic.com/game/switch/wolfenstein-ii-the-new-colossus
Wolfenstein: Youngblood (Switch),https://www.metacritic.com/game/switch/wolfenstein-youngblood
Wolflame (Switch),https://www.metacritic.com/game/switch/wolflame
Wolfstride (Switch),https://www.metacritic.com/game/switch/wolfstride
Wonder Blade (Switch),https://www.metacritic.com/game/switch/wonder-blade
Wonder Boy Anniversary Collection (Switch),https://www.metacritic.com/game/switch/wonder-boy-anniversary-collection
Wonder Boy Collection (Switch),https://www.metacritic.com/game/switch/wonder-boy-collection
Wonder Boy Returns Remix (Switch),https://www.metacritic.com/game/switch/wonder-boy-returns-remix
Wonder Boy: Asha in Monster World (Switch),https://www.metacritic.com/game/switch/wonder-boy-asha-in-monster-world
Wonder Boy: The Dragon's Trap (Switch),https://www.metacritic.com/game/switch/wonder-boy-the-dragons-trap
Wonderland Nights: White Rabbit's Diary (Switch),https://www.metacritic.com/game/switch/wonderland-nights-white-rabbits-diary
Wondershot (Switch),https://www.metacritic.com/game/switch/wondershot
Wood Block Escape Puzzles (Switch),https://www.metacritic.com/game/switch/wood-block-escape-puzzles
Wood Block Escape Puzzles 2 (Switch),https://www.metacritic.com/game/switch/wood-block-escape-puzzles-2
Wood Block Escape Puzzles 3 (Switch),https://www.metacritic.com/game/switch/wood-block-escape-puzzles-3
Woodcutter (Switch),https://www.metacritic.com/game/switch/woodcutter
Woodle Tree 2: Deluxe (Switch),https://www.metacritic.com/game/switch/woodle-tree-2-deluxe
Woodle Tree Adventures Deluxe (Switch),https://www.metacritic.com/game/switch/woodle-tree-adventures-deluxe
Worbital (Switch),https://www.metacritic.com/game/switch/worbital
Word Chef (Switch),https://www.metacritic.com/game/switch/word-chef
Word Crush Hidden (Switch),https://www.metacritic.com/game/switch/word-crush-hidden
Word Forward (Switch),https://www.metacritic.com/game/switch/word-forward
Word Mesh (Switch),https://www.metacritic.com/game/switch/word-mesh
Word Puzzles by POWGI (Switch),https://www.metacritic.com/game/switch/word-puzzles-by-powgi
Word Search by POWGI (Switch),https://www.metacritic.com/game/switch/word-search-by-powgi
Word Sudoku by POWGI (Switch),https://www.metacritic.com/game/switch/word-sudoku-by-powgi
Word Wheel by POWGI (Switch),https://www.metacritic.com/game/switch/word-wheel-by-powgi
Wordbreaker by POWGI (Switch),https://www.metacritic.com/game/switch/wordbreaker-by-powgi
WordHerd (Switch),https://www.metacritic.com/game/switch/wordherd
Wordify (Switch),https://www.metacritic.com/game/switch/wordify
Words in Word (Switch),https://www.metacritic.com/game/switch/words-in-word
Words Puzzles 3 in 1 (Switch),https://www.metacritic.com/game/switch/words-puzzles-3-in-1
Words With Freds (Switch),https://www.metacritic.com/game/switch/words-with-freds
Wordsweeper by POWGI (Switch),https://www.metacritic.com/game/switch/wordsweeper-by-powgi
Work from Home (Switch),https://www.metacritic.com/game/switch/work-from-home
Work It Out! Job Challenge (Switch),https://www.metacritic.com/game/switch/work-it-out!-job-challenge
Work Trip (Switch),https://www.metacritic.com/game/switch/work-trip
Working Zombies (Switch),https://www.metacritic.com/game/switch/working-zombies
World Class Champion Soccer (Switch),https://www.metacritic.com/game/switch/world-class-champion-soccer
World Conqueror X (Switch),https://www.metacritic.com/game/switch/world-conqueror-x
World Cruise Story (Switch),https://www.metacritic.com/game/switch/world-cruise-story
WORLD END ECONOMiCA ~complete~ (Switch),https://www.metacritic.com/game/switch/world-end-economica-complete
World End Syndrome (Switch),https://www.metacritic.com/game/switch/world-end-syndrome
World for Two (Switch),https://www.metacritic.com/game/switch/world-for-two
World Neverland: Elnea Kingdom (Switch),https://www.metacritic.com/game/switch/world-neverland-elnea-kingdom
World of Final Fantasy Maxima (Switch),https://www.metacritic.com/game/switch/world-of-final-fantasy-maxima
World of Goo (Switch),https://www.metacritic.com/game/switch/world-of-goo
World of Riders (Switch),https://www.metacritic.com/game/switch/world-of-riders
World of Simulators Ultimate Edition (Switch),https://www.metacritic.com/game/switch/world-of-simulators-ultimate-edition
World Of Solitaire (Switch),https://www.metacritic.com/game/switch/world-of-solitaire
World of Tanks Blitz (Switch),https://www.metacritic.com/game/switch/world-of-tanks-blitz
World Quiz (Switch),https://www.metacritic.com/game/switch/world-quiz
World Soccer (Switch),https://www.metacritic.com/game/switch/world-soccer
World Soccer Cup 2022 (Switch),https://www.metacritic.com/game/switch/world-soccer-cup-2022
World Soccer Pinball (Switch),https://www.metacritic.com/game/switch/world-soccer-pinball
World Soccer Strikers '91 (Switch),https://www.metacritic.com/game/switch/world-soccer-strikers-91
World Splitter (Switch),https://www.metacritic.com/game/switch/world-splitter
World to the West (Switch),https://www.metacritic.com/game/switch/world-to-the-west
World Tree Marche: Gourmet Story (Switch),https://www.metacritic.com/game/switch/world-tree-marche-gourmet-story
World War Battle Heroes Field Armies Call of Prison Duty Simulator (Switch),https://www.metacritic.com/game/switch/world-war-battle-heroes-field-armies-call-of-prison-duty-simulator
World War Z (Switch),https://www.metacritic.com/game/switch/world-war-z
World War: Tank Battle (Switch),https://www.metacritic.com/game/switch/world-war-tank-battle
World's End Club (Switch),https://www.metacritic.com/game/switch/worlds-end-club
World-Wide Adventure! Collection (Switch),https://www.metacritic.com/game/switch/world-wide-adventure!-collection
WorldNeverland: Elnea Kingdom (Switch),https://www.metacritic.com/game/switch/worldneverland-elnea-kingdom
Worlds of Magic: Planar Conquest (Switch),https://www.metacritic.com/game/switch/worlds-of-magic-planar-conquest
WorldWide FlightSimulator (Switch),https://www.metacritic.com/game/switch/worldwide-flightsimulator
