title,url
Z-Warp (Switch),https://www.metacritic.com/game/switch/z-warp
Zaccaria Pinball (Switch),https://www.metacritic.com/game/switch/zaccaria-pinball
Zarvot (Switch),https://www.metacritic.com/game/switch/zarvot
Zen Bound 2 (Switch),https://www.metacritic.com/game/switch/zen-bound-2
Zen Chess Collection (Switch),https://www.metacritic.com/game/switch/zen-chess-collection
Zen Mindfulness: Meditation and Relax (Switch),https://www.metacritic.com/game/switch/zen-mindfulness-meditation-and-relax
Zenge (Switch),https://www.metacritic.com/game/switch/zenge
Zengeon (Switch),https://www.metacritic.com/game/switch/zengeon
Zenith (Switch),https://www.metacritic.com/game/switch/zenith
Zero Gunner 2- (Switch),https://www.metacritic.com/game/switch/zero-gunner-2-
Zero Strain (Switch),https://www.metacritic.com/game/switch/zero-strain
Zero Zero Zero Zero (Switch),https://www.metacritic.com/game/switch/zero-zero-zero-zero
Zeroptian Invasion (Switch),https://www.metacritic.com/game/switch/zeroptian-invasion
Zeus Quest - The Rebirth of Earth (Switch),https://www.metacritic.com/game/switch/zeus-quest---the-rebirth-of-earth
Zeus Quest Remastered (Switch),https://www.metacritic.com/game/switch/zeus-quest-remastered
ZHED (Switch),https://www.metacritic.com/game/switch/zhed
ZIC: Zombies in City (Switch),https://www.metacritic.com/game/switch/zic-zombies-in-city
Ziggurat (Switch),https://www.metacritic.com/game/switch/ziggurat
Ziggurat 2 (Switch),https://www.metacritic.com/game/switch/ziggurat-2
Ziggy the Chaser (Switch),https://www.metacritic.com/game/switch/ziggy-the-chaser
ZikSquare (Switch),https://www.metacritic.com/game/switch/ziksquare
Zodiac Tri Peaks Solitaire (Switch),https://www.metacritic.com/game/switch/zodiac-tri-peaks-solitaire
Zodiacats (Switch),https://www.metacritic.com/game/switch/zodiacats
Zoids Wild: Blast Unleashed (Switch),https://www.metacritic.com/game/switch/zoids-wild-blast-unleashed
ZOMB (Switch),https://www.metacritic.com/game/switch/zomb
Zombie Apocalypse (Switch),https://www.metacritic.com/game/switch/zombie-apocalypse
Zombie Army 4: Dead War (Switch),https://www.metacritic.com/game/switch/zombie-army-4-dead-war
Zombie Army Trilogy (Switch),https://www.metacritic.com/game/switch/zombie-army-trilogy
Zombie Blast Crew (Switch),https://www.metacritic.com/game/switch/zombie-blast-crew
Zombie Call: Trigger 3D (Switch),https://www.metacritic.com/game/switch/zombie-call-trigger-3d
Zombie Driver: Immortal Edition (Switch),https://www.metacritic.com/game/switch/zombie-driver-immortal-edition
Zombie Gold Rush (Switch),https://www.metacritic.com/game/switch/zombie-gold-rush
Zombie Hill Race (Switch),https://www.metacritic.com/game/switch/zombie-hill-race
Zombie is Planting (Switch),https://www.metacritic.com/game/switch/zombie-is-planting
Zombie Night Terror (Switch),https://www.metacritic.com/game/switch/zombie-night-terror
Zombie Panic in Wonderland DX (Switch),https://www.metacritic.com/game/switch/zombie-panic-in-wonderland-dx
Zombie Raid (Switch),https://www.metacritic.com/game/switch/zombie-raid
Zombie Rollerz: Pinball Heroes (Switch),https://www.metacritic.com/game/switch/zombie-rollerz-pinball-heroes
Zombie Scrapper (Switch),https://www.metacritic.com/game/switch/zombie-scrapper
Zombie Survival (Switch),https://www.metacritic.com/game/switch/zombie-survival
Zombie Watch (Switch),https://www.metacritic.com/game/switch/zombie-watch
Zombie's Cool (Switch),https://www.metacritic.com/game/switch/zombies-cool
Zombieland: Double Tap - Road Trip (Switch),https://www.metacritic.com/game/switch/zombieland-double-tap---road-trip
Zombies Ate My Neighbors and Ghoul Patrol (Switch),https://www.metacritic.com/game/switch/zombies-ate-my-neighbors-and-ghoul-patrol
Zombies in City: Apocalypse Survival (Switch),https://www.metacritic.com/game/switch/zombies-in-city-apocalypse-survival
"Zombies Killer Machine - Car Games,Driving,Dead Mechanic Simulator (Switch)",https://www.metacritic.com/game/switch/zombies-killer-machine---car-gamesdrivingdead-mechanic-simulator
Zombies ruined my day (Switch),https://www.metacritic.com/game/switch/zombies-ruined-my-day
ZombieVital DG (Switch),https://www.metacritic.com/game/switch/zombievital-dg
Zombillie (Switch),https://www.metacritic.com/game/switch/zombillie
Zombiotik (Switch),https://www.metacritic.com/game/switch/zombiotik
Zombo Buster Advance (Switch),https://www.metacritic.com/game/switch/zombo-buster-advance
Zombo Buster Rising (Switch),https://www.metacritic.com/game/switch/zombo-buster-rising
Zoo Dentist (Switch),https://www.metacritic.com/game/switch/zoo-dentist
Zorro: The Chronicles (Switch),https://www.metacritic.com/game/switch/zorro-the-chronicles
Zorya: The Celestial Sisters (Switch),https://www.metacritic.com/game/switch/zorya-the-celestial-sisters
Zotrix Starglider (Switch),https://www.metacritic.com/game/switch/zotrix-starglider
Zotrix: Solar Division (Switch),https://www.metacritic.com/game/switch/zotrix-solar-division
Zumania - Magic Casual Puzzle (Switch),https://www.metacritic.com/game/switch/zumania---magic-casual-puzzle
Zumatch (Switch),https://www.metacritic.com/game/switch/zumatch
Zumba Aqua (Switch),https://www.metacritic.com/game/switch/zumba-aqua
Zumba Blitz (Switch),https://www.metacritic.com/game/switch/zumba-blitz
Zumba Burn it Up! (Switch),https://www.metacritic.com/game/switch/zumba-burn-it-up!
Zumba Garden (Switch),https://www.metacritic.com/game/switch/zumba-garden
ZUMIMAN (Switch),https://www.metacritic.com/game/switch/zumiman
