title,url
Baboon! (VITA),https://www.metacritic.com/game/playstation-vita/baboon!
Back in 1995 (VITA),https://www.metacritic.com/game/playstation-vita/back-in-1995
Back to Bed (VITA),https://www.metacritic.com/game/playstation-vita/back-to-bed
Backgammon Blitz (VITA),https://www.metacritic.com/game/playstation-vita/backgammon-blitz
Bad Apple Wars (VITA),https://www.metacritic.com/game/playstation-vita/bad-apple-wars
BADLAND: Game of the Year Edition (VITA),https://www.metacritic.com/game/playstation-vita/badland-game-of-the-year-edition
Balancegame (VITA),https://www.metacritic.com/game/playstation-vita/balancegame
Ball Bearing Racer (VITA),https://www.metacritic.com/game/playstation-vita/ball-bearing-racer
BallFlip (VITA),https://www.metacritic.com/game/playstation-vita/ballflip
Balthazar's Dream (VITA),https://www.metacritic.com/game/playstation-vita/balthazars-dream
BAM!BAM! (VITA),https://www.metacritic.com/game/playstation-vita/bam!bam!
Bard's Gold (VITA),https://www.metacritic.com/game/playstation-vita/bards-gold
Baseball Riot (VITA),https://www.metacritic.com/game/playstation-vita/baseball-riot
Bastion (VITA),https://www.metacritic.com/game/playstation-vita/bastion
Bat King (VITA),https://www.metacritic.com/game/playstation-vita/bat-king
Batman: Arkham Origins Blackgate (VITA),https://www.metacritic.com/game/playstation-vita/batman-arkham-origins-blackgate
Battalion Commander (VITA),https://www.metacritic.com/game/playstation-vita/battalion-commander
Battle of Puppets (VITA),https://www.metacritic.com/game/playstation-vita/battle-of-puppets
Battle Rockets (VITA),https://www.metacritic.com/game/playstation-vita/battle-rockets
Beats Slider (VITA),https://www.metacritic.com/game/playstation-vita/beats-slider
Beats Trellis (VITA),https://www.metacritic.com/game/playstation-vita/beats-trellis
Beauty Weather (VITA),https://www.metacritic.com/game/playstation-vita/beauty-weather
Behind You (VITA),https://www.metacritic.com/game/playstation-vita/behind-you
Ben 10: Galactic Racing (VITA),https://www.metacritic.com/game/playstation-vita/ben-10-galactic-racing
Bentley's Hackpack (VITA),https://www.metacritic.com/game/playstation-vita/bentleys-hackpack
Berserk and the Band of the Hawk (VITA),https://www.metacritic.com/game/playstation-vita/berserk-and-the-band-of-the-hawk
Best of Arcade Games (VITA),https://www.metacritic.com/game/playstation-vita/best-of-arcade-games
Best of Arcade Games: Air Hockey (VITA),https://www.metacritic.com/game/playstation-vita/best-of-arcade-games-air-hockey
Best of Arcade Games: Brick Breaker (VITA),https://www.metacritic.com/game/playstation-vita/best-of-arcade-games-brick-breaker
Best of Arcade Games: Bubble Buster (VITA),https://www.metacritic.com/game/playstation-vita/best-of-arcade-games-bubble-buster
Best of Arcade Games: Tetraminos (VITA),https://www.metacritic.com/game/playstation-vita/best-of-arcade-games-tetraminos
Best of Board Games (VITA),https://www.metacritic.com/game/playstation-vita/best-of-board-games
Best of Board Games: Chess (VITA),https://www.metacritic.com/game/playstation-vita/best-of-board-games-chess
Best of Board Games: Mahjong (VITA),https://www.metacritic.com/game/playstation-vita/best-of-board-games-mahjong
Best of Board Games: Solitaire (VITA),https://www.metacritic.com/game/playstation-vita/best-of-board-games-solitaire
Big Dipper (VITA),https://www.metacritic.com/game/playstation-vita/big-dipper
Big Sky: Infinity (VITA),https://www.metacritic.com/game/playstation-vita/big-sky-infinity
Big Sky: Infinity - Retro Mode (VITA),https://www.metacritic.com/game/playstation-vita/big-sky-infinity---retro-mode
BigFest (VITA),https://www.metacritic.com/game/playstation-vita/bigfest
Bike Rider DX (VITA),https://www.metacritic.com/game/playstation-vita/bike-rider-dx
Bit Dungeon+ (VITA),https://www.metacritic.com/game/playstation-vita/bit-dungeon+
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien (VITA),https://www.metacritic.com/game/playstation-vita/bittrip-presentsrunner2-future-legend-of-rhythm-alien
Blast 'Em Bunnies (VITA),https://www.metacritic.com/game/playstation-vita/blast-em-bunnies
Blast Ninja (VITA),https://www.metacritic.com/game/playstation-vita/blast-ninja
Blasting Agent: Ultimate Edition (VITA),https://www.metacritic.com/game/playstation-vita/blasting-agent-ultimate-edition
BlazBlue: Chrono Phantasma (VITA),https://www.metacritic.com/game/playstation-vita/blazblue-chrono-phantasma
BlazBlue: Chrono Phantasma - Additional Character - Kagura (VITA),https://www.metacritic.com/game/playstation-vita/blazblue-chrono-phantasma---additional-character---kagura
BlazBlue: Chrono Phantasma - Additional Character - Kokonoe (VITA),https://www.metacritic.com/game/playstation-vita/blazblue-chrono-phantasma---additional-character---kokonoe
BlazBlue: Chrono Phantasma - Additional Character - Terumi (VITA),https://www.metacritic.com/game/playstation-vita/blazblue-chrono-phantasma---additional-character---terumi
BlazBlue: Chrono Phantasma Extend (VITA),https://www.metacritic.com/game/playstation-vita/blazblue-chrono-phantasma-extend
BlazBlue: Continuum Shift Extend (VITA),https://www.metacritic.com/game/playstation-vita/blazblue-continuum-shift-extend
Blind Men (VITA),https://www.metacritic.com/game/playstation-vita/blind-men
Blinkin Blobs (VITA),https://www.metacritic.com/game/playstation-vita/blinkin-blobs
Block Boy Brick (VITA),https://www.metacritic.com/game/playstation-vita/block-boy-brick
Block Break (VITA),https://www.metacritic.com/game/playstation-vita/block-break
Block Buster (VITA),https://www.metacritic.com/game/playstation-vita/block-buster
Block-a-Pix Deluxe (VITA),https://www.metacritic.com/game/playstation-vita/block-a-pix-deluxe
Bloodred Wyvern (VITA),https://www.metacritic.com/game/playstation-vita/bloodred-wyvern
Bloodred Wyvern 2 (VITA),https://www.metacritic.com/game/playstation-vita/bloodred-wyvern-2
Bloodstained: Curse of the Moon (VITA),https://www.metacritic.com/game/playstation-vita/bloodstained-curse-of-the-moon
Bloxiq (VITA),https://www.metacritic.com/game/playstation-vita/bloxiq
Blue Beacon (VITA),https://www.metacritic.com/game/playstation-vita/blue-beacon
Blue Reflection mobile (VITA),https://www.metacritic.com/game/playstation-vita/blue-reflection-mobile
Blue Skies (VITA),https://www.metacritic.com/game/playstation-vita/blue-skies
Blue Track (VITA),https://www.metacritic.com/game/playstation-vita/blue-track
Blue-Collar Astronaut (VITA),https://www.metacritic.com/game/playstation-vita/blue-collar-astronaut
Bodycheck (VITA),https://www.metacritic.com/game/playstation-vita/bodycheck
Bomb Drop (VITA),https://www.metacritic.com/game/playstation-vita/bomb-drop
Bomber Farm 3D (VITA),https://www.metacritic.com/game/playstation-vita/bomber-farm-3d
Bombing Busters (VITA),https://www.metacritic.com/game/playstation-vita/bombing-busters
Bonds of the Skies (VITA),https://www.metacritic.com/game/playstation-vita/bonds-of-the-skies
Boot Hill Heroes Part One (VITA),https://www.metacritic.com/game/playstation-vita/boot-hill-heroes-part-one
Borderlands 2 (VITA),https://www.metacritic.com/game/playstation-vita/borderlands-2
Boss! (VITA),https://www.metacritic.com/game/playstation-vita/boss!
Bouncy Bullets (VITA),https://www.metacritic.com/game/playstation-vita/bouncy-bullets
Breach & Clear (VITA),https://www.metacritic.com/game/playstation-vita/breach-clear
Breaker Stones (VITA),https://www.metacritic.com/game/playstation-vita/breaker-stones
Breakout (VITA),https://www.metacritic.com/game/playstation-vita/breakout
BreakQuest: Extra Evolution (VITA),https://www.metacritic.com/game/playstation-vita/breakquest-extra-evolution
Breeder Homegrown: Director's Cut (VITA),https://www.metacritic.com/game/playstation-vita/breeder-homegrown-directors-cut
brg (VITA),https://www.metacritic.com/game/playstation-vita/brg
Brickout (VITA),https://www.metacritic.com/game/playstation-vita/brickout
Bridge Constructor (VITA),https://www.metacritic.com/game/playstation-vita/bridge-constructor
Broken Age (VITA),https://www.metacritic.com/game/playstation-vita/broken-age
Broken Sword 5: The Serpent's Curse (VITA),https://www.metacritic.com/game/playstation-vita/broken-sword-5-the-serpents-curse
Broken Sword 5: The Serpent's Curse - Episode 2 (VITA),https://www.metacritic.com/game/playstation-vita/broken-sword-5-the-serpents-curse---episode-2
Brotherhood United (VITA),https://www.metacritic.com/game/playstation-vita/brotherhood-united
Buba (VITA),https://www.metacritic.com/game/playstation-vita/buba
Bucket Knight (VITA),https://www.metacritic.com/game/playstation-vita/bucket-knight
Bullion Blitz (VITA),https://www.metacritic.com/game/playstation-vita/bullion-blitz
Bunny Must Die: Chelsea and the 7 Devils (VITA),https://www.metacritic.com/game/playstation-vita/bunny-must-die-chelsea-and-the-7-devils
Burly Men At Sea (VITA),https://www.metacritic.com/game/playstation-vita/burly-men-at-sea
Burn the Rope (VITA),https://www.metacritic.com/game/playstation-vita/burn-the-rope
Buzz Words (VITA),https://www.metacritic.com/game/playstation-vita/buzz-words
