title,url
Daggerhood (VITA),https://www.metacritic.com/game/playstation-vita/daggerhood
Damascus Gear: Operation Osaka (VITA),https://www.metacritic.com/game/playstation-vita/damascus-gear-operation-osaka
Damascus Gear: Operation Tokyo (VITA),https://www.metacritic.com/game/playstation-vita/damascus-gear-operation-tokyo
Danganronpa 2: Goodbye Despair (VITA),https://www.metacritic.com/game/playstation-vita/danganronpa-2-goodbye-despair
Danganronpa Another Episode: Ultra Despair Girls (VITA),https://www.metacritic.com/game/playstation-vita/danganronpa-another-episode-ultra-despair-girls
Danganronpa V3: Killing Harmony (VITA),https://www.metacritic.com/game/playstation-vita/danganronpa-v3-killing-harmony
Danganronpa: Trigger Happy Havoc (VITA),https://www.metacritic.com/game/playstation-vita/danganronpa-trigger-happy-havoc
Dariusburst: Chronicle Saviours (VITA),https://www.metacritic.com/game/playstation-vita/dariusburst-chronicle-saviours
Dark Quest (VITA),https://www.metacritic.com/game/playstation-vita/dark-quest
Darkest Dungeon (VITA),https://www.metacritic.com/game/playstation-vita/darkest-dungeon
Darkest Dungeon: Ancestral Edition (VITA),https://www.metacritic.com/game/playstation-vita/darkest-dungeon-ancestral-edition
Darkest Dungeon: The Crimson Court (VITA),https://www.metacritic.com/game/playstation-vita/darkest-dungeon-the-crimson-court
Daryl (VITA),https://www.metacritic.com/game/playstation-vita/daryl
Day D Tower Rush (VITA),https://www.metacritic.com/game/playstation-vita/day-d-tower-rush
Day of the Tentacle Remastered (VITA),https://www.metacritic.com/game/playstation-vita/day-of-the-tentacle-remastered
DayD Tower Rush (VITA),https://www.metacritic.com/game/playstation-vita/dayd-tower-rush
Dead Ahead: Zombie Warfare (VITA),https://www.metacritic.com/game/playstation-vita/dead-ahead-zombie-warfare
Dead End Valentine (VITA),https://www.metacritic.com/game/playstation-vita/dead-end-valentine
Dead Nation (VITA),https://www.metacritic.com/game/playstation-vita/dead-nation
Dead or Alive 5 Plus (VITA),https://www.metacritic.com/game/playstation-vita/dead-or-alive-5-plus
DEADBOLT (VITA),https://www.metacritic.com/game/playstation-vita/deadbolt
Deadman's Cross (VITA),https://www.metacritic.com/game/playstation-vita/deadmans-cross
Death Mark (VITA),https://www.metacritic.com/game/playstation-vita/death-mark
Deathmatch Village (VITA),https://www.metacritic.com/game/playstation-vita/deathmatch-village
Deception IV: Blood Ties (VITA),https://www.metacritic.com/game/playstation-vita/deception-iv-blood-ties
Deception IV: The Nightmare Princess (VITA),https://www.metacritic.com/game/playstation-vita/deception-iv-the-nightmare-princess
Decision (VITA),https://www.metacritic.com/game/playstation-vita/decision
Deemo: The Last Recital (VITA),https://www.metacritic.com/game/playstation-vita/deemo-the-last-recital
Deep Ones (VITA),https://www.metacritic.com/game/playstation-vita/deep-ones
Deep Space Adventure (VITA),https://www.metacritic.com/game/playstation-vita/deep-space-adventure
Deep Space Rush (VITA),https://www.metacritic.com/game/playstation-vita/deep-space-rush
Defender's Quest: Valley of the Forgotten (VITA),https://www.metacritic.com/game/playstation-vita/defenders-quest-valley-of-the-forgotten
Delta Strike: First Assault (VITA),https://www.metacritic.com/game/playstation-vita/delta-strike-first-assault
DEM.S-Blue Partisan- (VITA),https://www.metacritic.com/game/playstation-vita/dems-blue-partisan-
Demetrios - The BIG Cynical Adventure (VITA),https://www.metacritic.com/game/playstation-vita/demetrios---the-big-cynical-adventure
Demon Gaze (VITA),https://www.metacritic.com/game/playstation-vita/demon-gaze
Demon Gaze II (VITA),https://www.metacritic.com/game/playstation-vita/demon-gaze-ii
Demon's Tier+ (VITA),https://www.metacritic.com/game/playstation-vita/demons-tier+
Dengeki Bunko: Fighting Climax (VITA),https://www.metacritic.com/game/playstation-vita/dengeki-bunko-fighting-climax
Desert Ashes (VITA),https://www.metacritic.com/game/playstation-vita/desert-ashes
Destiny of Spirits (VITA),https://www.metacritic.com/game/playstation-vita/destiny-of-spirits
Devious Dungeon (VITA),https://www.metacritic.com/game/playstation-vita/devious-dungeon
Devious Dungeon 2 (VITA),https://www.metacritic.com/game/playstation-vita/devious-dungeon-2
Dex (VITA),https://www.metacritic.com/game/playstation-vita/dex
Die!Die!Die! (VITA),https://www.metacritic.com/game/playstation-vita/die!die!die!
Digimon Story Cyber Sleuth (VITA),https://www.metacritic.com/game/playstation-vita/digimon-story-cyber-sleuth
Digimon Story Cyber Sleuth - Mission Pack 1 (VITA),https://www.metacritic.com/game/playstation-vita/digimon-story-cyber-sleuth---mission-pack-1
Digimon Story Cyber Sleuth - Mission Pack 2 (VITA),https://www.metacritic.com/game/playstation-vita/digimon-story-cyber-sleuth---mission-pack-2
Digimon Story Cyber Sleuth - Mission Pack 3 (VITA),https://www.metacritic.com/game/playstation-vita/digimon-story-cyber-sleuth---mission-pack-3
Digimon Story Cyber Sleuth - Mission Pack 4 (VITA),https://www.metacritic.com/game/playstation-vita/digimon-story-cyber-sleuth---mission-pack-4
Digimon Story Cyber Sleuth: Hacker's Memory (VITA),https://www.metacritic.com/game/playstation-vita/digimon-story-cyber-sleuth-hackers-memory
Digital Guess (VITA),https://www.metacritic.com/game/playstation-vita/digital-guess
Dino Dini's Kick Off Revival (VITA),https://www.metacritic.com/game/playstation-vita/dino-dinis-kick-off-revival
Discovery (VITA),https://www.metacritic.com/game/playstation-vita/discovery
Disgaea 3: Absence of Detention (VITA),https://www.metacritic.com/game/playstation-vita/disgaea-3-absence-of-detention
Disgaea 4: A Promise Revisited (VITA),https://www.metacritic.com/game/playstation-vita/disgaea-4-a-promise-revisited
Disillusions - Manga Horror (VITA),https://www.metacritic.com/game/playstation-vita/disillusions---manga-horror
Disney Epic Mickey 2: The Power of Two (VITA),https://www.metacritic.com/game/playstation-vita/disney-epic-mickey-2-the-power-of-two
Disney Infinity 2.0 Edition (Marvel Super Heroes) (VITA),https://www.metacritic.com/game/playstation-vita/disney-infinity-20-edition-marvel-super-heroes
Disney Infinity: Marvel Super Heroes - Guardians of the Galaxy Playset (VITA),https://www.metacritic.com/game/playstation-vita/disney-infinity-marvel-super-heroes---guardians-of-the-galaxy-playset
Disney Infinity: Marvel Super Heroes - Ultimate Spider Man Playset (VITA),https://www.metacritic.com/game/playstation-vita/disney-infinity-marvel-super-heroes---ultimate-spider-man-playset
DISTRAINT: Deluxe Edition (VITA),https://www.metacritic.com/game/playstation-vita/distraint-deluxe-edition
Divekick (VITA),https://www.metacritic.com/game/playstation-vita/divekick
DJMax Technika Tune (VITA),https://www.metacritic.com/game/playstation-vita/djmax-technika-tune
Doctor Who: The Eternity Clock (VITA),https://www.metacritic.com/game/playstation-vita/doctor-who-the-eternity-clock
Dodgecube (VITA),https://www.metacritic.com/game/playstation-vita/dodgecube
Dogs of Combat (VITA),https://www.metacritic.com/game/playstation-vita/dogs-of-combat
Doki-Doki Universe (VITA),https://www.metacritic.com/game/playstation-vita/doki-doki-universe
Dokuro (VITA),https://www.metacritic.com/game/playstation-vita/dokuro
"Don't Die Dateless, Dummy! (VITA)",https://www.metacritic.com/game/playstation-vita/dont-die-dateless-dummy!
"Don't Die, Mr. Robot! (VITA)",https://www.metacritic.com/game/playstation-vita/dont-die-mr-robot!
Don't Starve: Giant Edition (VITA),https://www.metacritic.com/game/playstation-vita/dont-starve-giant-edition
dong (VITA),https://www.metacritic.com/game/playstation-vita/dong
Doodle Devil (VITA),https://www.metacritic.com/game/playstation-vita/doodle-devil
Doodle God (VITA),https://www.metacritic.com/game/playstation-vita/doodle-god
Doodle Kingdom (VITA),https://www.metacritic.com/game/playstation-vita/doodle-kingdom
DOOXDOO (VITA),https://www.metacritic.com/game/playstation-vita/dooxdoo
Dot Maker (VITA),https://www.metacritic.com/game/playstation-vita/dot-maker
Down in the Valley (VITA),https://www.metacritic.com/game/playstation-vita/down-in-the-valley
Downwell (VITA),https://www.metacritic.com/game/playstation-vita/downwell
Dr. Wiggly (VITA),https://www.metacritic.com/game/playstation-vita/dr-wiggly
Dragon Air (VITA),https://www.metacritic.com/game/playstation-vita/dragon-air
Dragon Ball Z: Battle of Z (VITA),https://www.metacritic.com/game/playstation-vita/dragon-ball-z-battle-of-z
Dragon Fantasy Book I (VITA),https://www.metacritic.com/game/playstation-vita/dragon-fantasy-book-i
Dragon Fantasy Book II (VITA),https://www.metacritic.com/game/playstation-vita/dragon-fantasy-book-ii
Dragon Fantasy: The Volumes of Westeria (VITA),https://www.metacritic.com/game/playstation-vita/dragon-fantasy-the-volumes-of-westeria
Dragon Fantasy: Volumes of Westeria (VITA),https://www.metacritic.com/game/playstation-vita/dragon-fantasy-volumes-of-westeria
Dragon Fin Soup (VITA),https://www.metacritic.com/game/playstation-vita/dragon-fin-soup
Dragon Quest Builders (VITA),https://www.metacritic.com/game/playstation-vita/dragon-quest-builders
Dragon Sinker (VITA),https://www.metacritic.com/game/playstation-vita/dragon-sinker
Dragon's Crown (VITA),https://www.metacritic.com/game/playstation-vita/dragons-crown
Dragonfly Chronicles (VITA),https://www.metacritic.com/game/playstation-vita/dragonfly-chronicles
Dragooned (VITA),https://www.metacritic.com/game/playstation-vita/dragooned
Draw Slasher (VITA),https://www.metacritic.com/game/playstation-vita/draw-slasher
Dream Note (VITA),https://www.metacritic.com/game/playstation-vita/dream-note
Dreamwalker (VITA),https://www.metacritic.com/game/playstation-vita/dreamwalker
Dreii (VITA),https://www.metacritic.com/game/playstation-vita/dreii
Drive Girls (VITA),https://www.metacritic.com/game/playstation-vita/drive-girls
Drop Baby (VITA),https://www.metacritic.com/game/playstation-vita/drop-baby
Drops x Colors x Freeze (VITA),https://www.metacritic.com/game/playstation-vita/drops-x-colors-x-freeze
Drowning (VITA),https://www.metacritic.com/game/playstation-vita/drowning
Duck Souls+ (VITA),https://www.metacritic.com/game/playstation-vita/duck-souls+
DuelistCalculator (VITA),https://www.metacritic.com/game/playstation-vita/duelistcalculator
Duke Nukem 3D: Megaton Edition (VITA),https://www.metacritic.com/game/playstation-vita/duke-nukem-3d-megaton-edition
Dull Grey (VITA),https://www.metacritic.com/game/playstation-vita/dull-grey
Dungeon Bandit (VITA),https://www.metacritic.com/game/playstation-vita/dungeon-bandit
Dungeon Hunter: Alliance (VITA),https://www.metacritic.com/game/playstation-vita/dungeon-hunter-alliance
Dungeon Punks (VITA),https://www.metacritic.com/game/playstation-vita/dungeon-punks
Dungeon Travelers 2: The Royal Library & the Monster Seal (VITA),https://www.metacritic.com/game/playstation-vita/dungeon-travelers-2-the-royal-library-the-monster-seal
Dustforce (VITA),https://www.metacritic.com/game/playstation-vita/dustforce
Dying: Reborn (VITA),https://www.metacritic.com/game/playstation-vita/dying-reborn
Dynamic Visual Acuity Test (VITA),https://www.metacritic.com/game/playstation-vita/dynamic-visual-acuity-test
Dynamite Dude (VITA),https://www.metacritic.com/game/playstation-vita/dynamite-dude
Dynasty Warriors 8 Empires (VITA),https://www.metacritic.com/game/playstation-vita/dynasty-warriors-8-empires
Dynasty Warriors 8: Xtreme Legends Complete Edition (VITA),https://www.metacritic.com/game/playstation-vita/dynasty-warriors-8-xtreme-legends-complete-edition
Dynasty Warriors Next (VITA),https://www.metacritic.com/game/playstation-vita/dynasty-warriors-next
Dynasty Warriors: Godseekers (VITA),https://www.metacritic.com/game/playstation-vita/dynasty-warriors-godseekers
