title,url
F1 2011 (VITA),https://www.metacritic.com/game/playstation-vita/f1-2011
Factotum 90 (VITA),https://www.metacritic.com/game/playstation-vita/factotum-90
Fairune (VITA),https://www.metacritic.com/game/playstation-vita/fairune
Fallen Legion: Flames of Rebellion (VITA),https://www.metacritic.com/game/playstation-vita/fallen-legion-flames-of-rebellion
Fanny Pixel Paint (VITA),https://www.metacritic.com/game/playstation-vita/fanny-pixel-paint
Fantasy Hero: Unsigned Legacy (VITA),https://www.metacritic.com/game/playstation-vita/fantasy-hero-unsigned-legacy
FarmFury! (VITA),https://www.metacritic.com/game/playstation-vita/farmfury!
Farming Simulator (VITA),https://www.metacritic.com/game/playstation-vita/farming-simulator
Farming Simulator 14 (VITA),https://www.metacritic.com/game/playstation-vita/farming-simulator-14
Farming Simulator 16 (VITA),https://www.metacritic.com/game/playstation-vita/farming-simulator-16
Farming Simulator 18 (VITA),https://www.metacritic.com/game/playstation-vita/farming-simulator-18
Farming USA (VITA),https://www.metacritic.com/game/playstation-vita/farming-usa
Fast Striker (VITA),https://www.metacritic.com/game/playstation-vita/fast-striker
Fat City (VITA),https://www.metacritic.com/game/playstation-vita/fat-city
Fat Dragons (VITA),https://www.metacritic.com/game/playstation-vita/fat-dragons
Fat Princess: Piece of Cake (VITA),https://www.metacritic.com/game/playstation-vita/fat-princess-piece-of-cake
Fate/Extella Link (VITA),https://www.metacritic.com/game/playstation-vita/fateextella-link
Fate/Extella: The Umbral Star (VITA),https://www.metacritic.com/game/playstation-vita/fateextella-the-umbral-star
Fatty Bird (VITA),https://www.metacritic.com/game/playstation-vita/fatty-bird
Feed Me Oil (VITA),https://www.metacritic.com/game/playstation-vita/feed-me-oil
Fernz Gate (VITA),https://www.metacritic.com/game/playstation-vita/fernz-gate
Fez (VITA),https://www.metacritic.com/game/playstation-vita/fez
Fieldrunners 2 (VITA),https://www.metacritic.com/game/playstation-vita/fieldrunners-2
FIFA 14 (VITA),https://www.metacritic.com/game/playstation-vita/fifa-14
FIFA 15 (VITA),https://www.metacritic.com/game/playstation-vita/fifa-15
FIFA Soccer (VITA),https://www.metacritic.com/game/playstation-vita/fifa-soccer
FIFA Soccer 13 (VITA),https://www.metacritic.com/game/playstation-vita/fifa-soccer-13
Fifty Words by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/fifty-words-by-powgi
Figure (VITA),https://www.metacritic.com/game/playstation-vita/figure
Final Fantasy X / X-2 HD Remaster (VITA),https://www.metacritic.com/game/playstation-vita/final-fantasy-x-x-2-hd-remaster
Final Horizon (VITA),https://www.metacritic.com/game/playstation-vita/final-horizon
Final Horizon: Dark Galaxy (VITA),https://www.metacritic.com/game/playstation-vita/final-horizon-dark-galaxy
Firewall Defender (VITA),https://www.metacritic.com/game/playstation-vita/firewall-defender
Fireworks (VITA),https://www.metacritic.com/game/playstation-vita/fireworks
fishFishFISH (VITA),https://www.metacritic.com/game/playstation-vita/fishfishfish
FL Scientific Calculator (VITA),https://www.metacritic.com/game/playstation-vita/fl-scientific-calculator
Flabby Sven (VITA),https://www.metacritic.com/game/playstation-vita/flabby-sven
Flame Over (VITA),https://www.metacritic.com/game/playstation-vita/flame-over
FlapperPrincess (VITA),https://www.metacritic.com/game/playstation-vita/flapperprincess
Flappig 3D (VITA),https://www.metacritic.com/game/playstation-vita/flappig-3d
Flappy 2048 (VITA),https://www.metacritic.com/game/playstation-vita/flappy-2048
Flappy Birds (VITA),https://www.metacritic.com/game/playstation-vita/flappy-birds
Flappy Retro (VITA),https://www.metacritic.com/game/playstation-vita/flappy-retro
Fleet connection (VITA),https://www.metacritic.com/game/playstation-vita/fleet-connection
Flem (VITA),https://www.metacritic.com/game/playstation-vita/flem
Flick Hockey (VITA),https://www.metacritic.com/game/playstation-vita/flick-hockey
Flight of the Turtle (VITA),https://www.metacritic.com/game/playstation-vita/flight-of-the-turtle
Flight World Simulator (VITA),https://www.metacritic.com/game/playstation-vita/flight-world-simulator
FLIPS (VITA),https://www.metacritic.com/game/playstation-vita/flips
Floating Cloud God Saves the Pilgrims in HD! (VITA),https://www.metacritic.com/game/playstation-vita/floating-cloud-god-saves-the-pilgrims-in-hd!
Floribund (VITA),https://www.metacritic.com/game/playstation-vita/floribund
flOw (VITA),https://www.metacritic.com/game/playstation-vita/flow
flower (VITA),https://www.metacritic.com/game/playstation-vita/flower
Fly Speed (VITA),https://www.metacritic.com/game/playstation-vita/fly-speed
Flyhunter Origins (VITA),https://www.metacritic.com/game/playstation-vita/flyhunter-origins
Flying Hamster HD (VITA),https://www.metacritic.com/game/playstation-vita/flying-hamster-hd
FolkHarpKenji (VITA),https://www.metacritic.com/game/playstation-vita/folkharpkenji
Foosball 2012 (VITA),https://www.metacritic.com/game/playstation-vita/foosball-2012
Football Game (VITA),https://www.metacritic.com/game/playstation-vita/football-game
Football Manager Classic 2014 (VITA),https://www.metacritic.com/game/playstation-vita/football-manager-classic-2014
Forevolution (VITA),https://www.metacritic.com/game/playstation-vita/forevolution
forma.8 (VITA),https://www.metacritic.com/game/playstation-vita/forma8
Fort Defense (VITA),https://www.metacritic.com/game/playstation-vita/fort-defense
Fort Defense: North Menace (VITA),https://www.metacritic.com/game/playstation-vita/fort-defense-north-menace
Foul Play (VITA),https://www.metacritic.com/game/playstation-vita/foul-play
FoxyLand (VITA),https://www.metacritic.com/game/playstation-vita/foxyland
FoxyLand 2 (VITA),https://www.metacritic.com/game/playstation-vita/foxyland-2
Fractopia (VITA),https://www.metacritic.com/game/playstation-vita/fractopia
Fragment's Note (VITA),https://www.metacritic.com/game/playstation-vita/fragments-note
Frane: Dragons' Odyssey (VITA),https://www.metacritic.com/game/playstation-vita/frane-dragons-odyssey
Frederic: Resurrection of Music (VITA),https://www.metacritic.com/game/playstation-vita/frederic-resurrection-of-music
Freedom Wars (VITA),https://www.metacritic.com/game/playstation-vita/freedom-wars
Frisky Derby Online (VITA),https://www.metacritic.com/game/playstation-vita/frisky-derby-online
Frobisher Says! (VITA),https://www.metacritic.com/game/playstation-vita/frobisher-says!
Frobisher Says! - Mega Fun Pack (VITA),https://www.metacritic.com/game/playstation-vita/frobisher-says!---mega-fun-pack
Frobisher Says! Frobisher's Super Fun Pack! (VITA),https://www.metacritic.com/game/playstation-vita/frobisher-says!-frobishers-super-fun-pack!
Frog Ninja (VITA),https://www.metacritic.com/game/playstation-vita/frog-ninja
Front Wars: World War II Turn-Based Strategy Game (VITA),https://www.metacritic.com/game/playstation-vita/front-wars-world-war-ii-turn-based-strategy-game
Frozen Synapse Prime (VITA),https://www.metacritic.com/game/playstation-vita/frozen-synapse-prime
Fruit Duels (VITA),https://www.metacritic.com/game/playstation-vita/fruit-duels
Fruit Ninja (VITA),https://www.metacritic.com/game/playstation-vita/fruit-ninja
Fruit Space (VITA),https://www.metacritic.com/game/playstation-vita/fruit-space
Fuel Tiracas (VITA),https://www.metacritic.com/game/playstation-vita/fuel-tiracas
Full Throttle Remastered (VITA),https://www.metacritic.com/game/playstation-vita/full-throttle-remastered
FullBlast (VITA),https://www.metacritic.com/game/playstation-vita/fullblast
Funk of Titans (VITA),https://www.metacritic.com/game/playstation-vita/funk-of-titans
Furmins (VITA),https://www.metacritic.com/game/playstation-vita/furmins
Furmins: Bonus World - Cosmic Adventures II (VITA),https://www.metacritic.com/game/playstation-vita/furmins-bonus-world---cosmic-adventures-ii
Furwind (VITA),https://www.metacritic.com/game/playstation-vita/furwind
Future Flying Simulator (VITA),https://www.metacritic.com/game/playstation-vita/future-flying-simulator
Futuridium EP Deluxe (VITA),https://www.metacritic.com/game/playstation-vita/futuridium-ep-deluxe
