title,url
Habroxia (VITA),https://www.metacritic.com/game/playstation-vita/habroxia
Habroxia 2 (VITA),https://www.metacritic.com/game/playstation-vita/habroxia-2
Hakuoki: Edo Blossoms (VITA),https://www.metacritic.com/game/playstation-vita/hakuoki-edo-blossoms
Hakuoki: Kyoto Winds (VITA),https://www.metacritic.com/game/playstation-vita/hakuoki-kyoto-winds
Hakuoki: Kyoto Winds - Wind Treasure Box (VITA),https://www.metacritic.com/game/playstation-vita/hakuoki-kyoto-winds---wind-treasure-box
Hallowed Sky (VITA),https://www.metacritic.com/game/playstation-vita/hallowed-sky
Halloween Forever (VITA),https://www.metacritic.com/game/playstation-vita/halloween-forever
Hamster Crane (VITA),https://www.metacritic.com/game/playstation-vita/hamster-crane
Handball 16 (VITA),https://www.metacritic.com/game/playstation-vita/handball-16
Happy (VITA),https://www.metacritic.com/game/playstation-vita/happy
Hatoful Boyfriend (VITA),https://www.metacritic.com/game/playstation-vita/hatoful-boyfriend
Hatoful Boyfriend: Holiday Star (VITA),https://www.metacritic.com/game/playstation-vita/hatoful-boyfriend-holiday-star
Hatsune Miku: Project Diva f (VITA),https://www.metacritic.com/game/playstation-vita/hatsune-miku-project-diva-f
Hatsune Miku: Project Diva F 2nd (VITA),https://www.metacritic.com/game/playstation-vita/hatsune-miku-project-diva-f-2nd
Hatsune Miku: Project Diva X (VITA),https://www.metacritic.com/game/playstation-vita/hatsune-miku-project-diva-x
Haunt the House: Terrortown (VITA),https://www.metacritic.com/game/playstation-vita/haunt-the-house-terrortown
Heavy Truck Speed Racing (VITA),https://www.metacritic.com/game/playstation-vita/heavy-truck-speed-racing
Helicopter (VITA),https://www.metacritic.com/game/playstation-vita/helicopter
Helldivers (VITA),https://www.metacritic.com/game/playstation-vita/helldivers
Hermit Crab in Space (VITA),https://www.metacritic.com/game/playstation-vita/hermit-crab-in-space
Hero or Healer? (VITA),https://www.metacritic.com/game/playstation-vita/hero-or-healer
Heroes of Loot (VITA),https://www.metacritic.com/game/playstation-vita/heroes-of-loot
Heroes Trials (VITA),https://www.metacritic.com/game/playstation-vita/heroes-trials
HEX-FLOWERS (VITA),https://www.metacritic.com/game/playstation-vita/hex-flowers
Hide 'n' Zebra (VITA),https://www.metacritic.com/game/playstation-vita/hide-n-zebra
Highway of Death (VITA),https://www.metacritic.com/game/playstation-vita/highway-of-death
Hill Cliff Horse (VITA),https://www.metacritic.com/game/playstation-vita/hill-cliff-horse
Hills of Glory: WWII (VITA),https://www.metacritic.com/game/playstation-vita/hills-of-glory-wwii
Himno (VITA),https://www.metacritic.com/game/playstation-vita/himno
History Legends of War: Patton (VITA),https://www.metacritic.com/game/playstation-vita/history-legends-of-war-patton
Hitman GO: Definitive Edition (VITA),https://www.metacritic.com/game/playstation-vita/hitman-go-definitive-edition
Hockey Shootout 2015 (VITA),https://www.metacritic.com/game/playstation-vita/hockey-shootout-2015
Hoggy 2 (VITA),https://www.metacritic.com/game/playstation-vita/hoggy-2
Hohokum (VITA),https://www.metacritic.com/game/playstation-vita/hohokum
Home (VITA),https://www.metacritic.com/game/playstation-vita/home
Hosiwo Kasaneru Mahou (VITA),https://www.metacritic.com/game/playstation-vita/hosiwo-kasaneru-mahou
