title,url
I Am The Hero (VITA),https://www.metacritic.com/game/playstation-vita/i-am-the-hero
I and Me (VITA),https://www.metacritic.com/game/playstation-vita/i-and-me
iBomber Defense (VITA),https://www.metacritic.com/game/playstation-vita/ibomber-defense
Ice Cream Surfer (VITA),https://www.metacritic.com/game/playstation-vita/ice-cream-surfer
Iconoclasts (VITA),https://www.metacritic.com/game/playstation-vita/iconoclasts
iFishing (VITA),https://www.metacritic.com/game/playstation-vita/ifishing
iFishing Saltwater (VITA),https://www.metacritic.com/game/playstation-vita/ifishing-saltwater
Illusion of L'Phalcia (VITA),https://www.metacritic.com/game/playstation-vita/illusion-of-lphalcia
Imaginstruments (VITA),https://www.metacritic.com/game/playstation-vita/imaginstruments
incurvio (VITA),https://www.metacritic.com/game/playstation-vita/incurvio
Indoor Sports World (VITA),https://www.metacritic.com/game/playstation-vita/indoor-sports-world
Inflatable Maths (VITA),https://www.metacritic.com/game/playstation-vita/inflatable-maths
Injustice: Gods Among Us - Ultimate Edition (VITA),https://www.metacritic.com/game/playstation-vita/injustice-gods-among-us---ultimate-edition
InkSplosion (VITA),https://www.metacritic.com/game/playstation-vita/inksplosion
Insects - The Alien Invasion (VITA),https://www.metacritic.com/game/playstation-vita/insects---the-alien-invasion
Instant Dungeon! (VITA),https://www.metacritic.com/game/playstation-vita/instant-dungeon!
Instant Memory Test (VITA),https://www.metacritic.com/game/playstation-vita/instant-memory-test
Invizimals: The Alliance (VITA),https://www.metacritic.com/game/playstation-vita/invizimals-the-alliance
Invizimals: The Resistance (VITA),https://www.metacritic.com/game/playstation-vita/invizimals-the-resistance
Invokers Tournament (VITA),https://www.metacritic.com/game/playstation-vita/invokers-tournament
iO (VITA),https://www.metacritic.com/game/playstation-vita/io
Iron Sea Defenders (VITA),https://www.metacritic.com/game/playstation-vita/iron-sea-defenders
Iron Snout (VITA),https://www.metacritic.com/game/playstation-vita/iron-snout
IronTowerDefense (VITA),https://www.metacritic.com/game/playstation-vita/irontowerdefense
It's Spring Again (VITA),https://www.metacritic.com/game/playstation-vita/its-spring-again
IVE (VITA),https://www.metacritic.com/game/playstation-vita/ive
