title,url
J-Stars Victory Vs (VITA),https://www.metacritic.com/game/playstation-vita/j-stars-victory-vs
J-Stars Victory Vs+ (VITA),https://www.metacritic.com/game/playstation-vita/j-stars-victory-vs+
JAC's Bowling (VITA),https://www.metacritic.com/game/playstation-vita/jacs-bowling
Jack N' Jill DX (VITA),https://www.metacritic.com/game/playstation-vita/jack-n-jill-dx
Jacob Jones and the Bigfoot Mystery: Episode One - A Bump in the Night (VITA),https://www.metacritic.com/game/playstation-vita/jacob-jones-and-the-bigfoot-mystery-episode-one---a-bump-in-the-night
Jaggy Race (VITA),https://www.metacritic.com/game/playstation-vita/jaggy-race
Jail Break (VITA),https://www.metacritic.com/game/playstation-vita/jail-break
Jak and Daxter Collection (VITA),https://www.metacritic.com/game/playstation-vita/jak-and-daxter-collection
Jet Car Stunts (VITA),https://www.metacritic.com/game/playstation-vita/jet-car-stunts
Jet Set Radio (VITA),https://www.metacritic.com/game/playstation-vita/jet-set-radio
Jetpack Joyride (VITA),https://www.metacritic.com/game/playstation-vita/jetpack-joyride
Jetpack Joyride Deluxe (VITA),https://www.metacritic.com/game/playstation-vita/jetpack-joyride-deluxe
Jewel Crush (VITA),https://www.metacritic.com/game/playstation-vita/jewel-crush
Joe Danger (VITA),https://www.metacritic.com/game/playstation-vita/joe-danger
Joe Danger 2: The Movie (VITA),https://www.metacritic.com/game/playstation-vita/joe-danger-2-the-movie
Journey of the Wind (VITA),https://www.metacritic.com/game/playstation-vita/journey-of-the-wind
Joy Rider (VITA),https://www.metacritic.com/game/playstation-vita/joy-rider
Jump Girl (VITA),https://www.metacritic.com/game/playstation-vita/jump-girl
Jumpikus (VITA),https://www.metacritic.com/game/playstation-vita/jumpikus
"Jungle Rumble: Freedom, Happiness and Bananas (VITA)",https://www.metacritic.com/game/playstation-vita/jungle-rumble-freedom-happiness-and-bananas
Just a Phrase by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/just-a-phrase-by-powgi
Just Ignore Them (VITA),https://www.metacritic.com/game/playstation-vita/just-ignore-them
Justice Legion (VITA),https://www.metacritic.com/game/playstation-vita/justice-legion
