title,url
K-Pop ni Koishite! (VITA),https://www.metacritic.com/game/playstation-vita/k-pop-ni-koishite!
Kaleidoscope Camera (VITA),https://www.metacritic.com/game/playstation-vita/kaleidoscope-camera
Kasanki Houshiki Dentaku (VITA),https://www.metacritic.com/game/playstation-vita/kasanki-houshiki-dentaku
Kawaii Deathu Desu (VITA),https://www.metacritic.com/game/playstation-vita/kawaii-deathu-desu
KI Scientific Toolbox (VITA),https://www.metacritic.com/game/playstation-vita/ki-scientific-toolbox
Kick & Fennick (VITA),https://www.metacritic.com/game/playstation-vita/kick-fennick
Kick it! - soccer (VITA),https://www.metacritic.com/game/playstation-vita/kick-it!---soccer
KickBeat (VITA),https://www.metacritic.com/game/playstation-vita/kickbeat
Kid Tripp (VITA),https://www.metacritic.com/game/playstation-vita/kid-tripp
Kilka Card Gods (VITA),https://www.metacritic.com/game/playstation-vita/kilka-card-gods
Killer Dolls United (VITA),https://www.metacritic.com/game/playstation-vita/killer-dolls-united
Killzone: Mercenary (VITA),https://www.metacritic.com/game/playstation-vita/killzone-mercenary
King Bean (VITA),https://www.metacritic.com/game/playstation-vita/king-bean
King James Version Bible (VITA),https://www.metacritic.com/game/playstation-vita/king-james-version-bible
King Oddball (VITA),https://www.metacritic.com/game/playstation-vita/king-oddball
Kingdom Three Musketeers (VITA),https://www.metacritic.com/game/playstation-vita/kingdom-three-musketeers
Kingdom Three Musketeers Music Library (VITA),https://www.metacritic.com/game/playstation-vita/kingdom-three-musketeers-music-library
Knight Solitaire (VITA),https://www.metacritic.com/game/playstation-vita/knight-solitaire
Knightin'+ (VITA),https://www.metacritic.com/game/playstation-vita/knightin+
Knobswitch (VITA),https://www.metacritic.com/game/playstation-vita/knobswitch
Knock-knock (VITA),https://www.metacritic.com/game/playstation-vita/knock-knock
Knytt Underground (VITA),https://www.metacritic.com/game/playstation-vita/knytt-underground
Koi (VITA),https://www.metacritic.com/game/playstation-vita/koi
Krinkle Krusher (VITA),https://www.metacritic.com/game/playstation-vita/krinkle-krusher
Kung Fu FIGHT! (VITA),https://www.metacritic.com/game/playstation-vita/kung-fu-fight!
Kung Fu Rabbit (VITA),https://www.metacritic.com/game/playstation-vita/kung-fu-rabbit
Kung Fury: Street Rage (VITA),https://www.metacritic.com/game/playstation-vita/kung-fury-street-rage
Kyutain (VITA),https://www.metacritic.com/game/playstation-vita/kyutain
