title,url
La charte: Protect the Whale (VITA),https://www.metacritic.com/game/playstation-vita/la-charte-protect-the-whale
La-Mulana EX (VITA),https://www.metacritic.com/game/playstation-vita/la-mulana-ex
Lara Croft GO (VITA),https://www.metacritic.com/game/playstation-vita/lara-croft-go
Laser Disco Defenders (VITA),https://www.metacritic.com/game/playstation-vita/laser-disco-defenders
Laser Puzzle (VITA),https://www.metacritic.com/game/playstation-vita/laser-puzzle
Last Wings (VITA),https://www.metacritic.com/game/playstation-vita/last-wings
League of Evil (VITA),https://www.metacritic.com/game/playstation-vita/league-of-evil
Legend of the Skyfish (VITA),https://www.metacritic.com/game/playstation-vita/legend-of-the-skyfish
LEGO Batman 2: DC Super Heroes (VITA),https://www.metacritic.com/game/playstation-vita/lego-batman-2-dc-super-heroes
LEGO Batman 3: Beyond Gotham (VITA),https://www.metacritic.com/game/playstation-vita/lego-batman-3-beyond-gotham
LEGO Harry Potter: Years 5-7 (VITA),https://www.metacritic.com/game/playstation-vita/lego-harry-potter-years-5-7
LEGO Jurassic World (VITA),https://www.metacritic.com/game/playstation-vita/lego-jurassic-world
LEGO Legends of Chima: Laval's Journey (VITA),https://www.metacritic.com/game/playstation-vita/lego-legends-of-chima-lavals-journey
LEGO Marvel Super Heroes: Universe in Peril (VITA),https://www.metacritic.com/game/playstation-vita/lego-marvel-super-heroes-universe-in-peril
LEGO Marvel's Avengers (VITA),https://www.metacritic.com/game/playstation-vita/lego-marvels-avengers
LEGO Ninjago: Nindroids (VITA),https://www.metacritic.com/game/playstation-vita/lego-ninjago-nindroids
LEGO Ninjago: Shadow of Ronin (VITA),https://www.metacritic.com/game/playstation-vita/lego-ninjago-shadow-of-ronin
LEGO Star Wars: The Force Awakens (VITA),https://www.metacritic.com/game/playstation-vita/lego-star-wars-the-force-awakens
LEGO The Hobbit (VITA),https://www.metacritic.com/game/playstation-vita/lego-the-hobbit
LEGO The Lord of the Rings (VITA),https://www.metacritic.com/game/playstation-vita/lego-the-lord-of-the-rings
Lemmings (VITA),https://www.metacritic.com/game/playstation-vita/lemmings
Lemmings Touch (VITA),https://www.metacritic.com/game/playstation-vita/lemmings-touch
Lets Fish! Hooked On (VITA),https://www.metacritic.com/game/playstation-vita/lets-fish!-hooked-on
Letter Quest: Grimm's Journey Remastered (VITA),https://www.metacritic.com/game/playstation-vita/letter-quest-grimms-journey-remastered
LEVEL 22 (VITA),https://www.metacritic.com/game/playstation-vita/level-22
Lichtspeer (VITA),https://www.metacritic.com/game/playstation-vita/lichtspeer
Licky the Lucky Lizard Lives Again (VITA),https://www.metacritic.com/game/playstation-vita/licky-the-lucky-lizard-lives-again
Life Born (VITA),https://www.metacritic.com/game/playstation-vita/life-born
Life of Pixel (VITA),https://www.metacritic.com/game/playstation-vita/life-of-pixel
Light Blogging (VITA),https://www.metacritic.com/game/playstation-vita/light-blogging
LIMBO (VITA),https://www.metacritic.com/game/playstation-vita/limbo
Link-a-Pix Deluxe (VITA),https://www.metacritic.com/game/playstation-vita/link-a-pix-deluxe
Little Acorns (VITA),https://www.metacritic.com/game/playstation-vita/little-acorns
Little Adventure on the Prairie (VITA),https://www.metacritic.com/game/playstation-vita/little-adventure-on-the-prairie
Little Deviants (VITA),https://www.metacritic.com/game/playstation-vita/little-deviants
Little Red Lie (VITA),https://www.metacritic.com/game/playstation-vita/little-red-lie
LittleBigPlanet PS Vita (VITA),https://www.metacritic.com/game/playstation-vita/littlebigplanet-ps-vita
LittleBigPlanet PS Vita: Marvel Arcade Pack (VITA),https://www.metacritic.com/game/playstation-vita/littlebigplanet-ps-vita-marvel-arcade-pack
LittleBigPlanet PS Vita: Marvel Super Hero Edition (VITA),https://www.metacritic.com/game/playstation-vita/littlebigplanet-ps-vita-marvel-super-hero-edition
LiveStreamingTweet (VITA),https://www.metacritic.com/game/playstation-vita/livestreamingtweet
London Detective Mysteria (VITA),https://www.metacritic.com/game/playstation-vita/london-detective-mysteria
Lone Survivor: The Director's Cut (VITA),https://www.metacritic.com/game/playstation-vita/lone-survivor-the-directors-cut
Looney Tunes: Galactic Sports (VITA),https://www.metacritic.com/game/playstation-vita/looney-tunes-galactic-sports
Loot the Land (VITA),https://www.metacritic.com/game/playstation-vita/loot-the-land
Lost Dimension (VITA),https://www.metacritic.com/game/playstation-vita/lost-dimension
Lucilla in the Dark (VITA),https://www.metacritic.com/game/playstation-vita/lucilla-in-the-dark
Luftrausers (VITA),https://www.metacritic.com/game/playstation-vita/luftrausers
Lumines: Electronic Symphony (VITA),https://www.metacritic.com/game/playstation-vita/lumines-electronic-symphony
Luminis (VITA),https://www.metacritic.com/game/playstation-vita/luminis
Lumo (VITA),https://www.metacritic.com/game/playstation-vita/lumo
