title,url
M.B.Re (VITA),https://www.metacritic.com/game/playstation-vita/mbre
Machinarium (VITA),https://www.metacritic.com/game/playstation-vita/machinarium
Madden NFL 13 (VITA),https://www.metacritic.com/game/playstation-vita/madden-nfl-13
Magic Arrows (VITA),https://www.metacritic.com/game/playstation-vita/magic-arrows
Magic Planet Snack Deluxe (VITA),https://www.metacritic.com/game/playstation-vita/magic-planet-snack-deluxe
Magical Beat (VITA),https://www.metacritic.com/game/playstation-vita/magical-beat
MahJah (VITA),https://www.metacritic.com/game/playstation-vita/mahjah
Mahjong Carnival (VITA),https://www.metacritic.com/game/playstation-vita/mahjong-carnival
Mahjong Gold (VITA),https://www.metacritic.com/game/playstation-vita/mahjong-gold
Mahjong Mahjong (VITA),https://www.metacritic.com/game/playstation-vita/mahjong-mahjong
Mahjong Royal Towers (VITA),https://www.metacritic.com/game/playstation-vita/mahjong-royal-towers
Mahjong World Contest (VITA),https://www.metacritic.com/game/playstation-vita/mahjong-world-contest
Maison Kanraku (VITA),https://www.metacritic.com/game/playstation-vita/maison-kanraku
Maldita Castilla EX: Cursed Castilla (VITA),https://www.metacritic.com/game/playstation-vita/maldita-castilla-ex-cursed-castilla
Malicious Rebirth (VITA),https://www.metacritic.com/game/playstation-vita/malicious-rebirth
Maliya (VITA),https://www.metacritic.com/game/playstation-vita/maliya
Man!Ahdere 20s (VITA),https://www.metacritic.com/game/playstation-vita/man!ahdere-20s
MapCache Offline Maps (VITA),https://www.metacritic.com/game/playstation-vita/mapcache-offline-maps
Marry The Princess (VITA),https://www.metacritic.com/game/playstation-vita/marry-the-princess
Mary Skelter: Nightmares (VITA),https://www.metacritic.com/game/playstation-vita/mary-skelter-nightmares
Massive Cleavage vs Zombies (VITA),https://www.metacritic.com/game/playstation-vita/massive-cleavage-vs-zombies
Match (VITA),https://www.metacritic.com/game/playstation-vita/match
Math Running (VITA),https://www.metacritic.com/game/playstation-vita/math-running
Math Swatter (VITA),https://www.metacritic.com/game/playstation-vita/math-swatter
MathTest (VITA),https://www.metacritic.com/game/playstation-vita/mathtest
Maze in Space (VITA),https://www.metacritic.com/game/playstation-vita/maze-in-space
Mazing (VITA),https://www.metacritic.com/game/playstation-vita/mazing
MechHit (VITA),https://www.metacritic.com/game/playstation-vita/mechhit
Mecho Tales (VITA),https://www.metacritic.com/game/playstation-vita/mecho-tales
Mecho Wars: Desert Ashes (VITA),https://www.metacritic.com/game/playstation-vita/mecho-wars-desert-ashes
Medieval Defenders (VITA),https://www.metacritic.com/game/playstation-vita/medieval-defenders
Mega Tap Tap (VITA),https://www.metacritic.com/game/playstation-vita/mega-tap-tap
MegaBlast (VITA),https://www.metacritic.com/game/playstation-vita/megablast
MegaTagmension Blanc + Neptune VS Zombies (VITA),https://www.metacritic.com/game/playstation-vita/megatagmension-blanc-+-neptune-vs-zombies
MeiQ: Labyrinth of Death (VITA),https://www.metacritic.com/game/playstation-vita/meiq-labyrinth-of-death
Mekabolt (VITA),https://www.metacritic.com/game/playstation-vita/mekabolt
Mekorama (VITA),https://www.metacritic.com/game/playstation-vita/mekorama
Meltdown Moon (VITA),https://www.metacritic.com/game/playstation-vita/meltdown-moon
Men's Room Mayhem (VITA),https://www.metacritic.com/game/playstation-vita/mens-room-mayhem
Mercenary Kings: Reloaded Edition (VITA),https://www.metacritic.com/game/playstation-vita/mercenary-kings-reloaded-edition
Merry Christmas Lady Santa (VITA),https://www.metacritic.com/game/playstation-vita/merry-christmas-lady-santa
Merum (VITA),https://www.metacritic.com/game/playstation-vita/merum
METAGAL (VITA),https://www.metacritic.com/game/playstation-vita/metagal
Metal Gear Solid 2: Sons of Liberty HD Edition (VITA),https://www.metacritic.com/game/playstation-vita/metal-gear-solid-2-sons-of-liberty-hd-edition
Metal Gear Solid 3: Snake Eater HD Edition (VITA),https://www.metacritic.com/game/playstation-vita/metal-gear-solid-3-snake-eater-hd-edition
Metal Gear Solid HD Collection (VITA),https://www.metacritic.com/game/playstation-vita/metal-gear-solid-hd-collection
Metal Slug 3 (VITA),https://www.metacritic.com/game/playstation-vita/metal-slug-3
Metrico (VITA),https://www.metacritic.com/game/playstation-vita/metrico
Metropolis: Lux Obscura (VITA),https://www.metacritic.com/game/playstation-vita/metropolis-lux-obscura
Michael Jackson The Experience HD (VITA),https://www.metacritic.com/game/playstation-vita/michael-jackson-the-experience-hd
Microbe Chain (VITA),https://www.metacritic.com/game/playstation-vita/microbe-chain
Midnight Deluxe (VITA),https://www.metacritic.com/game/playstation-vita/midnight-deluxe
Miko Gakkou Monogatari: Kaede Episode (VITA),https://www.metacritic.com/game/playstation-vita/miko-gakkou-monogatari-kaede-episode
Miko Gakkou Monogatari: Sanae Episode (VITA),https://www.metacritic.com/game/playstation-vita/miko-gakkou-monogatari-sanae-episode
Miko Gakkou: Second Year (VITA),https://www.metacritic.com/game/playstation-vita/miko-gakkou-second-year
Miles & Kilo (VITA),https://www.metacritic.com/game/playstation-vita/miles-kilo
Million Shells -The First Encount- (VITA),https://www.metacritic.com/game/playstation-vita/million-shells--the-first-encount-
Milo's Quest (VITA),https://www.metacritic.com/game/playstation-vita/milos-quest
Mind Maze (VITA),https://www.metacritic.com/game/playstation-vita/mind-maze
Mind Zero (VITA),https://www.metacritic.com/game/playstation-vita/mind-zero
Minecraft: PlayStation Vita Edition (VITA),https://www.metacritic.com/game/playstation-vita/minecraft-playstation-vita-edition
Miners of the Sky: Battlefront (VITA),https://www.metacritic.com/game/playstation-vita/miners-of-the-sky-battlefront
MineSweeper (VITA),https://www.metacritic.com/game/playstation-vita/minesweeper
Mini Golf Mundo (VITA),https://www.metacritic.com/game/playstation-vita/mini-golf-mundo
Minutes (VITA),https://www.metacritic.com/game/playstation-vita/minutes
Mixups by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/mixups-by-powgi
MLB 12: The Show (VITA),https://www.metacritic.com/game/playstation-vita/mlb-12-the-show
MLB 13: The Show (VITA),https://www.metacritic.com/game/playstation-vita/mlb-13-the-show
MLB 14: The Show (VITA),https://www.metacritic.com/game/playstation-vita/mlb-14-the-show
MLB 15: The Show (VITA),https://www.metacritic.com/game/playstation-vita/mlb-15-the-show
Mobile Suit Gundam: Extreme VS-Force (VITA),https://www.metacritic.com/game/playstation-vita/mobile-suit-gundam-extreme-vs-force
Mochi Mochi Boy (VITA),https://www.metacritic.com/game/playstation-vita/mochi-mochi-boy
ModNation Racers: Road Trip (VITA),https://www.metacritic.com/game/playstation-vita/modnation-racers-road-trip
MononokeSlashdown (VITA),https://www.metacritic.com/game/playstation-vita/mononokeslashdown
Monster Hotel (VITA),https://www.metacritic.com/game/playstation-vita/monster-hotel
Monster Kombat (VITA),https://www.metacritic.com/game/playstation-vita/monster-kombat
Monster Monpiece (VITA),https://www.metacritic.com/game/playstation-vita/monster-monpiece
Monster Pilgrimage (VITA),https://www.metacritic.com/game/playstation-vita/monster-pilgrimage
MonsterBag (VITA),https://www.metacritic.com/game/playstation-vita/monsterbag
MOP: Operation Cleanup (VITA),https://www.metacritic.com/game/playstation-vita/mop-operation-cleanup
Mortal Kombat (VITA),https://www.metacritic.com/game/playstation-vita/mortal-kombat
MotoGP 13 (VITA),https://www.metacritic.com/game/playstation-vita/motogp-13
MotoGP 13 Compact (VITA),https://www.metacritic.com/game/playstation-vita/motogp-13-compact
MotoGP 14 (VITA),https://www.metacritic.com/game/playstation-vita/motogp-14
MotorStorm RC (VITA),https://www.metacritic.com/game/playstation-vita/motorstorm-rc
MotorStorm RC Carnival Expansion Pack (VITA),https://www.metacritic.com/game/playstation-vita/motorstorm-rc-carnival-expansion-pack
MotorStorm RC Pro-Am Expansion Pack (VITA),https://www.metacritic.com/game/playstation-vita/motorstorm-rc-pro-am-expansion-pack
Mouse Bounce (VITA),https://www.metacritic.com/game/playstation-vita/mouse-bounce
MouseCraft (VITA),https://www.metacritic.com/game/playstation-vita/mousecraft
Mr. Pumpkin Adventure (VITA),https://www.metacritic.com/game/playstation-vita/mr-pumpkin-adventure
Ms. Germinator (VITA),https://www.metacritic.com/game/playstation-vita/ms-germinator
MTG: LifeKeeper (VITA),https://www.metacritic.com/game/playstation-vita/mtg-lifekeeper
MUD - FIM Motocross World Championship (VITA),https://www.metacritic.com/game/playstation-vita/mud---fim-motocross-world-championship
Mugogy Jump (VITA),https://www.metacritic.com/game/playstation-vita/mugogy-jump
Multi Counter (VITA),https://www.metacritic.com/game/playstation-vita/multi-counter
Munchy Girl Mogumi's Easy Diet (VITA),https://www.metacritic.com/game/playstation-vita/munchy-girl-mogumis-easy-diet
Muramasa Rebirth (VITA),https://www.metacritic.com/game/playstation-vita/muramasa-rebirth
