title,url
Natural Doctrine (VITA),https://www.metacritic.com/game/playstation-vita/natural-doctrine
Neck Strike (VITA),https://www.metacritic.com/game/playstation-vita/neck-strike
Necrosphere Deluxe (VITA),https://www.metacritic.com/game/playstation-vita/necrosphere-deluxe
Need a packet? (VITA),https://www.metacritic.com/game/playstation-vita/need-a-packet
Need for Speed: Most Wanted (VITA),https://www.metacritic.com/game/playstation-vita/need-for-speed-most-wanted
NekoBuro: Cats Block (VITA),https://www.metacritic.com/game/playstation-vita/nekoburo-cats-block
Nekomimi Musume ga Sekai no Hatemade Sanma o Tabeni Iku no DADADA (VITA),https://www.metacritic.com/game/playstation-vita/nekomimi-musume-ga-sekai-no-hatemade-sanma-o-tabeni-iku-no-dadada
NekoRush (VITA),https://www.metacritic.com/game/playstation-vita/nekorush
Neon Chrome (VITA),https://www.metacritic.com/game/playstation-vita/neon-chrome
Neon Junctions (VITA),https://www.metacritic.com/game/playstation-vita/neon-junctions
NeuroVoider (VITA),https://www.metacritic.com/game/playstation-vita/neurovoider
NeverEnd (VITA),https://www.metacritic.com/game/playstation-vita/neverend
Neverending Nightmares (VITA),https://www.metacritic.com/game/playstation-vita/neverending-nightmares
New Little King's Story (VITA),https://www.metacritic.com/game/playstation-vita/new-little-kings-story
News Feed (VITA),https://www.metacritic.com/game/playstation-vita/news-feed
Nidhogg (VITA),https://www.metacritic.com/game/playstation-vita/nidhogg
Night Climb (VITA),https://www.metacritic.com/game/playstation-vita/night-climb
"Night Riders, 3D Arcade Racing (VITA)",https://www.metacritic.com/game/playstation-vita/night-riders-3d-arcade-racing
Night Trap: 25th Anniversary Edition (VITA),https://www.metacritic.com/game/playstation-vita/night-trap-25th-anniversary-edition
NightCry (VITA),https://www.metacritic.com/game/playstation-vita/nightcry
Nihilumbra (VITA),https://www.metacritic.com/game/playstation-vita/nihilumbra
Ninja Gaiden Sigma 2 Plus (VITA),https://www.metacritic.com/game/playstation-vita/ninja-gaiden-sigma-2-plus
Ninja Gaiden Sigma Plus (VITA),https://www.metacritic.com/game/playstation-vita/ninja-gaiden-sigma-plus
Ninja Insect (VITA),https://www.metacritic.com/game/playstation-vita/ninja-insect
Ninja Senki DX (VITA),https://www.metacritic.com/game/playstation-vita/ninja-senki-dx
Ninja Usagimaru: Two Tails of Adventure (VITA),https://www.metacritic.com/game/playstation-vita/ninja-usagimaru-two-tails-of-adventure
No Heroes Allowed: No Puzzles Either! (VITA),https://www.metacritic.com/game/playstation-vita/no-heroes-allowed-no-puzzles-either!
Norman's Great Illusion (VITA),https://www.metacritic.com/game/playstation-vita/normans-great-illusion
Norn9: Var Commons (VITA),https://www.metacritic.com/game/playstation-vita/norn9-var-commons
NORTH (VITA),https://www.metacritic.com/game/playstation-vita/north
NotepadDX (VITA),https://www.metacritic.com/game/playstation-vita/notepaddx
NOVA-111 (VITA),https://www.metacritic.com/game/playstation-vita/nova-111
NowWeAttack (VITA),https://www.metacritic.com/game/playstation-vita/nowweattack
Nuclear Throne (VITA),https://www.metacritic.com/game/playstation-vita/nuclear-throne
Numblast (VITA),https://www.metacritic.com/game/playstation-vita/numblast
Nun Attack (VITA),https://www.metacritic.com/game/playstation-vita/nun-attack
Nunnageddon (VITA),https://www.metacritic.com/game/playstation-vita/nunnageddon
Nurse Love Addiction (VITA),https://www.metacritic.com/game/playstation-vita/nurse-love-addiction
Nurse Love Syndrome (VITA),https://www.metacritic.com/game/playstation-vita/nurse-love-syndrome
Nurse Love Syndrome Re:Therapy (VITA),https://www.metacritic.com/game/playstation-vita/nurse-love-syndrome-retherapy
Nyoqix (VITA),https://www.metacritic.com/game/playstation-vita/nyoqix
