title,url
Ocean Craft Multiplayer (VITA),https://www.metacritic.com/game/playstation-vita/ocean-craft-multiplayer
Oceanhorn: Monster of Uncharted Seas (VITA),https://www.metacritic.com/game/playstation-vita/oceanhorn-monster-of-uncharted-seas
Octodad: Dadliest Catch (VITA),https://www.metacritic.com/game/playstation-vita/octodad-dadliest-catch
Oddworld: Abe Boxx (VITA),https://www.metacritic.com/game/playstation-vita/oddworld-abe-boxx
Oddworld: Abe's Oddysee - New 'n' Tasty (VITA),https://www.metacritic.com/game/playstation-vita/oddworld-abes-oddysee---new-n-tasty
Oddworld: Munch's Oddysee HD (VITA),https://www.metacritic.com/game/playstation-vita/oddworld-munchs-oddysee-hd
Oddworld: Stranger's Wrath HD (VITA),https://www.metacritic.com/game/playstation-vita/oddworld-strangers-wrath-hd
Odin Sphere Leifthrasir (VITA),https://www.metacritic.com/game/playstation-vita/odin-sphere-leifthrasir
Oh no! Zombies alive (VITA),https://www.metacritic.com/game/playstation-vita/oh-no!-zombies-alive
"Oh, Deer! (VITA)",https://www.metacritic.com/game/playstation-vita/oh-deer!
OlliOlli (VITA),https://www.metacritic.com/game/playstation-vita/olliolli
OlliOlli2: Welcome to Olliwood (VITA),https://www.metacritic.com/game/playstation-vita/olliolli2-welcome-to-olliwood
OMG HD Zombies! (VITA),https://www.metacritic.com/game/playstation-vita/omg-hd-zombies!
OMG Zombies (VITA),https://www.metacritic.com/game/playstation-vita/omg-zombies
On Call (VITA),https://www.metacritic.com/game/playstation-vita/on-call
One Eyed Kutkh (VITA),https://www.metacritic.com/game/playstation-vita/one-eyed-kutkh
One Image Viewer (VITA),https://www.metacritic.com/game/playstation-vita/one-image-viewer
One More Dungeon (VITA),https://www.metacritic.com/game/playstation-vita/one-more-dungeon
One Piece: Burning Blood (VITA),https://www.metacritic.com/game/playstation-vita/one-piece-burning-blood
One Piece: Burning Blood - Gold Edition (VITA),https://www.metacritic.com/game/playstation-vita/one-piece-burning-blood---gold-edition
One Piece: Burning Blood - Luffy Pack (VITA),https://www.metacritic.com/game/playstation-vita/one-piece-burning-blood---luffy-pack
One Piece: Burning Blood - Playable Character Pack (VITA),https://www.metacritic.com/game/playstation-vita/one-piece-burning-blood---playable-character-pack
One Piece: Burning Blood - Wanted Pack (VITA),https://www.metacritic.com/game/playstation-vita/one-piece-burning-blood---wanted-pack
One Piece: Burning Blood - Wanted Pack 2 (VITA),https://www.metacritic.com/game/playstation-vita/one-piece-burning-blood---wanted-pack-2
One Piece: Pirate Warriors 3 (VITA),https://www.metacritic.com/game/playstation-vita/one-piece-pirate-warriors-3
One Piece: Unlimited World Red (VITA),https://www.metacritic.com/game/playstation-vita/one-piece-unlimited-world-red
One Word By POWGI (VITA),https://www.metacritic.com/game/playstation-vita/one-word-by-powgi
Open Me! (VITA),https://www.metacritic.com/game/playstation-vita/open-me!
Operation Abyss: New Tokyo Legacy (VITA),https://www.metacritic.com/game/playstation-vita/operation-abyss-new-tokyo-legacy
Operation Babel: New Tokyo Legacy (VITA),https://www.metacritic.com/game/playstation-vita/operation-babel-new-tokyo-legacy
Orc Slayer Portable (VITA),https://www.metacritic.com/game/playstation-vita/orc-slayer-portable
Oreshika: Tainted Bloodlines (VITA),https://www.metacritic.com/game/playstation-vita/oreshika-tainted-bloodlines
Organ Trail: Complete Edition (VITA),https://www.metacritic.com/game/playstation-vita/organ-trail-complete-edition
Orgarhythm (VITA),https://www.metacritic.com/game/playstation-vita/orgarhythm
Origami Kami (VITA),https://www.metacritic.com/game/playstation-vita/origami-kami
Out of Mind (VITA),https://www.metacritic.com/game/playstation-vita/out-of-mind
