title,url
Rabi-Ribi (VITA),https://www.metacritic.com/game/playstation-vita/rabi-ribi
Race the Sun (VITA),https://www.metacritic.com/game/playstation-vita/race-the-sun
Racing Line (VITA),https://www.metacritic.com/game/playstation-vita/racing-line
Radiant Flux (VITA),https://www.metacritic.com/game/playstation-vita/radiant-flux
Ragnarok Odyssey (VITA),https://www.metacritic.com/game/playstation-vita/ragnarok-odyssey
Ragnarok Odyssey ACE (VITA),https://www.metacritic.com/game/playstation-vita/ragnarok-odyssey-ace
Raina (VITA),https://www.metacritic.com/game/playstation-vita/raina
Rainbloxplosion (VITA),https://www.metacritic.com/game/playstation-vita/rainbloxplosion
Rainbow Moon (VITA),https://www.metacritic.com/game/playstation-vita/rainbow-moon
Rainbow Skies (VITA),https://www.metacritic.com/game/playstation-vita/rainbow-skies
Rally Copters (VITA),https://www.metacritic.com/game/playstation-vita/rally-copters
Random Heroes: Gold Edition (VITA),https://www.metacritic.com/game/playstation-vita/random-heroes-gold-edition
Raptor - RPG (VITA),https://www.metacritic.com/game/playstation-vita/raptor---rpg
Ratchet & Clank Collection (VITA),https://www.metacritic.com/game/playstation-vita/ratchet-clank-collection
Ratchet & Clank: Full Frontal Assault (VITA),https://www.metacritic.com/game/playstation-vita/ratchet-clank-full-frontal-assault
Ray Gigant (VITA),https://www.metacritic.com/game/playstation-vita/ray-gigant
Rayman Legends (VITA),https://www.metacritic.com/game/playstation-vita/rayman-legends
Rayman Origins (VITA),https://www.metacritic.com/game/playstation-vita/rayman-origins
Re:marriage (VITA),https://www.metacritic.com/game/playstation-vita/remarriage
Real Boxing (VITA),https://www.metacritic.com/game/playstation-vita/real-boxing
Reality Fighters (VITA),https://www.metacritic.com/game/playstation-vita/reality-fighters
Rebel (VITA),https://www.metacritic.com/game/playstation-vita/rebel
Records of the Three Kingdoms Mahjong Puzzle (VITA),https://www.metacritic.com/game/playstation-vita/records-of-the-three-kingdoms-mahjong-puzzle
Red Bow (VITA),https://www.metacritic.com/game/playstation-vita/red-bow
Red Game Without a Great Name (VITA),https://www.metacritic.com/game/playstation-vita/red-game-without-a-great-name
Reed 2 (VITA),https://www.metacritic.com/game/playstation-vita/reed-2
Reed Remastered (VITA),https://www.metacritic.com/game/playstation-vita/reed-remastered
Reel Fishing: Master's Challenge (VITA),https://www.metacritic.com/game/playstation-vita/reel-fishing-masters-challenge
Reflect It (VITA),https://www.metacritic.com/game/playstation-vita/reflect-it
Reflection speed game (VITA),https://www.metacritic.com/game/playstation-vita/reflection-speed-game
Resident Evil: Revelations 2 (VITA),https://www.metacritic.com/game/playstation-vita/resident-evil-revelations-2
Resistance: Burning Skies (VITA),https://www.metacritic.com/game/playstation-vita/resistance-burning-skies
Resogun (VITA),https://www.metacritic.com/game/playstation-vita/resogun
Retro City Rampage (VITA),https://www.metacritic.com/game/playstation-vita/retro-city-rampage
Retro City Rampage DX (VITA),https://www.metacritic.com/game/playstation-vita/retro-city-rampage-dx
RetroBall (VITA),https://www.metacritic.com/game/playstation-vita/retroball
Revenant Dogma (VITA),https://www.metacritic.com/game/playstation-vita/revenant-dogma
Revenant Saga (VITA),https://www.metacritic.com/game/playstation-vita/revenant-saga
Revenge of the Bird King (VITA),https://www.metacritic.com/game/playstation-vita/revenge-of-the-bird-king
Reverie (VITA),https://www.metacritic.com/game/playstation-vita/reverie
Reversi Multiboard (VITA),https://www.metacritic.com/game/playstation-vita/reversi-multiboard
Riddled Corpses EX (VITA),https://www.metacritic.com/game/playstation-vita/riddled-corpses-ex
Ridge Racer (VITA),https://www.metacritic.com/game/playstation-vita/ridge-racer
Ring Run Circus (VITA),https://www.metacritic.com/game/playstation-vita/ring-run-circus
Risk of Rain (VITA),https://www.metacritic.com/game/playstation-vita/risk-of-rain
RIVAL (VITA),https://www.metacritic.com/game/playstation-vita/rival
Road Skill (VITA),https://www.metacritic.com/game/playstation-vita/road-skill
Robot Rescue Revolution (VITA),https://www.metacritic.com/game/playstation-vita/robot-rescue-revolution
Robot-Escaper (VITA),https://www.metacritic.com/game/playstation-vita/robot-escaper
Rock Boshers DX (VITA),https://www.metacritic.com/game/playstation-vita/rock-boshers-dx
Rock Boshers DX: Director's Cut (VITA),https://www.metacritic.com/game/playstation-vita/rock-boshers-dx-directors-cut
Rocketbirds 2: Evolution (VITA),https://www.metacritic.com/game/playstation-vita/rocketbirds-2-evolution
Rocketbirds: Hardboiled Chicken (VITA),https://www.metacritic.com/game/playstation-vita/rocketbirds-hardboiled-chicken
Rocking RODY (VITA),https://www.metacritic.com/game/playstation-vita/rocking-rody
Rodem the Wild. (VITA),https://www.metacritic.com/game/playstation-vita/rodem-the-wild
Rogue Aces (VITA),https://www.metacritic.com/game/playstation-vita/rogue-aces
Rogue Legacy (VITA),https://www.metacritic.com/game/playstation-vita/rogue-legacy
Role Playing Tetris (VITA),https://www.metacritic.com/game/playstation-vita/role-playing-tetris
Roll in the Hole (VITA),https://www.metacritic.com/game/playstation-vita/roll-in-the-hole
Rollers of the Realm (VITA),https://www.metacritic.com/game/playstation-vita/rollers-of-the-realm
Rolling Ball Games (VITA),https://www.metacritic.com/game/playstation-vita/rolling-ball-games
Romancing SaGa 2 (VITA),https://www.metacritic.com/game/playstation-vita/romancing-saga-2
Romancing SaGa 3 (VITA),https://www.metacritic.com/game/playstation-vita/romancing-saga-3
Root Double: Before Crime * After Days - Xtend Edition (VITA),https://www.metacritic.com/game/playstation-vita/root-double-before-crime-after-days---xtend-edition
Root Letter (VITA),https://www.metacritic.com/game/playstation-vita/root-letter
ROSE O'NEILL KEWPIE's Easy Diet (VITA),https://www.metacritic.com/game/playstation-vita/rose-oneill-kewpies-easy-diet
Roundabout (VITA),https://www.metacritic.com/game/playstation-vita/roundabout
Royal Defense (VITA),https://www.metacritic.com/game/playstation-vita/royal-defense
