title,url
Saicoro-puzzle*KURA:ssic (VITA),https://www.metacritic.com/game/playstation-vita/saicoro-puzzlekurassic
Sakura Flow (VITA),https://www.metacritic.com/game/playstation-vita/sakura-flow
Salt and Sanctuary (VITA),https://www.metacritic.com/game/playstation-vita/salt-and-sanctuary
Samurai Beatdown (VITA),https://www.metacritic.com/game/playstation-vita/samurai-beatdown
Samurai Shodown V Special (VITA),https://www.metacritic.com/game/playstation-vita/samurai-shodown-v-special
Samurai Warriors 4 (VITA),https://www.metacritic.com/game/playstation-vita/samurai-warriors-4
Samurai Warriors 4 Empires (VITA),https://www.metacritic.com/game/playstation-vita/samurai-warriors-4-empires
Samurai Warriors 4-II (VITA),https://www.metacritic.com/game/playstation-vita/samurai-warriors-4-ii
Samurai Warriors Chronicles 3 (VITA),https://www.metacritic.com/game/playstation-vita/samurai-warriors-chronicles-3
Santa's Salvation (VITA),https://www.metacritic.com/game/playstation-vita/santas-salvation
Saturday Morning RPG (VITA),https://www.metacritic.com/game/playstation-vita/saturday-morning-rpg
Save the Ninja Clan (VITA),https://www.metacritic.com/game/playstation-vita/save-the-ninja-clan
Savior Sammie (VITA),https://www.metacritic.com/game/playstation-vita/savior-sammie
Sayonara UmiharaKawase + (VITA),https://www.metacritic.com/game/playstation-vita/sayonara-umiharakawase-+
Scientific Electronic Calculator (VITA),https://www.metacritic.com/game/playstation-vita/scientific-electronic-calculator
Scintillatron 4096 (VITA),https://www.metacritic.com/game/playstation-vita/scintillatron-4096
ScourgeBringer (VITA),https://www.metacritic.com/game/playstation-vita/scourgebringer
Scram Kitty DX (VITA),https://www.metacritic.com/game/playstation-vita/scram-kitty-dx
Scribble Shooter (VITA),https://www.metacritic.com/game/playstation-vita/scribble-shooter
Sea Run (VITA),https://www.metacritic.com/game/playstation-vita/sea-run
Secret of Mana (VITA),https://www.metacritic.com/game/playstation-vita/secret-of-mana
Seeker (VITA),https://www.metacritic.com/game/playstation-vita/seeker
Semispheres (VITA),https://www.metacritic.com/game/playstation-vita/semispheres
Senran Kagura Shinovi Versus (VITA),https://www.metacritic.com/game/playstation-vita/senran-kagura-shinovi-versus
Senran Kagura: Bon Appetit! (VITA),https://www.metacritic.com/game/playstation-vita/senran-kagura-bon-appetit!
Senran Kagura: Bon Appetit! - Full Course (VITA),https://www.metacritic.com/game/playstation-vita/senran-kagura-bon-appetit!---full-course
Senran Kagura: Estival Versus (VITA),https://www.metacritic.com/game/playstation-vita/senran-kagura-estival-versus
Senran Kagura: Estival Versus - Ayame (VITA),https://www.metacritic.com/game/playstation-vita/senran-kagura-estival-versus---ayame
Senran Kagura: Estival Versus - Dual Blooming Hearts (VITA),https://www.metacritic.com/game/playstation-vita/senran-kagura-estival-versus---dual-blooming-hearts
Sense: A Cyberpunk Ghost Story (VITA),https://www.metacritic.com/game/playstation-vita/sense-a-cyberpunk-ghost-story
Seraphim (VITA),https://www.metacritic.com/game/playstation-vita/seraphim
Setp Seq (VITA),https://www.metacritic.com/game/playstation-vita/setp-seq
Severed (VITA),https://www.metacritic.com/game/playstation-vita/severed
Shadow Ninja Rush (VITA),https://www.metacritic.com/game/playstation-vita/shadow-ninja-rush
Shake Spears! (VITA),https://www.metacritic.com/game/playstation-vita/shake-spears!
Shakedown Hawaii (VITA),https://www.metacritic.com/game/playstation-vita/shakedown-hawaii
Shantae: Half-Genie Hero (VITA),https://www.metacritic.com/game/playstation-vita/shantae-half-genie-hero
Shantae: Half-Genie Hero - Pirate Queen's Quest (VITA),https://www.metacritic.com/game/playstation-vita/shantae-half-genie-hero---pirate-queens-quest
Sheep in Hell (VITA),https://www.metacritic.com/game/playstation-vita/sheep-in-hell
Shikkoku (VITA),https://www.metacritic.com/game/playstation-vita/shikkoku
Shinobido 2: Revenge of Zen (VITA),https://www.metacritic.com/game/playstation-vita/shinobido-2-revenge-of-zen
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate (VITA),https://www.metacritic.com/game/playstation-vita/shiren-the-wanderer-the-tower-of-fortune-and-the-dice-of-fate
Shiro-Kuro Hakkiri Tsukeru Kuma (VITA),https://www.metacritic.com/game/playstation-vita/shiro-kuro-hakkiri-tsukeru-kuma
SHOOTING *Featured (VITA),https://www.metacritic.com/game/playstation-vita/shooting-featured
Shooting Range by Thornbury Software (VITA),https://www.metacritic.com/game/playstation-vita/shooting-range-by-thornbury-software
Shovel Knight (VITA),https://www.metacritic.com/game/playstation-vita/shovel-knight
Shovel Knight: King of Cards (VITA),https://www.metacritic.com/game/playstation-vita/shovel-knight-king-of-cards
Shovel Knight: Plague of Shadows (VITA),https://www.metacritic.com/game/playstation-vita/shovel-knight-plague-of-shadows
Shovel Knight: Specter of Torment (VITA),https://www.metacritic.com/game/playstation-vita/shovel-knight-specter-of-torment
Shovel Shuffle (VITA),https://www.metacritic.com/game/playstation-vita/shovel-shuffle
Shu (VITA),https://www.metacritic.com/game/playstation-vita/shu
Shutshimi (VITA),https://www.metacritic.com/game/playstation-vita/shutshimi
Shuttle Quest 2000 (VITA),https://www.metacritic.com/game/playstation-vita/shuttle-quest-2000
Sid Meier's Civilization Revolution 2+ (VITA),https://www.metacritic.com/game/playstation-vita/sid-meiers-civilization-revolution-2+
Sigi: A Fart for Melusina (VITA),https://www.metacritic.com/game/playstation-vita/sigi-a-fart-for-melusina
Silent Hill: Book of Memories (VITA),https://www.metacritic.com/game/playstation-vita/silent-hill-book-of-memories
Silent Hill: Book of Memories - Expansion Pack (VITA),https://www.metacritic.com/game/playstation-vita/silent-hill-book-of-memories---expansion-pack
Silver Zombie (VITA),https://www.metacritic.com/game/playstation-vita/silver-zombie
Simple Calcurator (VITA),https://www.metacritic.com/game/playstation-vita/simple-calcurator
Simple Dice Roller (VITA),https://www.metacritic.com/game/playstation-vita/simple-dice-roller
Simple Pong (VITA),https://www.metacritic.com/game/playstation-vita/simple-pong
Sine Mora (VITA),https://www.metacritic.com/game/playstation-vita/sine-mora
Sir Eatsalot (VITA),https://www.metacritic.com/game/playstation-vita/sir-eatsalot
Siralim (VITA),https://www.metacritic.com/game/playstation-vita/siralim
Siralim 2 (VITA),https://www.metacritic.com/game/playstation-vita/siralim-2
Sit-up training (VITA),https://www.metacritic.com/game/playstation-vita/sit-up-training
Sixty Second Shooter Deluxe (VITA),https://www.metacritic.com/game/playstation-vita/sixty-second-shooter-deluxe
Skeleton Rider (VITA),https://www.metacritic.com/game/playstation-vita/skeleton-rider
Sketchcross (VITA),https://www.metacritic.com/game/playstation-vita/sketchcross
Skullgirls: 2nd Encore (VITA),https://www.metacritic.com/game/playstation-vita/skullgirls-2nd-encore
Sky Force Anniversary (VITA),https://www.metacritic.com/game/playstation-vita/sky-force-anniversary
Skylight Freerange (VITA),https://www.metacritic.com/game/playstation-vita/skylight-freerange
Skylight Freerange 2: Gachduine (VITA),https://www.metacritic.com/game/playstation-vita/skylight-freerange-2-gachduine
Slain: Back from Hell (VITA),https://www.metacritic.com/game/playstation-vita/slain-back-from-hell
Slayaway Camp: Butcher's Cut (VITA),https://www.metacritic.com/game/playstation-vita/slayaway-camp-butchers-cut
Slice Ninja (VITA),https://www.metacritic.com/game/playstation-vita/slice-ninja
Slow-mo dodgers (VITA),https://www.metacritic.com/game/playstation-vita/slow-mo-dodgers
Sly Cooper Collection (VITA),https://www.metacritic.com/game/playstation-vita/sly-cooper-collection
Sly Cooper: Thieves in Time (VITA),https://www.metacritic.com/game/playstation-vita/sly-cooper-thieves-in-time
Smart as... (VITA),https://www.metacritic.com/game/playstation-vita/smart-as
Snake (VITA),https://www.metacritic.com/game/playstation-vita/snake
Snow Material (VITA),https://www.metacritic.com/game/playstation-vita/snow-material
Soccerstar (VITA),https://www.metacritic.com/game/playstation-vita/soccerstar
Sokoban Next (VITA),https://www.metacritic.com/game/playstation-vita/sokoban-next
Sola Calendar (VITA),https://www.metacritic.com/game/playstation-vita/sola-calendar
Sola Chatroom (VITA),https://www.metacritic.com/game/playstation-vita/sola-chatroom
Sola Disk (VITA),https://www.metacritic.com/game/playstation-vita/sola-disk
Sola Gallery (VITA),https://www.metacritic.com/game/playstation-vita/sola-gallery
Sola Note (VITA),https://www.metacritic.com/game/playstation-vita/sola-note
Sola Timer (VITA),https://www.metacritic.com/game/playstation-vita/sola-timer
Sola Weather (VITA),https://www.metacritic.com/game/playstation-vita/sola-weather
SolaCalculator (VITA),https://www.metacritic.com/game/playstation-vita/solacalculator
Solbrain I - Village (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-i---village
Solbrain III - Snow (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-iii---snow
Solbrain IV - Storm (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-iv---storm
Solbrain IX - Forest (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-ix---forest
Solbrain V - Tech (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-v---tech
Solbrain VI - Desert (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-vi---desert
Solbrain VII - Dungeon (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-vii---dungeon
Solbrain VIII - Garden (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-viii---garden
Solbrain X - Dark (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-x---dark
Solbrain XI - Island (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-xi---island
Solbrain XII - Storm (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-xii---storm
Solbrain XIII - Wind (VITA),https://www.metacritic.com/game/playstation-vita/solbrain-xiii---wind
Soldner-X 2: Final Prototype (VITA),https://www.metacritic.com/game/playstation-vita/soldner-x-2-final-prototype
SolitaireZero (VITA),https://www.metacritic.com/game/playstation-vita/solitairezero
Son of Scoregasm (VITA),https://www.metacritic.com/game/playstation-vita/son-of-scoregasm
Sonic & All-Stars Racing Transformed (VITA),https://www.metacritic.com/game/playstation-vita/sonic-all-stars-racing-transformed
Sorcery Saga: The Curse of the Great Curry God (VITA),https://www.metacritic.com/game/playstation-vita/sorcery-saga-the-curse-of-the-great-curry-god
SortJewel (VITA),https://www.metacritic.com/game/playstation-vita/sortjewel
Soul Sacrifice (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice
Soul Sacrifice Delta (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-delta
Soul Sacrifice: Headless Knight and Starved Citizenry (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-headless-knight-and-starved-citizenry
Soul Sacrifice: Hour of Amber (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-hour-of-amber
Soul Sacrifice: Hour of Harlequin (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-hour-of-harlequin
Soul Sacrifice: The Cobbler Triplets and the Old Master (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-the-cobbler-triplets-and-the-old-master
Soul Sacrifice: The Fall of the Gods (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-the-fall-of-the-gods
Soul Sacrifice: The Fallen Knight and the Scornful Gaze (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-the-fallen-knight-and-the-scornful-gaze
Soul Sacrifice: The Iron Ladys Tears Of Red (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-the-iron-ladys-tears-of-red
Soul Sacrifice: The Lushes & The Cook (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-the-lushes-the-cook
Soul Sacrifice: The Prince of Cats and the Lord of Flies (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-the-prince-of-cats-and-the-lord-of-flies
Soul Sacrifice: The Revolutionary and the Sullied Maids Shade (VITA),https://www.metacritic.com/game/playstation-vita/soul-sacrifice-the-revolutionary-and-the-sullied-maids-shade
Soulbrain II - Ruins (VITA),https://www.metacritic.com/game/playstation-vita/soulbrain-ii---ruins
Sound Shapes (VITA),https://www.metacritic.com/game/playstation-vita/sound-shapes
