title,url
Table Ice Hockey (VITA),https://www.metacritic.com/game/playstation-vita/table-ice-hockey
Table Mini Golf (VITA),https://www.metacritic.com/game/playstation-vita/table-mini-golf
Table Mini Golf: Toy Land Course Pack (VITA),https://www.metacritic.com/game/playstation-vita/table-mini-golf-toy-land-course-pack
Table Soccer (VITA),https://www.metacritic.com/game/playstation-vita/table-soccer
Table Top Racing (VITA),https://www.metacritic.com/game/playstation-vita/table-top-racing
Table Top Tanks (VITA),https://www.metacritic.com/game/playstation-vita/table-top-tanks
Tachyon Project (VITA),https://www.metacritic.com/game/playstation-vita/tachyon-project
Taco Master (VITA),https://www.metacritic.com/game/playstation-vita/taco-master
Takotan (VITA),https://www.metacritic.com/game/playstation-vita/takotan
Tales From Space: Mutant Blobs Attack (VITA),https://www.metacritic.com/game/playstation-vita/tales-from-space-mutant-blobs-attack
Tales of Hearts R (VITA),https://www.metacritic.com/game/playstation-vita/tales-of-hearts-r
Talisman: Digital Edition (VITA),https://www.metacritic.com/game/playstation-vita/talisman-digital-edition
Tanks a Lot (VITA),https://www.metacritic.com/game/playstation-vita/tanks-a-lot
Task Force Kampas (VITA),https://www.metacritic.com/game/playstation-vita/task-force-kampas
Tearaway (VITA),https://www.metacritic.com/game/playstation-vita/tearaway
Ten by Eight (VITA),https://www.metacritic.com/game/playstation-vita/ten-by-eight
Tennis in the Face (VITA),https://www.metacritic.com/game/playstation-vita/tennis-in-the-face
Terraria (VITA),https://www.metacritic.com/game/playstation-vita/terraria
Teslagrad (VITA),https://www.metacritic.com/game/playstation-vita/teslagrad
TETRA's Escape (VITA),https://www.metacritic.com/game/playstation-vita/tetras-escape
Tetraminos (VITA),https://www.metacritic.com/game/playstation-vita/tetraminos
Tetris Ultimate (VITA),https://www.metacritic.com/game/playstation-vita/tetris-ultimate
The Amazing Spider-Man (VITA),https://www.metacritic.com/game/playstation-vita/the-amazing-spider-man
The Arland Atelier Trilogy Plus (VITA),https://www.metacritic.com/game/playstation-vita/the-arland-atelier-trilogy-plus
The Bard's Tale: Remastered and Resnarkled (VITA),https://www.metacritic.com/game/playstation-vita/the-bards-tale-remastered-and-resnarkled
The Binding of Isaac: Rebirth (VITA),https://www.metacritic.com/game/playstation-vita/the-binding-of-isaac-rebirth
The Bit.Trip (VITA),https://www.metacritic.com/game/playstation-vita/the-bittrip
The Bridge (VITA),https://www.metacritic.com/game/playstation-vita/the-bridge
